skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9254756,7010318,655676,70349244,1027656,0,632170
8893276,7025018,731290,67277560,1096942,0,645344,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9326660,7042532,787010,70713944,1031352,0,627242
8904672,7173026,719096,66854200,1091104,0,646982,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9168558,7239288,707518,69454840,1053724,0,640934
8929788,7010598,666792,66671052,1066422,0,637294,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9051070,7291914,704186,68574926,1072764,0,650650
9089388,6934858,650300,66943100,1055124,0,635516,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8750224,6922958,664944,67784122,1098748,0,642306
9535806,6800514,726278,69652856,1026158,0,623546,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9155944,6901902,784924,66202962,1053346,0,636006
9202214,7030982,695660,70544362,1039836,0,638302,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9403548,6753362,675528,70703990,1022406,0,632702
8976254,7141218,846580,67625446,1093512,0,651056,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9086196,7211092,757442,69654550,1078728,0,647276
8931342,7004452,622650,66501834,1090642,0,649474,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8987734,7195384,822640,67815006,1107316,14,654640
9422252,6857956,899136,69249306,1026970,14,635796,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9012780,6940360,1169952,66691296,1046248,0,640836
9259152,7101500,1526364,70612920,1046262,0,644504,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9427698,6879530,1930894,71146306,1022910,0,634970
9109968,7277312,1932826,68499004,1085112,0,654388,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9459268,6919472,2034858,70480550,1021986,0,633094
8908998,7065548,3314794,67801062,1089760,0,653310,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9094386,7336980,4936666,68533570,1084342,0,641858
9195410,6890954,4292778,66633574,1053514,0,636314,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8890294,6984978,4392570,66264086,1084300,0,641312
9545396,6945232,3951444,69953086,1021580,0,631134,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9417198,6849304,3629878,67250960,1044260,0,634382
9309916,6800640,3594458,67763934,1036350,0,631470,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9183636,7144410,798952,69618794,1012340,0,627704
9016476,7215796,749462,68117784,1093162,0,645694,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9466422,6785450,788928,68495784,1036112,0,630882
9213372,7088284,849618,69982808,1022490,0,626374,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9062270,6952736,870282,66658018,1087870,0,638120
9402386,6838328,838306,69505296,1024450,0,631596,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9120846,7313922,752528,70620284,1045800,0,637966
8866410,7003794,836696,69195420,1095136,0,648676,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9324560,6909994,809522,70447496,1031072,0,624092
9332666,7140336,961800,71419782,1022476,0,630812,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9078286,6960464,867636,67932550,1085210,0,645750
9394266,6846350,901446,69561324,1032696,0,624078,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8982946,7172438,868616,70113806,1044078,0,630602
8859592,7106008,704816,67335226,1095346,0,642698,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9365174,6963250,711634,70346696,1020740,0,632226
9065406,7272972,860426,68115796,1074766,0,641998,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9481514,6815116,810152,67569824,1048768,14,624890
9174802,7088396,734286,70351022,1019998,14,626920,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9056894,6976088,788312,66356752,1064518,14,644252
9486792,6795754,686126,68675880,1036476,0,631302,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8896482,7130284,690116,68440918,1102598,0,650230
8970682,6997424,529186,66433822,1090250,0,644672,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9169272,7280392,629356,69954430,1054676,0,636762
8837710,7079436,700602,66637172,1075858,0,653478,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9377536,6901804,641130,70797062,1020180,0,633472
