System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2023-11-28,15:23:37.211,0.48,2.42,0.20,1.31,0.03,40.11,1.00,0.52,0.0000,0.0017,  6080,1,0,0.02,0.01,100,53,22992.56,9503.40,2400.08,4.84,120.97,0.96,23.95,15.16,17.14,0.01,67.69,0.00,100.00,0.00,0.00,0.00,0.00,39.40,7.37 ,0.15 ,2.70,2.56,1.96,1.31,1.32,0.01,17.84,1.00,0.13,0.0000,0.0029,     0,0,0,98.68,1.32,0.00,0.00,0.00,55,6141.24,3136.48,2400.08,3.92,97.90,5.12,127.94,
2023-11-28,15:23:38.211,0.48,2.43,0.20,1.31,0.03,39.84,1.00,0.52,0.0000,0.0017,  5920,2,0,0.01,0.01,100,53,23081.66,9499.36,2400.05,4.86,121.49,0.96,24.04,15.15,17.06,0.00,67.78,0.00,100.00,0.00,0.00,0.00,0.00,39.36,7.40 ,0.07 ,2.70,2.57,1.97,1.31,1.32,0.01,17.72,1.00,0.13,0.0000,0.0029,     0,0,0,98.62,1.38,0.00,0.00,0.00,55,6178.57,3135.25,2400.05,3.94,98.53,5.15,128.72,
2023-11-28,15:23:39.211,0.48,2.42,0.20,1.30,0.04,39.85,1.00,0.52,0.0000,0.0017,  6360,4,0,0.02,0.01,100,53,22996.69,9494.12,2400.21,4.84,121.11,0.96,23.95,15.19,17.46,0.03,67.33,0.00,100.00,0.00,0.00,0.00,0.00,39.39,7.32 ,0.07 ,2.70,2.57,1.97,1.30,1.32,0.01,17.72,1.00,0.13,0.0000,0.0029,     0,0,0,98.55,1.45,0.00,0.00,0.00,55,6165.51,3129.44,2400.21,3.94,98.51,5.14,128.44,
2023-11-28,15:23:40.211,0.48,2.43,0.20,1.30,0.03,39.76,1.00,0.53,0.0000,0.0017,  6240,2,0,0.01,0.01,100,53,23053.84,9489.56,2399.98,4.86,121.47,0.96,24.01,15.16,17.48,0.01,67.35,0.00,100.00,0.00,0.00,0.00,0.00,39.44,7.36 ,0.07 ,2.70,2.58,1.97,1.30,1.32,0.01,17.69,1.00,0.13,0.0000,0.0029,     0,0,0,98.62,1.38,0.00,0.00,0.00,54,6182.78,3131.05,2399.98,3.95,98.73,5.15,128.81,
2023-11-28,15:23:41.211,0.48,2.43,0.20,1.30,0.03,39.90,1.00,0.52,0.0000,0.0017,  6120,2,0,0.01,0.01,100,53,23039.50,9497.38,2399.99,4.85,121.29,0.96,24.00,15.17,17.23,0.01,67.59,0.00,100.00,0.00,0.00,0.00,0.00,39.33,7.37 ,0.00 ,2.70,2.57,1.97,1.31,1.32,0.01,17.75,1.00,0.13,0.0000,0.0029,     0,0,0,98.59,1.41,0.00,0.00,0.00,55,6164.88,3132.72,2399.99,3.94,98.40,5.14,128.43,
2023-11-28,15:23:42.211,0.48,2.42,0.20,1.31,0.03,40.02,1.00,0.52,0.0000,0.0017,  6160,2,0,0.01,0.01,100,53,22982.21,9497.02,2400.06,4.84,121.00,0.96,23.94,15.16,17.18,0.01,67.65,0.00,100.00,0.00,0.00,0.00,0.00,39.36,7.40 ,0.07 ,2.70,2.57,1.96,1.31,1.32,0.01,17.81,1.00,0.13,0.0000,0.0029,     0,0,0,98.61,1.39,0.00,0.00,0.00,55,6157.19,3133.96,2400.06,3.93,98.23,5.13,128.27,
2023-11-28,15:23:43.211,0.48,2.42,0.20,1.31,0.03,40.04,1.00,0.53,0.0000,0.0017,  6040,1,0,0.01,0.01,100,54,23022.77,9498.82,2400.10,4.85,121.19,0.96,23.98,15.15,17.09,0.01,67.75,0.00,100.00,0.00,0.00,0.00,0.00,39.39,7.36 ,0.04 ,2.70,2.56,1.96,1.31,1.32,0.01,17.81,1.00,0.13,0.0000,0.0029,     0,0,0,98.61,1.39,0.00,0.00,0.00,56,6148.96,3134.85,2400.10,3.92,98.07,5.12,128.10,
2023-11-28,15:23:44.211,0.48,2.42,0.20,1.30,0.03,40.05,1.00,0.52,0.0000,0.0017,  6200,2,0,0.01,0.01,100,53,22945.73,9492.83,2399.98,4.83,120.86,0.96,23.90,15.17,17.45,0.02,67.35,0.00,100.00,0.00,0.00,0.00,0.00,39.40,7.39 ,0.11 ,2.70,2.56,1.96,1.30,1.32,0.01,17.81,1.00,0.13,0.0000,0.0029,     0,0,0,98.60,1.40,0.00,0.00,0.00,55,6138.60,3130.73,2399.98,3.92,98.04,5.12,127.89,
2023-11-28,15:23:45.211,0.48,2.42,0.20,1.30,0.03,39.99,1.00,0.52,0.0000,0.0017,  6160,1,0,0.01,0.01,100,53,23002.96,9495.03,2399.88,4.85,121.13,0.96,23.96,15.17,17.28,0.01,67.54,0.00,100.00,0.00,0.00,0.00,0.00,39.34,7.36 ,0.07 ,2.70,2.56,1.96,1.30,1.32,0.01,17.79,1.00,0.13,0.0000,0.0029,     0,0,0,98.58,1.42,0.00,0.00,0.00,55,6142.61,3131.86,2399.88,3.92,98.07,5.12,127.98,
2023-11-28,15:23:46.211,0.48,2.42,0.20,1.30,0.03,39.99,1.00,0.52,0.0000,0.0017,  6080,2,0,0.01,0.01,100,53,23003.23,9497.28,2400.13,4.84,121.10,0.96,23.96,15.17,17.22,0.01,67.60,0.00,100.00,0.00,0.00,0.00,0.00,39.38,7.38 ,0.15 ,2.70,2.56,1.96,1.31,1.32,0.01,17.79,1.00,0.13,0.0000,0.0029,     0,0,0,98.59,1.41,0.00,0.00,0.00,55,6154.91,3132.95,2400.13,3.93,98.23,5.13,128.22,
