SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
    1.06,    0.81,    9.08,    8.84,    0.84,    0.62,    0.94,    0.69,   11.93,   10.97,4264259100,   22.90,     11.93,     10.97,     22.90
    1.05,    0.80,    9.09,    8.83,    0.91,    0.64,    0.99,    0.71,   12.04,   10.98,4268080158,   23.03,     12.04,     10.98,     23.03
    1.03,    0.77,    9.08,    8.83,    0.87,    0.62,    0.97,    0.71,   11.95,   10.93,4264215933,   22.88,     11.95,     10.93,     22.88
    0.98,    0.75,    9.02,    8.79,    0.85,    0.61,    0.88,    0.63,   11.74,   10.79,4264246951,   22.53,     11.74,     10.79,     22.53
    1.16,    0.86,    9.17,    8.86,    0.96,    0.67,    1.03,    0.72,   12.31,   11.11,4268140008,   23.42,     12.31,     11.11,     23.42
    1.17,    0.87,    9.20,    8.91,    0.98,    0.69,    1.00,    0.70,   12.35,   11.17,4264271310,   23.52,     12.35,     11.17,     23.52
    1.03,    0.80,    9.11,    8.86,    0.89,    0.64,    0.89,    0.63,   11.93,   10.94,4264244988,   22.86,     11.93,     10.94,     22.86
    1.15,    0.89,    9.13,    8.87,    0.90,    0.65,    0.91,    0.66,   12.10,   11.06,4268503472,   23.16,     12.10,     11.06,     23.16
    1.44,    1.03,    9.39,    8.98,    1.21,    0.80,    1.17,    0.74,   13.21,   11.55,4264306740,   24.76,     13.21,     11.55,     24.76
    1.23,    0.91,    9.18,    8.87,    1.06,    0.74,    0.97,    0.66,   12.45,   11.17,4264283909,   23.62,     12.45,     11.17,     23.62
    1.25,    0.96,    9.20,    8.89,    1.07,    0.76,    0.98,    0.66,   12.49,   11.28,4267961826,   23.77,     12.49,     11.28,     23.77
    1.29,    1.00,    9.18,    8.90,    1.04,    0.74,    0.96,    0.67,   12.46,   11.31,4264125893,   23.77,     12.46,     11.31,     23.77
    1.27,    0.99,    9.11,    8.84,    1.02,    0.75,    0.96,    0.69,   12.36,   11.26,4264243698,   23.62,     12.36,     11.26,     23.62
    1.14,    0.90,    9.02,    8.78,    0.99,    0.76,    0.93,    0.69,   12.08,   11.13,4268214621,   23.21,     12.08,     11.13,     23.21
    1.03,    0.79,    8.90,    8.66,    0.92,    0.67,    0.87,    0.63,   11.71,   10.77,4264373494,   22.48,     11.71,     10.77,     22.48
    1.24,    0.89,    9.14,    8.79,    1.13,    0.78,    1.09,    0.73,   12.59,   11.19,4263730579,   23.78,     12.59,     11.19,     23.78
    1.13,    0.86,    9.03,    8.76,    0.98,    0.72,    0.98,    0.71,   12.12,   11.05,4268104381,   23.17,     12.12,     11.05,     23.17
    1.09,    0.85,    9.03,    8.79,    0.93,    0.67,    0.91,    0.65,   11.97,   10.95,4264307343,   22.93,     11.97,     10.95,     22.93
    1.39,    1.08,    9.26,    8.96,    1.19,    0.88,    1.21,    0.89,   13.06,   11.82,4264231151,   24.88,     13.06,     11.82,     24.88
    1.35,    1.07,    9.23,    8.93,    1.16,    0.88,    1.28,    0.99,   13.02,   11.86,4268079165,   24.89,     13.02,     11.86,     24.89
    1.12,    0.89,    9.01,    8.77,    1.00,    0.76,    1.16,    0.93,   12.29,   11.35,4264292853,   23.64,     12.29,     11.35,     23.64
    1.33,    0.99,    9.23,    8.87,    1.20,    0.84,    1.34,    0.98,   13.11,   11.69,4264231525,   24.80,     13.11,     11.69,     24.80
    1.20,    0.93,    9.14,    8.88,    1.04,    0.77,    1.16,    0.89,   12.55,   11.48,4268065761,   24.02,     12.55,     11.48,     24.02
    1.02,    0.80,    9.04,    8.81,    1.00,    0.78,    1.07,    0.84,   12.13,   11.23,4263971108,   23.36,     12.13,     11.23,     23.36
    1.01,    0.80,    9.03,    8.82,    0.96,    0.74,    1.12,    0.88,   12.11,   11.24,4263790184,   23.35,     12.11,     11.24,     23.35
    1.01,    0.79,    9.06,    8.84,    0.97,    0.74,    1.05,    0.81,   12.08,   11.19,4268082556,   23.27,     12.08,     11.19,     23.27
    1.22,    0.91,    9.20,    8.87,    1.18,    0.86,    1.28,    0.96,   12.88,   11.61,4263955553,   24.49,     12.88,     11.61,     24.49
    1.16,    0.87,    9.12,    8.83,    1.18,    0.89,    1.29,    1.01,   12.75,   11.60,4268234667,   24.35,     12.75,     11.60,     24.35
    8.61,    6.18,   16.38,   13.93,    8.69,    6.23,    8.72,    6.23,   42.40,   32.56,4263918873,   74.97,     42.40,     32.56,     74.97
    4.40,    4.04,   12.32,   11.96,    4.47,    4.10,    4.56,    4.20,   25.75,   24.30,4264236688,   50.05,     25.75,     24.30,     50.05
    3.92,    3.61,   11.85,   11.53,    3.98,    3.65,    4.03,    3.70,   23.78,   22.49,4268094031,   46.27,     23.78,     22.49,     46.27
    3.50,    3.15,   11.58,   11.25,    3.48,    3.15,    3.60,    3.26,   22.16,   20.81,4264016697,   42.97,     22.16,     20.81,     42.97
    3.44,    2.97,   11.39,   10.92,    3.39,    2.91,    3.51,    3.02,   21.72,   19.83,4263840443,   41.55,     21.72,     19.83,     41.55
    2.85,    2.58,   10.80,   10.53,    2.81,    2.54,    2.91,    2.63,   19.37,   18.28,4268080278,   37.65,     19.37,     18.28,     37.65
    2.50,    2.27,   10.35,   10.12,    2.54,    2.30,    2.71,    2.47,   18.11,   17.16,4264218765,   35.27,     18.11,     17.16,     35.27
    2.34,    2.10,   10.15,    9.91,    2.31,    2.06,    2.53,    2.27,   17.32,   16.33,4264241623,   33.65,     17.32,     16.33,     33.65
    2.20,    1.97,   10.11,    9.88,    2.22,    1.98,    2.23,    1.99,   16.75,   15.82,4268090224,   32.57,     16.75,     15.82,     32.57
    2.23,    1.93,   10.15,    9.84,    2.19,    1.88,    2.18,    1.85,   16.75,   15.50,4264197035,   32.25,     16.75,     15.50,     32.25
    1.97,    1.68,    9.87,    9.57,    1.85,    1.54,    1.94,    1.63,   15.63,   14.42,4264237714,   30.05,     15.63,     14.42,     30.05
    1.79,    1.54,    9.67,    9.43,    1.66,    1.41,    1.65,    1.41,   14.78,   13.79,4268078380,   28.57,     14.78,     13.79,     28.57
    1.71,    1.48,    9.56,    9.34,    1.51,    1.28,    1.48,    1.25,   14.26,   13.35,4263940994,   27.61,     14.26,     13.35,     27.61
    1.56,    1.31,    9.46,    9.22,    1.46,    1.21,    1.36,    1.10,   13.84,   12.83,4264229256,   26.68,     13.84,     12.83,     26.68
    1.50,    1.24,    9.37,    9.12,    1.43,    1.16,    1.32,    1.06,   13.62,   12.58,4268213965,   26.21,     13.62,     12.58,     26.21
    1.62,    1.29,    9.45,    9.11,    1.50,    1.17,    1.47,    1.15,   14.05,   12.73,4263952811,   26.77,     14.05,     12.73,     26.77
