SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  830.13,  287.49,  837.70,  287.11,  779.07,  277.02,  892.47,  290.46, 3339.37, 1142.08,    126266, 4481.45,   3339.37,   1142.08,   4481.45
  835.30,  289.87,  843.31,  289.48,  785.12,  279.45,  898.82,  293.09, 3362.55, 1151.88,    126256, 4514.44,   3362.55,   1151.88,   4514.44
  831.98,  288.27,  839.81,  288.22,  781.75,  278.04,  895.01,  291.99, 3348.56, 1146.51,    126156, 4495.07,   3348.56,   1146.51,   4495.07
  837.22,  290.70,  845.19,  290.11,  787.06,  280.36,  900.57,  293.95, 3370.04, 1155.12,    126318, 4525.16,   3370.04,   1155.12,   4525.16
  832.25,  288.55,  839.99,  288.28,  782.25,  278.27,  895.49,  291.89, 3349.98, 1146.99,    126247, 4496.97,   3349.98,   1146.99,   4496.97
  832.28,  288.75,  840.24,  288.11,  781.58,  278.35,  895.36,  291.73, 3349.46, 1146.94,    126320, 4496.41,   3349.46,   1146.94,   4496.41
  843.70,  293.47,  851.21,  292.34,  792.55,  282.44,  907.97,  296.37, 3395.43, 1164.61,    126263, 4560.04,   3395.43,   1164.61,   4560.04
  830.22,  287.59,  840.41,  289.06,  778.61,  276.98,  895.70,  291.09, 3344.94, 1144.72,    126190, 4489.66,   3344.94,   1144.72,   4489.66
  832.17,  289.12,  843.95,  293.19,  779.90,  277.93,  900.07,  292.14, 3356.09, 1152.38,    126269, 4508.48,   3356.09,   1152.38,   4508.48
  828.55,  288.67,  840.92,  292.54,  777.92,  277.86,  897.04,  291.38, 3344.43, 1150.45,    126089, 4494.88,   3344.43,   1150.45,   4494.88
  797.28,  286.30,  810.79,  290.11,  747.91,  275.85,  866.72,  289.32, 3222.70, 1141.57,    126068, 4364.27,   3222.70,   1141.57,   4364.27
  772.71,  285.55,  785.18,  289.53,  722.86,  274.88,  840.06,  288.52, 3120.80, 1138.48,    126038, 4259.28,   3120.80,   1138.48,   4259.28
  748.56,  283.77,  761.42,  287.69,  698.30,  272.94,  815.24,  286.60, 3023.51, 1130.99,    125884, 4154.50,   3023.51,   1130.99,   4154.50
  730.26,  282.99,  743.36,  286.55,  680.58,  271.80,  796.81,  284.99, 2951.01, 1126.33,    125828, 4077.34,   2951.01,   1126.33,   4077.34
  714.14,  282.36,  726.51,  285.42,  664.58,  271.07,  781.97,  284.51, 2887.19, 1123.36,    125907, 4010.55,   2887.19,   1123.36,   4010.55
  697.73,  276.45,  765.86,  279.65,  712.09,  265.78,  766.98,  278.87, 2942.66, 1100.76,    125668, 4043.42,   2942.66,   1100.76,   4043.42
  687.17,  277.84,  699.52,  280.94,  639.56,  267.31,  755.07,  279.97, 2781.32, 1106.05,    125676, 3887.37,   2781.32,   1106.05,   3887.37
  683.30,  278.74,  695.51,  281.97,  635.75,  268.35,  749.91,  280.58, 2764.47, 1109.63,    125818, 3874.11,   2764.47,   1109.63,   3874.11
  674.52,  277.32,  686.84,  280.63,  626.87,  266.99,  740.90,  279.22, 2729.14, 1104.15,    125620, 3833.29,   2729.14,   1104.15,   3833.29
  665.22,  274.69,  677.69,  278.17,  616.84,  264.37,  731.31,  277.05, 2691.05, 1094.29,    125601, 3785.34,   2691.05,   1094.29,   3785.34
