skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
8088523744,5590788,5731712,75537882,1050322,0,306908,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7623462,5605292,5734106,75428514,1037078,0,308630
7635502,5621308,5922266,75307946,1050952,0,308154,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7685370,5626376,5877830,75500460,1048152,0,306054
7681100,5627972,5775462,75510778,1056090,0,305130,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7738374,5616954,5837832,75432588,1055586,168,308630
7729666,5634412,6134058,75701080,1039514,0,308672,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7663558,5548564,6933444,72246370,1052912,0,306782
7690298,5544616,9168446,69286756,1028174,0,306068,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7582652,5527956,8431346,66558548,1026326,0,305704
7646324,5570306,7245056,65412018,1045674,0,298816,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7617848,5562984,5344682,64044778,1044582,168,305508
7628964,5518730,5222406,63513772,1045156,0,303814,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7595714,5503988,5240942,62683656,1031758,0,304626
7555352,5541060,5425308,62272854,1040858,0,302218,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7574434,5501580,5231968,62215132,1033970,0,302050
7588910,5487174,5237582,62564026,1039724,0,304220,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7573300,5514516,5222154,62262760,1039402,168,303478
7573300,5526500,5168016,62209168,1017716,14,301798,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7556122,5487006,5298062,62188392,1038520,14,302372
7550690,5509378,5142914,61964546,1029798,0,301574,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
