skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
9314438,6731774,927164,65497390,1055740,0,629300,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9196376,6801382,926828,69771086,1013502,0,621530
9065196,7152642,922908,68870354,1020978,0,626052,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8795514,7005390,822304,66766098,1083936,0,626668
8833160,6947766,836626,65798516,1075900,0,616896,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9374148,6707708,733390,67093978,1036406,0,603162
9211426,6757646,710990,67879700,1025542,0,608090,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9043678,7070868,760648,69608728,1012914,0,613536
8903720,7150836,816158,67910416,1028636,0,638890,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8822590,6955256,679700,66385396,1076838,0,654808
9015426,6807080,682234,65589552,1049524,0,653044,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9336572,6874924,805840,66783514,1030582,0,646786
9154936,6806226,683228,69474762,1014006,0,640892,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9116912,7105280,769986,69099072,1008406,0,643860
8914416,7104272,736022,68709998,1048152,0,648354,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8873634,6915160,701092,65837114,1053024,980,658406
9294460,6746950,691838,66404744,1037820,0,646912,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9003078,7033936,610876,68995360,1008098,0,644910
8935878,7156534,635642,68713428,1042636,980,645750,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8839026,6914404,763014,65793728,1081402,980,654990
8941170,6862800,947730,66080672,1066534,0,659456,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9277604,6666744,787150,67624662,1027418,0,642124
9218496,6882554,961184,69744892,1012970,980,636174,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8784846,7033250,1489684,67636296,1079862,1274,650916
8835078,6904604,856618,66171658,1085126,14,657496,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9409624,6705146,799792,66701530,1038128,14,639492
9256968,6719762,854546,68151496,1008840,980,639898,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9162230,6938106,776972,69634404,1013740,980,640948
8909390,7021392,796432,69295072,1013964,0,647220,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8954764,7073556,781956,68518380,1023274,280,635544
8851584,7066962,806554,68068462,1028510,980,642992,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8843814,7030982,1009848,67435690,1063636,980,643300
8771938,7007014,1220184,66993416,1075354,0,648494,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8792434,7082040,1125278,67190914,1072834,0,654346
8781654,6988240,982002,66911530,1083012,980,649278,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8851682,6939576,1275596,66324160,1076348,1260,660142
8998360,6786570,1495074,66356346,1069264,0,655760,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9210264,6799772,2149182,65410492,1045716,0,657706
9262890,6769994,1973258,66350788,1051176,980,648984,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9293970,6747524,5127808,66885406,1032010,0,647976
9258746,6714414,5000016,67056374,1038660,0,641032,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9226476,6710508,4763220,68179006,1024380,280,638344
9253160,6797518,4722662,68987268,1020670,0,641872,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9084292,6771128,4104618,69576612,1017184,0,645484
9126684,7000378,3709076,69730752,1020880,0,643468,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8974924,7128520,785526,69545924,1019872,0,643636
8942850,7158886,777280,68511562,1024100,0,645680,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8869798,7101514,788410,68590662,1053724,280,654346
8816962,7155204,922082,67930212,1059716,0,644266,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8811320,7004998,888090,67511178,1084300,0,651546
8801436,7022274,933674,67241454,1081248,0,649166,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8927072,6929524,866726,68546534,1089536,0,653898
8887648,6921964,882532,67588878,1066086,0,654528,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9030966,6863360,919058,67635302,1038114,280,651938
8821162,7031878,951342,68570740,1080646,0,654584,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8867418,6945974,833924,67851406,1085280,14,661528
9120860,6802040,889336,66644074,1071686,14,656866,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9098068,6959386,795326,66751006,1074766,0,656124
8776880,6884276,818916,67095910,1087940,0,635600,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8972026,6857830,866936,65867060,1062544,280,657244
