SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  359.81,  233.54,  366.12,  241.48,  355.25,  230.91,  357.22,  231.85, 1438.40,  937.78,4264274582, 2376.17,   1438.40,    937.78,   2376.17
  359.29,  233.35,  365.91,  241.21,  354.81,  230.85,  356.93,  231.56, 1436.95,  936.97,4264143454, 2373.92,   1436.95,    936.97,   2373.92
  359.20,  233.33,  366.31,  241.45,  355.04,  231.12,  356.65,  231.32, 1437.20,  937.22,4264306184, 2374.42,   1437.20,    937.22,   2374.42
  358.34,  233.02,  365.89,  241.31,  354.74,  230.83,  356.72,  231.58, 1435.69,  936.74,4268679508, 2372.43,   1435.69,    936.74,   2372.43
  357.62,  232.61,  365.69,  241.14,  354.47,  230.68,  356.20,  231.34, 1433.98,  935.77,4264319918, 2369.76,   1433.98,    935.77,   2369.76
  356.79,  232.28,  365.12,  240.93,  353.80,  230.27,  355.58,  231.39, 1431.29,  934.88,4264086400, 2366.17,   1431.29,    934.88,   2366.17
  356.66,  232.24,  365.01,  240.80,  353.32,  230.02,  355.12,  230.97, 1430.11,  934.02,4268438391, 2364.14,   1430.11,    934.02,   2364.14
  300.05,  195.49,  308.10,  203.71,  297.19,  193.46,  298.62,  194.35, 1203.96,  787.02,4264297920, 1990.98,   1203.96,    787.02,   1990.98
    0.56,    0.53,    8.57,    8.55,    0.57,    0.55,    0.57,    0.55,   10.26,   10.19,4264339736,   20.45,     10.26,     10.19,     20.45
    0.48,    0.43,    8.50,    8.44,    0.49,    0.43,    0.49,    0.44,    9.97,    9.73,4268258521,   19.70,      9.97,      9.73,     19.70
    0.28,    0.29,    8.29,    8.29,    0.29,    0.30,    0.29,    0.30,    9.15,    9.18,4264192809,   18.33,      9.15,      9.18,     18.33
    0.41,    0.38,    8.42,    8.38,    0.41,    0.37,    0.42,    0.38,    9.65,    9.51,4264067929,   19.17,      9.65,      9.51,     19.17
    0.39,    0.35,    8.41,    8.36,    0.38,    0.36,    0.39,    0.36,    9.56,    9.44,4268407695,   19.00,      9.56,      9.44,     19.00
    0.27,    0.29,    8.27,    8.29,    0.26,    0.29,    0.27,    0.29,    9.05,    9.17,4263962620,   18.22,      9.05,      9.17,     18.22
  234.69,  153.68,  243.02,  162.06,  232.49,  152.17,  233.72,  152.97,  943.92,  620.88,4263971612, 1564.80,    943.92,    620.88,   1564.80
   15.99,   10.61,   24.01,   18.64,   15.81,   10.50,   15.91,   10.57,   71.71,   50.32,4268383534,  122.03,     71.71,     50.32,    122.03
    0.37,    0.43,    8.39,    8.44,    0.38,    0.44,    0.39,    0.45,    9.53,    9.76,4264335921,   19.29,      9.53,      9.76,     19.29
    0.56,    0.51,    8.56,    8.51,    0.57,    0.50,    0.57,    0.51,   10.25,   10.03,4264320389,   20.28,     10.25,     10.03,     20.28
    0.25,    0.28,    8.27,    8.29,    0.25,    0.29,    0.25,    0.29,    9.02,    9.15,4268108818,   18.17,      9.02,      9.15,     18.17
    0.55,    0.48,    8.56,    8.48,    0.55,    0.47,    0.55,    0.48,   10.21,    9.91,4264193773,   20.11,     10.21,      9.91,     20.11
    0.27,    0.29,    8.28,    8.29,    0.28,    0.29,    0.28,    0.29,    9.11,    9.16,4264284388,   18.27,      9.11,      9.16,     18.27
  167.04,  109.38,  175.16,  117.56,  165.36,  108.21,  166.13,  108.73,  673.69,  443.88,4268113467, 1117.58,    673.69,    443.88,   1117.58
  355.29,  232.43,  363.58,  240.84,  351.95,  230.14,  353.46,  230.92, 1424.27,  934.33,4264247880, 2358.60,   1424.27,    934.33,   2358.60
  360.81,  234.12,  368.86,  242.44,  357.40,  231.42,  359.23,  232.92, 1446.30,  940.90,4264346025, 2387.20,   1446.30,    940.90,   2387.20
  356.99,  233.54,  365.00,  241.89,  354.12,  231.01,  355.17,  232.01, 1431.27,  938.45,4268191642, 2369.72,   1431.27,    938.45,   2369.72
  355.91,  232.86,  364.15,  241.19,  352.99,  230.42,  354.50,  231.64, 1427.55,  936.11,4264283091, 2363.66,   1427.55,    936.11,   2363.66
  355.79,  232.67,  363.66,  240.76,  352.97,  230.20,  353.90,  231.17, 1426.31,  934.80,4264298626, 2361.11,   1426.31,    934.80,   2361.11
  359.92,  234.63,  368.12,  243.01,  357.01,  232.18,  357.98,  233.08, 1443.04,  942.90,4263920026, 2385.94,   1443.04,    942.90,   2385.94
  358.30,  234.51,  366.49,  242.60,  355.38,  231.87,  356.21,  232.75, 1436.37,  941.73,4268527117, 2378.09,   1436.37,    941.73,   2378.09
  357.71,  233.88,  365.81,  242.27,  354.72,  231.66,  355.63,  232.11, 1433.87,  939.92,4264271782, 2373.79,   1433.87,    939.92,   2373.79
  356.29,  233.10,  364.20,  241.61,  353.22,  230.84,  354.44,  231.35, 1428.15,  936.91,4264190944, 2365.06,   1428.15,    936.91,   2365.06
  353.18,  230.99,  360.80,  239.15,  350.17,  228.94,  351.47,  229.35, 1415.62,  928.43,4268506733, 2344.05,   1415.62,    928.43,   2344.05
  356.02,  232.91,  363.65,  241.03,  352.53,  230.25,  353.88,  231.12, 1426.08,  935.31,4264235412, 2361.40,   1426.08,    935.31,   2361.40
  356.21,  232.68,  363.87,  241.32,  352.61,  230.14,  353.55,  230.85, 1426.24,  934.99,4264344363, 2361.23,   1426.24,    934.99,   2361.23
  355.61,  232.04,  363.82,  241.10,  352.60,  230.06,  353.33,  230.49, 1425.36,  933.68,4268527249, 2359.04,   1425.36,    933.68,   2359.04
  354.49,  231.39,  362.04,  239.91,  351.54,  229.66,  351.94,  229.58, 1420.01,  930.54,4264237330, 2350.55,   1420.01,    930.54,   2350.55
  354.68,  231.73,  362.16,  240.08,  351.35,  229.57,  352.26,  229.94, 1420.45,  931.32,4264282952, 2351.77,   1420.45,    931.32,   2351.77
  354.68,  231.53,  362.15,  239.94,  350.97,  229.09,  352.42,  229.83, 1420.22,  930.39,4264387132, 2350.60,   1420.22,    930.39,   2350.60
  354.28,  231.32,  361.77,  239.80,  350.74,  229.01,  352.24,  229.86, 1419.03,  929.99,4268361922, 2349.02,   1419.03,    929.99,   2349.02
  353.21,  230.58,  360.19,  238.92,  349.57,  228.25,  350.65,  228.75, 1413.62,  926.50,4264254386, 2340.12,   1413.62,    926.50,   2340.12
  354.41,  231.36,  361.55,  239.76,  351.02,  229.23,  351.79,  229.70, 1418.77,  930.06,4264270421, 2348.82,   1418.77,    930.06,   2348.82
  354.87,  231.74,  361.38,  239.85,  351.24,  229.52,  351.80,  229.79, 1419.29,  930.89,4268532328, 2350.18,   1419.29,    930.89,   2350.18
  353.82,  230.93,  360.66,  239.51,  350.51,  228.77,  351.23,  229.42, 1416.22,  928.63,4264257260, 2344.85,   1416.22,    928.63,   2344.85
  353.93,  231.18,  360.88,  239.69,  350.63,  228.95,  351.88,  229.81, 1417.31,  929.62,4264254036, 2346.94,   1417.31,    929.62,   2346.94
  353.31,  230.85,  360.65,  239.68,  350.35,  228.80,  351.38,  229.19, 1415.69,  928.53,4264268069, 2344.21,   1415.69,    928.53,   2344.21
  355.46,  232.10,  362.30,  240.45,  352.05,  229.70,  353.73,  230.74, 1423.53,  933.00,4268517071, 2356.54,   1423.53,    933.00,   2356.54
  353.91,  231.11,  360.17,  239.20,  350.39,  228.85,  352.06,  229.81, 1416.54,  928.97,4264265162, 2345.51,   1416.54,    928.97,   2345.51
  353.32,  230.69,  359.93,  239.06,  350.52,  228.99,  351.66,  229.40, 1415.43,  928.14,4264277007, 2343.58,   1415.43,    928.14,   2343.58
  354.46,  231.70,  361.51,  240.18,  351.50,  229.61,  352.99,  230.37, 1420.47,  931.86,4268525320, 2352.33,   1420.47,    931.86,   2352.33
  352.98,  230.74,  360.02,  239.29,  349.81,  228.56,  350.95,  229.27, 1413.76,  927.86,4264262586, 2341.62,   1413.76,    927.86,   2341.62
  353.94,  231.13,  360.48,  239.55,  350.34,  228.93,  351.33,  229.36, 1416.09,  928.98,4264312236, 2345.07,   1416.09,    928.98,   2345.07
  353.62,  231.11,  360.30,  239.53,  350.20,  228.86,  351.71,  229.79, 1415.84,  929.29,4264245981, 2345.13,   1415.84,    929.29,   2345.13
  351.83,  230.24,  358.23,  238.21,  348.54,  228.04,  349.19,  228.37, 1407.79,  924.86,4268413819, 2332.65,   1407.79,    924.86,   2332.65
  353.41,  231.25,  359.68,  238.96,  349.93,  228.91,  350.56,  229.34, 1413.58,  928.46,4264256312, 2342.04,   1413.58,    928.46,   2342.04
  352.29,  230.57,  358.79,  238.55,  348.90,  228.31,  349.92,  228.94, 1409.89,  926.36,4264300004, 2336.25,   1409.89,    926.36,   2336.25
  352.24,  230.41,  359.06,  238.71,  348.93,  228.28,  350.77,  229.44, 1411.01,  926.85,4268125232, 2337.86,   1411.01,    926.85,   2337.86
  352.06,  230.41,  359.03,  238.67,  349.06,  228.42,  350.04,  228.84, 1410.19,  926.34,4264256939, 2336.54,   1410.19,    926.34,   2336.54
  352.02,  230.27,  358.87,  238.56,  348.60,  227.96,  350.07,  228.99, 1409.56,  925.77,4264301082, 2335.34,   1409.56,    925.77,   2335.34
  351.26,  229.72,  358.33,  238.34,  348.30,  227.81,  349.67,  228.82, 1407.55,  924.69,4268337159, 2332.25,   1407.55,    924.69,   2332.25
  351.73,  230.14,  358.13,  237.97,  348.54,  227.99,  349.52,  228.57, 1407.91,  924.68,4264318666, 2332.59,   1407.91,    924.68,   2332.59
  350.83,  229.47,  357.56,  237.52,  347.99,  227.63,  348.66,  227.84, 1405.04,  922.46,4264299433, 2327.49,   1405.04,    922.46,   2327.49
  350.72,  229.32,  358.16,  237.83,  348.42,  228.07,  349.23,  228.32, 1406.53,  923.54,4268114523, 2330.07,   1406.53,    923.54,   2330.07
  349.01,  228.30,  356.56,  236.67,  346.71,  226.89,  347.57,  227.28, 1399.85,  919.14,4263868221, 2318.99,   1399.85,    919.14,   2318.99
  349.73,  228.79,  357.49,  237.39,  347.13,  227.17,  347.77,  227.47, 1402.12,  920.82,4264291238, 2322.94,   1402.12,    920.82,   2322.94
  350.79,  229.68,  358.62,  238.07,  348.39,  227.93,  349.28,  228.44, 1407.08,  924.12,4268160626, 2331.20,   1407.08,    924.12,   2331.20
  350.04,  229.21,  358.37,  237.91,  348.04,  227.70,  348.62,  227.99, 1405.08,  922.81,4264244136, 2327.89,   1405.08,    922.81,   2327.89
  349.66,  229.00,  357.81,  237.38,  347.69,  227.60,  348.22,  227.70, 1403.37,  921.68,4264258538, 2325.05,   1403.37,    921.68,   2325.05
  351.80,  230.50,  359.70,  238.49,  349.96,  228.94,  350.35,  229.16, 1411.81,  927.08,4268148489, 2338.89,   1411.81,    927.08,   2338.89
  350.34,  229.72,  357.78,  237.29,  347.84,  227.59,  348.23,  228.06, 1404.19,  922.66,4264202018, 2326.84,   1404.19,    922.66,   2326.84
  349.52,  229.27,  357.72,  237.42,  347.49,  227.38,  347.80,  227.88, 1402.53,  921.96,4264291698, 2324.49,   1402.53,    921.96,   2324.49
  350.20,  229.70,  358.61,  237.77,  348.09,  227.60,  348.57,  228.38, 1405.47,  923.44,4264345436, 2328.91,   1405.47,    923.44,   2328.91
  349.88,  229.26,  358.64,  237.83,  348.18,  227.56,  348.03,  227.89, 1404.73,  922.54,4268498929, 2327.27,   1404.73,    922.54,   2327.27
  349.01,  228.57,  357.72,  237.18,  346.93,  226.74,  347.56,  227.40, 1401.22,  919.90,4264316675, 2321.12,   1401.22,    919.90,   2321.12
  349.79,  229.15,  358.38,  237.56,  348.07,  227.55,  348.37,  227.96, 1404.59,  922.22,4264247263, 2326.81,   1404.59,    922.22,   2326.81
