skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
8427692,6047552,1214738,58380798,1099210,980,329448,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8418984,6113576,1243802,58154054,1112944,980,328020
8441454,6094508,1344714,58798138,1094464,0,326732,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8429918,6178732,1190742,58031078,1117802,0,325864
8433726,6164116,1298542,57997660,1119398,980,327600,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8477294,6164536,1293138,58248232,1133370,980,327390
8439424,6214222,1295672,58003540,1117536,0,329350,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8420552,6148254,1227688,58194766,1129072,0,330778
8400028,6243734,1224664,57930278,1119930,980,331520,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8333108,6048588,1219484,58278808,1100456,980,331828
8357020,6232086,1201088,58253202,1121694,0,328748,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8280174,6115284,1384866,58273936,1101142,0,333354
8323952,6063568,1238566,58568622,1088976,980,332556,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8243144,6268500,1212820,58352686,1120070,0,330764
8262660,6228166,1131732,58229892,1118586,0,331352,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8254120,6157214,1487276,58072294,1122394,0,331240
8281420,6198598,1348172,58090662,1121890,0,330456,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8306592,6194188,1366022,58016770,1105818,980,329924
8361612,6224694,1198624,58365202,1117802,0,330820,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8452122,6200236,1255296,58120650,1111292,14,327572
8433292,6150480,1242892,58054010,1102794,14,329182,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8442784,6064366,1218574,58443952,1096662,0,334950
8417094,6021190,1183294,58663556,1073590,0,334138,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8470602,5950728,1168370,58312898,1096956,0,332962
8459220,6026678,1178380,58191910,1110004,0,332864,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8401694,6038480,1941562,58175992,1127308,0,331856
8434104,6119820,1244222,58080540,1111586,280,329196,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8377180,6007134,1426838,58350278,1086120,0,332906
8408876,5978742,1446172,58493540,1083852,0,331996,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8408722,6123740,1576694,58060646,1114708,0,329924
8414658,6184808,1842526,58041550,1113840,0,328342,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8384152,6209672,2384606,58110080,1112804,0,327502
8393350,6112792,2396100,57895376,1110158,280,330512,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9290624,7229376,2741550,67874310,1112216,0,562968
9247770,7258650,3023874,67963616,1092868,0,569422,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9218972,7238980,4302760,68485340,1107274,0,565642
9331280,7272566,5709592,67620154,1097782,0,567434,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9245278,7264488,5423474,68574366,1114092,0,569422
9336768,7290346,5105338,68416418,1121008,280,568610,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9619932,7136598,4917878,68882156,1126776,0,575078
9494618,7130480,4343136,69026034,1120518,0,577122,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9511096,7076944,2015552,69280008,1118698,0,575918
9538914,7086436,1399678,70450646,1121904,0,575414,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9580676,6941452,1419600,70724864,1119552,0,573846
9579122,6991348,1506274,70066556,1106896,280,574210,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9204076,7200228,1512448,67915302,1087562,0,557424
9036720,7182280,1503376,68283166,1086022,0,561428,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9262092,7268114,1517418,69436626,1079764,0,564550
9198840,7255248,1501164,69844908,1099462,0,561876,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9237046,7221298,1458114,69357820,1083600,14,328104
8426222,6161288,1379700,59382064,1112860,182,328930,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8408470,6042778,1533462,59202570,1112006,14,331296
8403654,6123348,1431514,59378354,1107302,0,332052,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8387680,6121416,1380666,58682330,1082774,0,333480
8412306,6097350,1457372,58705192,1064980,0,333606,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8406272,6069392,1443162,58750440,1074528,0,332710
8415218,6017536,1434734,58528554,1084314,280,332248,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8424808,6156136,1505896,58200674,1104418,0,332416
8435602,6183198,1551844,58250024,1111292,0,332374,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8421994,6195238,1516088,58240840,1116598,0,331562
8410192,6248662,1473178,58222332,1110494,0,330624,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8390144,6271160,1510054,58170210,1104390,0,328706
8412740,6175106,1469986,58182670,1111684,280,327922,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8408540,6130852,1461376,57959496,1104264,0,331100
8409282,7045752,1770636,67597082,1110536,0,563836,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9184420,7171178,1692096,68244834,1124984,0,570332
9435580,7225680,2793616,68378394,1108422,0,570150,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9443056,7173404,1756888,68413828,1111222,0,573678
9526846,7143052,1590190,69008618,1126384,280,570906,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9472680,7085554,1639974,68676342,1124956,0,478660
9434544,7162022,1595146,68356442,1131354,966,572880,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9427502,7156030,1639778,69141646,1126272,966,574364
