skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL
8352386,6294218,963382,59304126,1094268,0,338408
8431276,6218548,902762,59240944,1113700,0,332710
8519994,6386562,967442,59296986,1107372,0,337848
8547812,6218702,951510,63441350,1109220,0,336140
8548204,6187566,923328,58948400,1126328,0,335916
8569904,6254374,908516,58907072,1106406,280,337442
8573026,6165152,867230,59321612,1107820,0,332150
8572466,6271692,876078,59136350,1131690,0,335594
8587586,6051836,854476,59657318,1070230,0,338576
8436932,6172236,1195894,58770152,1123192,0,331954
8568224,6247332,891926,58934302,1120770,0,335496
8489712,6010648,897666,59520832,1103886,0,332962
8558564,6158712,895538,58809674,1040662,0,601678
9047444,6832182,926520,66130960,1052394,0,598542
9386426,7070812,936740,69252078,1049412,280,599326
8884862,7006104,947394,66422272,1072512,0,601146
9406320,6970586,949396,70351036,1060752,0,600334
8910804,6932058,1037974,66016468,1062614,0,599438
9335550,7149674,1214598,69795964,1067010,0,608048
9076536,6950468,1259706,66496094,1050672,0,600082
9247602,7193018,1175076,69319978,1094814,0,611408
9122498,6932016,1195614,67147122,1053052,0,594314
9065980,7251706,1486100,68258386,1105860,0,611800
9417828,6844250,1600074,68375048,1044778,280,591066
8991570,7214704,1598044,67242798,1100288,0,608370
9566914,6889890,2412718,70852670,1032556,0,589666
8955058,7082754,1867390,66349318,1058890,0,598682
9426914,7046340,3453576,70322154,1062180,0,595140
8975988,6969172,5210618,66422496,1069656,0,592410
9222612,7110978,4665710,69514382,1083292,0,595210
9178246,6909882,4644402,66723538,1055222,0,589946
9173948,7236530,4574038,68877802,1081906,0,598612
9235380,6893180,4299134,68066586,1046514,280,590884
9082220,7169498,4183214,68909302,1029140,0,588644
8895544,7012110,4023054,66758622,1065442,0,588742
9303672,7113806,3716412,69949418,1058274,0,595616
9086980,6880496,1289946,66300962,1057924,14,588238
9292640,7264922,931952,68671820,1073184,14,599396
9205252,6926444,905352,68265190,1039570,14,591374
9177868,7269640,931994,68731138,1111250,0,608090
9302174,6859146,856548,69095012,1030722,0,566090
9046618,7170296,862624,68393318,1108534,280,603344
9572122,6835682,865662,70646814,1028524,0,580566
8933792,7096054,863450,68086522,1101002,0,601216
9543044,6835444,1166004,71137486,1029168,0,585928
8954176,7189308,953680,68967234,1087744,0,602252
9445198,6872824,865956,72607990,1039710,0,588518
8857044,7035658,939064,70901040,1079442,0,595686
9452674,7032970,1075480,71409268,1045142,0,592172
8948940,7010094,982044,68141220,1046794,0,592480
9289532,7218470,904680,70932890,1095738,280,604688
9190440,6888672,839258,69300630,1048530,0,592634
9086182,7249424,852110,69568800,1102304,0,610610
9564086,6798540,844984,67449032,1040914,0,591500
9055816,7270886,900564,68144356,1100652,0,613340
9468340,6816334,1155546,69078576,1038212,0,584514
9079406,7256886,830774,67380586,1086610,0,609364
9551598,6800626,832426,70586250,1034068,0,592970
8973874,7201292,896378,67158784,1103494,0,612052
9492014,6801256,896826,70863324,1044274,280,589988
8902572,7030548,914354,66174752,1086820,0,576674
9474626,6917638,893088,70408072,1029462,0,588364
8936816,7041944,853006,66465868,1076488,0,605472
9397738,7122402,967596,69482392,1071028,0,601370
9006480,6979560,917952,66277918,1072680,0,602518
9352798,7045388,893382,69678448,1056524,0,599200
9039086,6895056,893144,67025966,1061606,0,599942
9211622,7277606,1035762,67641658,1100386,0,614754
9380798,6865208,996548,68532478,1040998,280,598458
9112978,7201936,979468,67312616,1101394,0,607460
9429896,6814318,1044890,70485996,1029602,0,590940
8930698,7068502,891422,66698492,1086344,0,608090
9469838,6974548,947856,69774544,1028384,0,594832
8901200,6996206,918008,66343606,1065204,0,601174
9335872,6955060,899626,69681640,1044078,0,601958
8868594,7023744,908264,66287550,1069894,0,605080
9292080,7164906,879606,69693554,1069348,0,611674
9011912,6949810,888216,66882634,1048852,280,606746
9277688,7288904,853818,68685946,1107288,966,628348
9235534,6873034,875840,68131546,1036350,966,598878
9028180,7159012,908488,67874436,1107288,966,621362
9557674,6807360,1001532,69182904,1035454,966,595490
8994874,7148330,1003212,66717168,1088416,966,618968
9567068,6858866,1066128,70244230,1028524,980,602560
8874838,7084868,930356,67485908,1100624,980,619136
9576210,6793598,889938,70225988,1033970,980,600600
8932168,7105910,885080,66004960,1064098,280,334908
8608404,6352024,873852,59224634,1105790,0,336140
8588818,6227662,889896,59499006,1110032,0,334656
8559166,6235194,906920,58995804,1123262,0,337218
8610574,6203498,893942,59681244,1076446,0,338268
8555414,6255284,881832,58751770,1123024,0,332206
8569540,6397608,1146782,59005730,1121876,0,333382
8596154,6196288,1075340,59564064,1101268,0,334082
8583582,6178032,972790,59006094,1127378,980,330680
8608698,6116278,999460,59763690,1080534,280,332136
8579368,6256530,920892,60634882,1131298,0,332010
8610924,6128682,889266,59755094,1081052,0,334488
8561434,6256152,902846,58846060,1120798,980,331072
8581132,6303612,901250,59088498,1098384,0,332318
8568434,6230028,926184,59447080,1107694,980,330722
8545698,6331234,913206,58964374,1130262,0,333228
8588860,6162268,940058,59483844,1067990,980,337064
8536220,6246730,1113462,58776550,1120672,0,334768
8548428,6391056,971922,58976932,1097992,1260,338086
8527246,6229510,997962,59100902,1117270,0,332808
8505868,6307462,1073870,58889236,1134448,980,336238
8495270,6117412,1062362,59525494,1077482,0,338926
8450792,6037108,1256696,58983638,1124746,980,334264
8479548,6378680,946876,58977618,1114876,0,338240
8496726,6216042,948094,59264184,1115478,980,332430
8506302,6346382,969024,59040688,1132768,0,338142
8419138,6104882,915684,59626910,1068956,980,340522
8353408,6258266,1142106,58773470,1124704,280,332934
8411760,6398014,851242,58946314,1128092,980,337246
8418214,6235292,907844,59118416,1119790,0,333788
8430016,6376104,1442070,58983400,1130416,980,337988
8467494,6119106,1064490,59586562,1083894,0,339374
8448804,6216336,967204,58790872,1118908,980,335888
8450932,6331878,914200,58868236,1116332,0,338786
8507254,6133106,910280,59568908,1104194,980,337974
8571150,6239436,902664,58918510,1125684,0,335230
8577114,6156178,1505560,59370990,1074500,980,339766
8533672,6225464,902846,58633176,1119426,0,333018
8557990,6318004,956592,58936892,1132334,980,337708
8595524,6106562,891940,59377570,1106364,0,336560
8567706,6182652,918288,58826796,1123682,980,337512
8580810,6185816,1222858,59102540,1084622,0,338772
8556716,6156738,955514,58850302,1123360,980,332976
8548176,6257804,985068,58904216,1127420,14,338296
8587656,6038760,910896,59562468,1095906,14,338352
8571766,6134380,1006544,58719122,1123514,14,335916
8539258,6133176,1014090,59025176,1079974,994,338464
8531530,6115760,1014678,58829876,1116220,0,331786
8529556,6262928,1010912,58836904,1131942,0,337106
8575210,6080340,989394,59271688,1097068,0,335048
8529528,6204520,1210818,58845906,1129870,0,336602
8548008,6173230,1479968,59008026,1078672,0,339752
8524740,6237098,1468866,58340170,1125264,0,333368
8496516,6288744,1637090,58744336,1122842,0,337330
8542226,6128794,1796592,59541524,1072960,0,340382
8513260,6231946,1857058,58785356,1116262,0,337218
8583540,6155436,1474130,59755136,1083810,0,338212
8570968,6259400,1465800,59129966,1135330,0,338002
8487234,6207544,1927044,59309796,1113028,0,332584
8559852,6403712,2194066,59205244,1078840,0,341264
8543346,6262690,3990182,58822876,1116150,0,338660
8609538,6178816,5119534,59216472,1118208,0,333060
8566782,6398602,4921504,59162474,1072330,0,340816
8536570,6269186,4758460,59028732,1119664,0,337876
8590288,6202910,4683588,59146248,1116360,0,332178
8574258,6392302,4438378,59024154,1108408,0,339206
8563730,6256110,4133528,58741662,1122884,0,336098
8593802,6138720,3951458,59601808,1084552,0,335888
8574132,6353522,3398808,59031406,1115268,0,337204
8538026,6196232,1001462,58812292,1113308,0,338044
8598576,6213494,936488,59324944,1114876,0,332710
8565760,6423732,954996,58913400,1112342,0,338800
8568896,6251210,939764,58745960,1120378,0,334334
8553090,6388018,909832,59046302,1097614,280,338534
8544410,6253940,934136,58790438,1117452,0,336252
8584478,6285216,898422,59310426,1067444,0,340844
8575868,6256166,923566,58862426,1120098,0,338044
8589350,6110104,969066,60255076,1080982,0,339276
8588720,6256796,882966,59908072,1116556,0,338632
8617980,6129788,851004,60708746,1092672,0,335566
8582826,6277894,878066,59958192,1120546,0,337624
8576190,6236188,838068,59892868,1108604,0,334404
8578472,6309492,863674,59908828,1097908,280,339528
8523620,6248466,872480,59878854,1111824,0,336868
8587432,6257734,873516,60466308,1065904,0,340802
8576638,6250692,1018934,59693102,1114610,0,337596
8605968,6150130,993104,59770326,1071224,0,339136
8584254,6195168,940058,58899988,1116066,0,627508
9155902,6945442,977158,67406514,1059436,0,611926
9238684,7283136,941388,69216210,1066198,0,608860
8855616,7105896,938966,66631740,1085672,14,619906
9549372,6782846,1429022,69743100,1044414,294,608860
9076494,7250642,880824,67803666,1112594,14,622216
9169244,6850578,876568,67059958,1063804,0,607880
9331770,7204610,891170,69433616,1048488,0,610162
8928612,7075572,956382,66674510,1085070,0,602210
9470328,6830362,923048,69933878,1045212,0,590814
8947988,7225722,968408,67454198,1104642,0,624414
9548098,6835906,990528,68627300,1046668,0,601846
9165030,7262290,1034600,69104882,1071196,0,599242
9013662,6923686,1025752,66729194,1093330,280,623378
9544514,6838160,1028468,68643540,1049608,0,606662
9047402,7234542,1005998,68383014,1094730,0,616910
9233168,6924736,1119524,67073594,1064238,0,605178
9227834,7087570,1163148,69836270,1057238,0,597226
8986054,6989486,1196636,66674552,1100764,0,613886
9591036,6847960,1161328,70636720,1031240,0,602952
8965894,7147098,1035300,67926614,1116402,0,617022
9447564,6864928,1134140,67159736,1054228,0,603036
9254952,7185654,1240554,69480110,1090852,168,614488
9120706,6951658,1034530,65676534,1089942,0,614180
9448222,6910414,1050126,70581980,1029868,966,603554
9046744,7194432,930412,68252758,1117802,966,620298
