TIME 2024-02-13 10:06:42
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
      11        0.08         13k       840.0     10710.0        52.7
      12        0.09         12k       240.0      6876.4        59.1
      13        0.08         15k         0.0         0.0         0.0
      14        0.16         24k       840.0     10710.4        52.7
      15        0.16         15k         0.0         0.0         0.0
      16        0.15         11k      1080.0      9773.9        33.6
      17        0.12         13k         0.0         0.0         0.0
      18        0.12         17k         0.0         0.0         0.0
      19        0.17         25k      1480.0      9774.5        33.6
      20        0.19          7k       600.0     14861.6        78.8
      21        0.25          4k       280.0     10323.0        27.4
      22        0.61         27k       360.0     10892.2       124.1
      23        0.25         13k       360.0     14706.9       107.9
      24        0.15         17k       800.0     11593.0        31.5
      25        0.17         20k       240.0     12953.6        55.1
      26        0.16         15k         0.0         0.0         0.0
      27        0.16         15k         0.0         0.0         0.0
      28        0.15         12k       680.0     18662.7        15.9
      29        0.15         12k         0.0         0.0         0.0
      30        0.16          8k       360.0      5225.9        17.3
      31        0.57          7k       400.0      6323.9        35.5
      32        0.16          7k       440.0      3894.4         6.6
      33        0.16          5k       960.0     10711.3        52.7
      34        0.18          5k       440.0      3894.4         6.6
      35        0.18          4k       320.0     12348.8       149.7
      36        0.18          4k         0.0         0.0         0.0
      37        0.22          3k       200.0      1690.1         2.1
      38        0.16          1k       400.0      9140.0        31.8
      39        0.16          0k       280.0      6877.8        59.1
TIME 2024-02-13 10:06:49
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.23         12k       920.0      1849.8         0.2
       1        0.23         11k       800.0      2253.5         3.9
       2        0.40         11k       400.0       877.6         9.4
       3        0.38         17k         0.0         0.0         0.0
       4        0.08          1k         0.0         0.0         0.0
       5        0.12          2k       920.0      1849.8         0.2
       6        0.07          1k       800.0      2253.5         3.8
       7        0.08          1k       680.0       749.3         0.3
       8        0.10          1k         0.0         0.0         0.0
       9        0.08          1k         0.0         0.0         0.0
      10        1.80         56k       520.0       385.4         0.0
      11        0.07          1k       520.0       385.4         0.0
      12        0.10          1k         0.0         0.0         0.0
      13        0.07          0k       680.0       385.4         0.0
      14        0.11          1k      1040.0       530.8         0.2
      15        0.11          1k       200.0       558.8         7.0
      16        0.13          0k        40.0       423.9         0.5
      17        0.12          1k         0.0         0.0         0.0
      18        0.12          2k       400.0       571.9         0.0
      19        0.11          1k       560.0       385.7         0.0
      20        0.16          0k         0.0         0.0         0.0
      21        0.26          0k       280.0       900.4         4.7
      22        0.22          0k         0.0         0.0         0.0
      23        0.27          1k       720.0      2253.4         3.9
      24        0.14          1k       920.0      1849.1         1.4
      25        0.15          1k      1040.0      1850.3         0.2
      26        0.16          1k       240.0       776.1         0.1
      27        0.15          1k       240.0       776.1         0.1
      28        0.15          1k       800.0       751.4         0.3
      29        0.15          1k       400.0       882.3         0.4
      30        0.23          0k       960.0       531.0         0.2
      31        0.20          1k       440.0       850.0         0.2
      32        0.14          1k       520.0       647.2         0.0
      33        0.15          1k       160.0       424.1         0.0
      34        0.18          1k         0.0         0.0         0.0
      35        0.18          1k         0.0        89.1         0.0
      36        0.18          1k       360.0       427.3         0.0
      37        0.22          1k       400.0       594.2         1.0
      38        0.16          1k         0.0 17592186039087.6         0.0
      39        0.16          1k       280.0       442.8         3.4
TIME 2024-02-13 10:06:44
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.52         17k       760.0      1646.8         0.2
       1        0.66         18k       680.0      2011.8         3.1
       2        0.87         19k         0.0         0.0         0.0
       3        0.41         17k       240.0       739.8         3.2
       4        0.08          0k         0.0         0.0         0.0
       5        0.12          2k       240.0       740.3         3.1
       6        0.08          1k         0.0         0.0         0.0
       7        0.08          1k         0.0         0.0         0.0
       8        0.08          1k       560.0      1648.0         0.2
       9        0.08          1k       120.0       768.3         1.3
      10        1.66         30k         0.0         0.0         0.0
      11        0.08          0k       680.0       631.5         0.7
      12        0.07          0k       240.0       570.0         0.0
      13        0.07          0k         0.0         0.0         0.0
      14        0.12          1k         0.0         0.0         0.0
      15        0.14          0k         0.0         0.0         0.0
      16        0.16          0k         0.0         0.0         0.0
      17        0.12          1k       280.0       372.5         0.1
      18        0.13          2k       680.0       420.3         0.0
      19        0.11          2k      1200.0       468.1         0.7
      20        0.21          0k       440.0       412.6         0.9
      21        0.19          0k       440.0       579.7         6.8
      22        0.20          0k       440.0       465.2         3.6
      23        0.25          1k         0.0         0.0         0.0
      24        0.17          1k       120.0       764.8         1.3
      25        0.23          3k       360.0       465.7         3.1
      26        0.20          1k         0.0         0.0         0.0
      27        0.16          2k       200.0       621.1         1.1
      28        0.14          1k       280.0      1167.2         1.3
      29        0.15          1k         0.0         0.0         0.0
      30        0.20          0k         0.0         0.0         0.0
      31        0.17          1k       200.0       372.9         0.1
      32        0.17          1k       360.0       387.1         0.1
      33        0.16          1k       280.0       372.9         0.0
      34        0.22          1k         0.0         0.0         0.0
      35        0.22          0k       680.0       579.1         0.1
      36        0.22          1k       400.0       720.9         2.4
      37        0.18          1k      1200.0       466.8         0.7
      38        0.16          1k      1200.0       466.8         0.7
      39        0.16          1k       240.0       569.4         0.0
TIME 2024-02-13 10:06:52
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.69         20k         0.0         0.0         0.0
       1        0.66         20k       200.0       714.5         5.0
       2        0.62         19k         0.0         0.0         0.0
       3        0.83         19k         0.0       660.2         0.4
       4        0.08          1k      1000.0      1932.0         0.1
       5        0.15          2k         0.0         0.0         0.0
       6        0.08          1k         0.0         0.0         0.0
       7        0.08          1k         0.0         0.0         0.0
       8        0.08          1k       440.0       799.9         0.7
       9        0.08          1k         0.0         0.0         0.0
      10        1.66         52k       440.0       459.2         0.0
      11        0.06          0k       320.0       563.4         0.0
      12        0.08          0k       400.0       594.1         0.0
      13        0.07          0k         0.0         0.0         0.0
      14        0.11          0k       280.0       562.9         0.0
      15        0.11          0k         0.0         0.0         0.0
      16        0.15          1k       400.0       478.4         0.7
      17        0.13          1k         0.0         0.0         0.0
      18        0.12          2k         0.0         0.0         0.0
      19        0.12          1k       560.0       477.9         0.7
      20        0.16          0k       360.0       798.4         0.7
      21        0.23          0k       280.0       854.9         1.0
      22        0.17          0k       280.0       571.6         0.4
      23        0.21          1k       360.0       888.4         1.6
      24        0.15          1k       200.0      1373.0         1.6
      25        0.16          1k       320.0       639.4         4.2
      26        0.16          1k         0.0         0.0         0.0
      27        0.17          1k         0.0         0.0         0.0
      28        0.15          1k       760.0      1556.2         0.5
      29        0.14          1k         0.0         0.0         0.0
      30        0.15          0k      2760.0       695.3         8.4
      31        0.14          1k         0.0 17592186038092.1         0.0
      32        0.14          1k       400.0       466.2         0.1
      33        0.15          1k       440.0       562.9         0.0
      34        0.20          1k       360.0       466.2         0.1
      35        0.18          1k       640.0       459.6         0.0
      36        0.18          1k         0.0         0.0         0.0
      37        0.22          1k       560.0       568.2         0.0
      38        0.16          1k       280.0       704.1         0.2
      39        0.16          1k       320.0       593.6         0.0
TIME 2024-02-13 10:06:50
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.65         20k       760.0      1784.0         0.4
       1        0.60         41k       920.0      2263.9         1.8
       2        0.63         17k       400.0       650.1         0.3
       3        0.63         24k         0.0         0.0         0.0
       4        0.08          1k         0.0         0.0         0.0
       5        0.14          2k       880.0      1784.1         0.4
       6        0.08          1k       960.0      2264.0         1.8
       7        0.08          1k         0.0       344.1         0.8
       8        0.10          0k         0.0         0.0         0.0
       9        0.08          1k         0.0         0.0         0.0
      10        2.08        186k       320.0       556.3         0.3
      11        0.07          0k       320.0       556.3         0.3
      12        0.07          1k         0.0         0.0         0.0
      13        0.08          1k       320.0       556.3         0.3
      14        0.11          0k       200.0       462.7         0.5
      15        0.10          0k       240.0       502.3         4.1
      16        0.13          1k         0.0         0.0         0.0
      17        0.11          0k         0.0         0.0         0.0
      18        0.14          1k      1320.0       464.8         0.4
      19        0.11          0k       320.0       556.0         0.3
      20        0.14          0k         0.0         0.0         0.0
      21        0.21          0k        40.0       506.7         5.9
      22        0.18          0k         0.0         0.0         0.0
      23        0.29          0k      1000.0      2263.5         2.4
      24        0.14          1k       680.0      1785.6         0.0
      25        0.19          2k       640.0      1784.5         0.4
      26        0.14          1k       440.0       499.4         1.2
      27        0.14          2k       440.0       499.4         1.2
      28        0.15          1k         0.0       341.2         0.8
      29        0.15          1k       400.0       780.2         0.2
      30        0.21          0k       200.0       461.7         0.5
      31        0.19          1k       440.0       678.9         0.0
      32        0.14          1k       200.0       490.6         0.1
      33        0.14          1k       200.0       383.2         0.4
      34        0.18          1k         0.0         0.0         0.0
      35        0.18          1k         0.0         0.0         0.0
      36        0.18          1k      2320.0       542.1         4.1
      37        0.22          1k       280.0       481.0         0.1
      38        0.18          1k         0.0         0.0         0.0
      39        0.16          1k       200.0       447.1         1.6
TIME 2024-02-13 10:06:45
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.55         23k      1000.0      1767.5         0.5
       1        0.63         18k       800.0      2243.8         2.3
       2        0.83         20k         0.0         0.0         0.0
       3        0.64         20k       160.0       451.0         6.1
       4        0.08          1k         0.0         0.0         0.0
       5        0.15          2k       160.0       450.5         6.1
       6        0.08          1k         0.0         0.0         0.0
       7        0.08          1k         0.0         0.0         0.0
       8        0.08          1k       800.0      1766.4         0.5
       9        0.08          1k        80.0       705.9         1.8
      10        1.34        450k         0.0         0.0         0.0
      11        0.08          0k       320.0       316.9         0.0
      12        0.08          1k       200.0       465.4         0.1
      13        0.07          1k         0.0         0.0         0.0
      14        0.14          0k         0.0         0.0         0.0
      15        0.14          1k         0.0         0.0         0.0
      16        0.15          1k         0.0         0.0         0.0
      17        0.13          0k         0.0 17592186034984.6         0.0
      18        0.13          1k       200.0       341.7         0.4
      19        0.11          1k       960.0       472.2         0.0
      20        0.18          0k        80.0       406.6         0.6
      21        0.17          0k       720.0       834.6         2.0
      22        0.19          0k       160.0       612.3         0.4
      23        0.27          0k         0.0         0.0         0.0
      24        0.20          1k         0.0 17592186029146.5         0.0
      25        0.18          1k         0.0 17592186032575.0         0.0
      26        0.21          1k         0.0         0.0         0.0
      27        0.14          1k       120.0       753.8         0.3
      28        0.15          1k       280.0      1275.7         1.3
      29        0.14          1k         0.0         0.0         0.0
      30        0.16          0k         0.0         0.0         0.0
      31        0.15          1k         0.0 17592186034984.0         0.0
      32        0.15          1k       160.0       471.7         0.0
      33        0.17          1k         0.0 17592186034984.0         0.0
      34        0.22          1k         0.0         0.0         0.0
      35        0.22          1k       200.0       559.8         0.1
      36        0.22          1k       280.0       518.4         0.8
      37        0.18          1k      1040.0       473.4         0.0
      38        0.16          1k      1040.0       473.4         0.0
      39        0.16          1k       120.0       465.2         0.1
TIME 2024-02-13 10:07:03
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.27        399k         0.0         0.0         0.0
       1        0.28        377k         0.0         0.0         0.0
       2        0.43        394k       440.0     16219.8        79.8
       3        0.45        599k         0.0         0.0         0.0
       4        0.08         17k       800.0     19819.9       132.9
       5        0.15         68k       840.0     22360.6       101.6
       6        0.09         17k       360.0     13874.2       104.9
       7        0.08         18k         0.0         0.0         0.0
       8        0.08         19k         0.0         0.0         0.0
       9        0.08         18k       160.0     13700.5       126.6
      10        1.43       3669k         0.0         0.0         0.0
      11        0.07         14k         0.0         0.0         0.0
      12        0.07         13k         0.0         0.0         0.0
      13        0.08         14k       320.0      8679.1        25.7
      14        0.12         18k         0.0         0.0         0.0
      15        0.12         15k       520.0     10739.0        34.3
      16        0.12         16k         0.0         0.0         0.0
      17        0.12         17k         0.0         0.0         0.0
      18        0.12         19k       240.0      8619.1        63.6
      19        0.23         26k         0.0         0.0         0.0
      20        0.27         13k         0.0         0.0         0.0
      21        0.19          5k       280.0     14508.3       111.4
      22        0.75         46k         0.0      4986.3        45.6
      23        0.31         14k         0.0         0.0         0.0
      24        0.16         18k       480.0     16221.2        79.8
      25        0.16         17k       480.0     16221.2        79.8
      26        0.20         16k         0.0         0.0         0.0
      27        0.16         17k         0.0      2250.7        27.3
      28        0.15         13k       360.0     16221.4        79.8
      29        0.15         12k       200.0     13701.4       126.6
      30        0.17          3k       600.0     10520.1        32.0
      31        0.16          7k       280.0     10562.0        72.7
      32        0.16          7k        80.0      3739.9         3.8
      33        0.15          4k        80.0      2572.2         0.2
      34        0.18          5k         0.0         0.0         0.0
      35        0.18          4k       280.0     10562.4        72.7
      36        0.24          3k         0.0         0.0         0.0
      37        0.23          2k       480.0     15773.9        21.9
      38        0.15          1k       200.0      2410.9         2.1
      39        0.16          0k         0.0         0.0         0.0
TIME 2024-02-13 10:06:53
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.68         20k         0.0         0.0         0.0
       1        0.58         18k       240.0       555.0         6.6
       2        0.66         20k         0.0         0.0         0.0
       3        0.82         19k         0.0       380.2         0.7
       4        0.08          1k       680.0      1749.3         0.6
       5        0.17          2k         0.0         0.0         0.0
       6        0.08          1k         0.0         0.0         0.0
       7        0.08          1k         0.0         0.0         0.0
       8        0.09          1k       200.0       686.6         0.4
       9        0.09          1k         0.0         0.0         0.0
      10        0.29        355k       360.0       416.2         0.4
      11        0.07          0k         0.0 17592186033142.7         0.0
      12        0.10          1k       440.0       458.5         0.1
      13        0.07          0k         0.0         0.0         0.0
      14        0.11          1k         0.0 17592186033142.7         0.0
      15        0.11          0k         0.0         0.0         0.0
      16        0.17          0k       640.0       626.1         0.0
      17        0.13          1k         0.0         0.0         0.0
      18        0.11          1k         0.0         0.0         0.0
      19        0.11          1k       840.0       626.1         0.0
      20        0.18          1k       320.0       686.5         0.4
      21        0.21          0k       360.0       717.2         0.3
      22        0.21          0k         0.0 17592186032952.2         0.0
      23        0.23          1k         0.0 17592186028820.7         0.0
      24        0.17          1k       440.0      1260.0         0.8
      25        0.15          1k       880.0      1087.7         2.8
      26        0.16          2k         0.0         0.0         0.0
      27        0.15          1k         0.0         0.0         0.0
      28        0.14          1k       640.0      1526.1         0.1
      29        0.14          1k         0.0         0.0         0.0
      30        0.14          0k         0.0 17592186038494.9         0.0
      31        0.14          1k         0.0         0.0         0.0
      32        0.14          1k       440.0       547.4         3.8
      33        0.15          1k         0.0 17592186033141.8         0.0
      34        0.18          1k       440.0       547.4         3.8
      35        0.18          0k       320.0       416.9         0.4
      36        0.20          1k         0.0         0.0         0.0
      37        0.24          1k        80.0       202.1         0.0
      38        0.16          1k       560.0       770.0         0.0
      39        0.16          0k       400.0       458.4         0.1
TIME 2024-02-13 10:07:07
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.28        420k         0.0         0.0         0.0
       1        0.28        403k         0.0         0.0         0.0
       2        0.54        397k       880.0     20883.9       133.3
       3        0.45        616k       880.0     23777.5       103.2
       4        0.08         18k         0.0     13718.4       126.6
