skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
7270704,5428570,4926642,59619490,992040,0,299530,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7449498,5451012,4944324,59681412,1012452,0,299894
7453264,5438188,5020988,59692584,1003380,0,298214,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7505904,5484724,5078332,59721354,1006866,0,299446
7450184,5446308,5119604,59768632,1010030,0,298760,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7452914,5347972,5125820,59562076,1019214,0,298774
7428736,5386038,5117616,59695230,1010716,0,297500,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7410270,5420800,5035772,59568488,1025094,168,297710
7434084,5410454,5119492,59770172,1023414,0,298158,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7439992,5418070,5090232,59635506,1028244,0,298074
7450478,5395306,5173462,59779132,1025920,0,297346,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7453670,5396552,5139834,59608556,1027922,0,297598
7450814,5424048,5128788,59483760,1024478,0,298648,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7468888,5409460,5142634,59532396,1029294,1134,297752
7455196,5394886,5038474,59632790,1029490,966,298606,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7482314,5408004,5021002,59625986,1025080,966,298172
7471842,5415186,5203926,59554418,1030764,966,298312,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7454384,5394326,5048708,59560480,1032150,966,297808
7466284,5408214,5088076,59495114,1028678,0,297220,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7474348,5410636,5308352,59627064,1023988,168,296002
7461762,5419848,5106360,59638796,1018542,0,295190,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7472136,5408144,5030858,59640196,1022168,0,295442
7466690,5368622,5206320,59650332,1031688,0,294070,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7478310,5389146,5036360,59774722,1021160,0,291900
7459116,5412022,5106150,59650752,1029700,0,291774,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7471184,5391764,5068462,59607730,1025878,182,290276
7474726,5422746,5030032,59660244,1020264,14,292012,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7494998,5406688,5096798,59694712,1023568,0,293048
7459634,5409768,5287954,59706752,1016582,0,293748,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7452522,5387662,5213796,59613722,1027866,0,295582
7410452,5411000,4990132,59593226,1022126,0,295890,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7431802,5409544,5010852,59609298,1033102,168,295624
7400274,5419610,4973514,59618566,1034978,0,295148,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7399770,5386962,4975754,59676232,1030666,0,295288
7414792,5386892,5179258,59647882,1033774,0,295610,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7490532,5415578,4994766,59663772,1028832,0,295456
7484708,5396566,5006876,59620274,1027502,0,295400,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7483826,5396286,5064416,59659656,1035622,168,295456
7460264,5388348,4937996,59644844,1031198,0,295694,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7498022,5376756,4883536,59634722,1027166,0,295610
7497812,5400276,5023746,59650206,1031380,0,293440,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7495222,5379234,4945220,59549672,1035188,0,295246
7492786,5404924,4944478,59569328,1033508,0,295302,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7503188,5402068,4970252,59553606,1032738,168,294644
7506226,5402166,4947432,59558548,1035538,0,294644,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7496762,5413576,4892762,59506888,1028692,0,294896
7499156,5395306,4869676,59533348,1029994,0,294700,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7486360,5383532,4870628,59510766,1029644,0,293524
7460460,5379220,4898530,64228668,1029112,0,289842,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7451164,5360432,4882808,59134474,1032542,168,293510
7461244,5355574,4893994,59255140,1031856,0,293650,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7471366,5377736,4943316,59412024,1035818,0,294224
7476924,5394774,4898488,59439408,1032836,0,291298,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7475832,5378926,4895730,59444000,1030750,0,291550
7473312,5373886,4858154,59494988,1022630,0,292208,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7488894,5355336,4922652,59483298,1036770,168,292530
7496930,5373424,4908246,59411044,1037848,0,294462,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7473844,5369266,4927664,59508204,1037120,14,297024
7470414,5390098,4975236,59436972,1019088,14,297640,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7466760,5365696,4925424,59477642,1028972,0,297710
7467600,5403818,4861486,59408594,1034810,0,296660,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7405132,5391554,4882640,59390870,1029952,168,297220
7407428,5391288,4972674,59467436,1035594,0,297668,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7372050,5390560,4908064,59474730,1034124,0,296632
7301574,5379682,4985792,59425884,1035818,0,297248,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7311892,5373256,4955482,59486266,1033396,0,296268
7305592,5376546,4965002,59462186,1034838,0,297780,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7331632,5380872,4967102,59545052,1034222,168,297444
7386946,5377512,4892034,59536456,1037022,0,297920,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7445200,5394270,4961530,59508932,1033662,0,297122
7467992,5395180,5234964,59479224,1033998,0,297976,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7468160,5337850,4955384,59428012,1031688,0,297598
7490238,5336814,4912656,59511228,1031352,0,298704,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7484666,5315422,4973556,59522386,1034964,168,297066
7476378,5325418,4898278,59434536,1031884,0,298186,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7480298,5272400,4977616,59590538,1034712,0,297892
7472682,5266226,4915442,59459652,1031800,0,298228,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7472598,5281584,5320532,59569272,1035818,0,298214
7454678,5288962,4911676,59508302,1026844,0,297878,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7453992,5326076,4975754,59532690,1028888,168,298256
7483588,5345200,5214706,59479588,1036070,0,298830,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7476280,5413086,5373914,59593576,1027320,0,298228
7478996,5402334,5223162,59577658,1036238,0,298298,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7477512,5393598,5637646,59548230,1033466,0,298746
7457772,5420856,5668488,59517836,1030820,0,298788,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7483028,5406730,6052872,59604790,1032024,0,298900
7463988,5406240,6076112,59595858,1034978,0,298732,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7421246,5336898,8886682,59635184,1032164,14,298494
7473396,5404406,9030168,59572324,1035286,14,297976,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7483112,5405750,8719550,59557750,1032892,14,298718
7496958,5411714,8379000,59617600,1032640,0,299012,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7484330,5413128,7967568,59542924,1033508,0,298844
7477680,5412806,6877752,59529078,1028580,0,298802,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7482552,5409992,4945584,59554866,1031128,0,298256
7482860,5407080,4983510,59430462,1024968,0,296968,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7475076,5391540,5042380,59431386,1033172,0,298326
7412902,5364422,4990734,59372292,1029462,0,298676,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7473662,5406086,4945920,59548790,1035230,0,298928
7478632,5403090,4959640,60136944,1030890,980,298550,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7421876,5413044,5050388,60699674,1027558,0,298648
