skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL
9192134,6810510,948556,65971948,1070538,0,652652
9213792,6817076,844102,65635500,1065470,0,649194
9314116,6748140,882546,65423932,1056650,0,647388
9391844,6751906,1582224,65695490,1054802,0,649614
9358398,6778016,714378,66537296,1036406,0,643580
9266600,6698048,711018,66920168,1043448,280,648466
9344720,6779472,728168,67051796,1037092,0,637322
9202088,6764212,717276,68429564,1024646,0,628460
9200184,6719496,870968,67748492,1033144,0,637168
9251466,6828990,867090,67875668,1031828,0,632730
9183860,6876450,844760,69657168,1018738,0,610624
9192680,6874602,889448,69611024,1025234,0,644378
9136610,6948340,719222,69582422,1022476,0,645120
9088898,6948648,730254,69720728,1006152,0,646282
9149700,6968220,1051890,69888392,1022056,280,632016
9013228,6880874,877548,69617730,1012018,0,642628
9120986,6911940,833658,69364540,1022000,0,643566
9146578,6993070,859614,69055392,1018486,0,643356
9045050,6930224,875658,67822398,1028160,0,647220
9202116,6734280,830130,67720170,1024772,0,642572
9256450,6809796,831110,67711182,1026256,0,642166
9189614,6764590,896490,69131692,1009652,0,649110
9277702,6800052,840210,68912004,1022378,0,637742
9208836,6819526,946904,69076336,1014370,280,645456
9105712,6844712,819448,69682522,1009526,0,643160
9193282,6949460,950124,70134134,1012032,0,646100
9018114,6866062,824558,69588974,1008546,0,646422
9122372,6948718,843794,69275332,1017198,0,643258
9149588,6992874,834218,64803004,1021524,0,651980
9250178,6748742,972300,68344094,1021930,0,650888
9195130,6697628,829892,68140268,1025192,0,646590
9246398,6804462,945112,68038558,1026438,0,643776
9217908,6814696,901572,69378596,1017226,280,649110
9233168,6807794,1082200,68417216,1021860,0,639856
9168320,6746432,1194424,68449990,1018374,0,634718
9175138,6814388,1012718,68522916,1023708,0,645946
9214324,6870696,958552,68531414,1021860,14,642152
9160298,6751052,992950,68657330,1023694,14,639898
9224852,6756806,1052100,67957736,1034894,14,646604
9321060,6746824,1155252,66505446,1038982,0,645400
9270772,6688486,934360,67998770,1030372,0,644308
9267482,6730864,991032,67363632,1036518,280,641788
9246580,6759578,977284,67798668,1029854,0,607614
9369486,6733580,1031926,66163748,1040830,0,648690
9307354,6775846,1144472,66160304,1048250,0,647892
9321480,6750576,1030414,66397996,1029238,0,649166
9320542,6724088,967232,66699542,1035552,0,649922
9399026,6757030,992838,65938936,1038646,0,644882
9263548,6716598,1076432,66849762,1030498,0,651574
9316692,6744066,1180578,66070970,1041278,0,649656
9356522,6782930,1011318,65752050,1046374,280,648018
9308894,6739754,891170,66571652,1037260,0,643538
9376878,6719874,912282,66772188,1030218,0,646338
9334584,6711768,910070,68613524,1020306,0,642320
9237270,6691608,1083474,68377274,1027824,0,643454
9295244,6765108,914732,67745622,1032108,0,642586
9215402,6758458,907858,68931576,1018794,0,640416
9295398,6715240,975436,68772382,1028412,0,640010
9268882,6778380,898478,67689524,1033480,0,642964
9249814,6642650,948220,67748394,1031086,0,646632
9378488,6730178,800254,67367496,1040760,0,642404
9315306,6734574,835142,67222848,1041936,0,643230
9337706,6704852,830564,67151070,1031240,0,647556
9380756,6742526,856590,67597110,1036826,0,646464
9269750,6752312,1460648,67731160,1028720,0,649348
9285976,6684888,889294,67302718,1036378,0,644490
9325050,6751430,891002,67543966,1033662,0,642460
9228898,6748420,849646,68329184,1030442,0,642432
9293354,6739432,874650,68019616,1031954,0,646590
9289966,6800808,708820,66941966,1038618,0,654570
9347184,6762714,737716,68035128,1037974,0,651196
9287572,6712342,718662,68026420,1036980,0,645806
9322600,6721680,752318,68153680,1028104,0,647248
9309496,6703648,952952,69001898,1023722,0,652988
9304106,6704152,713804,68223232,1034950,0,645582
9199232,6774474,926982,68951792,1019536,0,650958
9299248,6783994,743106,70068684,1021090,0,640402
9218594,6861512,959056,69649398,1023708,0,639324
9109828,6919780,764218,70673204,1016064,0,633808
9134566,6981030,740600,70750960,1011780,0,641158
9320920,6767978,808472,68356806,1038240,0,621306
9290484,6725460,911960,66559640,1047802,0,654710
9253902,6792394,829220,66960348,1073898,14,659666
8861076,6947318,674212,67296838,1066926,14,642740
8772666,7004214,710850,69069546,1064644,14,639072
8873466,7078652,1037736,69013812,1030834,14,643888
8866690,7173376,847798,70184394,1014188,0,636020
9032478,7028476,814240,70759836,1020348,0,639730
9174032,6876506,893326,69310892,1029000,0,636398
9233896,6753306,1031394,68522076,1026928,0,652848
9081912,6868918,949438,66766392,1077090,0,653142
8874376,6912360,937958,68192110,1044624,0,640192
8857198,7030380,899598,69118266,1020082,0,636174
8978998,7164290,1093330,69762308,1013236,0,638274
9054388,6922118,919100,70278334,1014146,0,638484
9143372,6768104,891156,68049506,1035174,0,644364
9292892,6758822,935690,65742432,1045562,0,650664
9178526,6845160,964754,66382904,1058820,0,664160
9078482,6831034,781942,66841264,1077384,0,665420
8811208,6985118,820540,66755486,1079246,0,654976
8648206,7056056,874034,69441876,1030946,0,643790
8923474,7151774,1071896,69802992,1016302,0,642054
9054430,7002548,836080,69588064,1011388,0,647514
9190930,6752452,799666,68567968,1026998,0,651042
9281650,6768174,1092588,66356584,1048376,0,656530
9230732,6783224,1188936,65518866,1055152,0,654542
9157302,6849598,960246,65961994,1069642,0,658266
8864198,6967016,1077272,66252046,1089326,0,652302
8755698,7002856,1100134,67847094,1059926,0,635838
8843786,7076174,1295504,68426862,1019942,0,636538
9010484,7116354,1471218,69617184,1025010,0,637448
9055452,6665904,1303372,67695306,1034698,0,642978
9198658,6731214,1335376,65979410,1046234,0,654136
9163448,6785660,1326668,65935870,1056272,0,657006
8979432,6763694,1293936,66524556,1081402,280,655242
8769880,6935110,1298192,67002978,1063006,0,646058
8764098,7089068,1255870,68407626,1051246,0,646660
8850058,7092764,1260112,69365450,1032206,0,638820
8844696,7129934,1306074,68862164,1017478,0,639506
9023378,6942936,1233918,69922552,1018374,0,637616
9156126,6768216,1555456,67445336,1027026,0,649922
9259600,6784862,1327018,65902550,1057798,0,651840
9235450,6750002,1297940,66181374,1061284,0,660744
8969464,6918198,1302518,66635408,1084454,280,654626
