SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  626.35,  250.44,  628.03,  270.04,  558.04,  248.85,  674.57,  265.10, 2486.98, 1034.42,4268206324, 3521.40,   2486.98,   1034.42,   3521.40
  623.04,  249.02,  623.93,  268.33,  554.52,  247.42,  671.13,  263.70, 2472.62, 1028.47,4263990703, 3501.10,   2472.62,   1028.47,   3501.10
  626.52,  250.46,  625.99,  269.29,  556.92,  248.41,  673.74,  264.69, 2483.17, 1032.85,4268231113, 3516.01,   2483.17,   1032.85,   3516.01
  628.71,  251.27,  628.22,  269.90,  558.50,  249.21,  675.16,  265.35, 2490.60, 1035.74,4264234995, 3526.34,   2490.60,   1035.74,   3526.34
  626.53,  250.60,  626.49,  269.28,  557.57,  248.69,  674.45,  264.90, 2485.05, 1033.48,4264003057, 3518.52,   2485.05,   1033.48,   3518.52
  626.18,  250.57,  626.53,  269.46,  558.14,  248.76,  675.33,  265.36, 2486.18, 1034.15,4268238749, 3520.33,   2486.18,   1034.15,   3520.33
  624.19,  249.59,  624.16,  268.76,  556.44,  248.27,  673.29,  264.97, 2478.09, 1031.59,4261478003, 3509.68,   2478.09,   1031.59,   3509.68
  624.18,  249.82,  623.59,  268.36,  555.38,  247.86,  672.01,  264.09, 2475.16, 1030.14,4268202370, 3505.30,   2475.16,   1030.14,   3505.30
  629.30,  251.71,  629.65,  270.78,  562.16,  250.41,  678.04,  266.52, 2499.16, 1039.42,4263829734, 3538.57,   2499.16,   1039.42,   3538.57
  625.86,  250.18,  626.46,  269.24,  558.42,  248.92,  674.01,  264.90, 2484.75, 1033.24,4268418193, 3517.99,   2484.75,   1033.24,   3517.99
  624.04,  249.28,  624.81,  268.67,  557.02,  248.18,  673.54,  264.62, 2479.41, 1030.75,4264393237, 3510.16,   2479.41,   1030.75,   3510.16
  625.03,  250.10,  624.35,  268.69,  557.44,  248.32,  674.04,  264.83, 2480.86, 1031.94,4263821260, 3512.80,   2480.86,   1031.94,   3512.80
  625.26,  250.09,  625.11,  268.95,  557.46,  248.50,  673.86,  264.90, 2481.69, 1032.44,4268241456, 3514.13,   2481.69,   1032.44,   3514.13
  626.10,  250.26,  625.97,  269.07,  557.82,  248.94,  674.20,  265.21, 2484.09, 1033.48,4263982992, 3517.57,   2484.09,   1033.48,   3517.57
  624.80,  249.88,  624.43,  268.68,  556.83,  248.70,  672.49,  264.46, 2478.55, 1031.72,4263793656, 3510.27,   2478.55,   1031.72,   3510.27
  625.33,  250.26,  624.61,  268.74,  556.85,  248.86,  673.01,  264.88, 2479.80, 1032.74,4268478201, 3512.54,   2479.80,   1032.74,   3512.54
  625.35,  250.32,  625.08,  268.75,  558.55,  249.25,  674.19,  265.07, 2483.17, 1033.39,4263990810, 3516.56,   2483.17,   1033.39,   3516.56
  625.58,  250.44,  626.05,  269.15,  559.07,  249.21,  674.70,  265.38, 2485.40, 1034.18,4263819766, 3519.58,   2485.40,   1034.18,   3519.58
  621.67,  248.71,  622.61,  267.81,  554.97,  247.81,  670.50,  263.78, 2469.75, 1028.11,4268416556, 3497.86,   2469.75,   1028.11,   3497.86
  624.34,  249.81,  625.25,  269.05,  557.63,  248.73,  673.17,  264.76, 2480.40, 1032.34,4264227546, 3512.74,   2480.40,   1032.34,   3512.74
  624.10,  249.96,  624.62,  268.67,  557.32,  248.96,  672.68,  264.65, 2478.72, 1032.24,4263988908, 3510.96,   2478.72,   1032.24,   3510.96
  626.04,  250.48,  626.31,  269.25,  557.37,  249.08,  673.79,  265.16, 2483.51, 1033.97,4268456603, 3517.48,   2483.51,   1033.97,   3517.48
  623.53,  249.44,  623.62,  268.40,  555.61,  248.49,  671.19,  263.94, 2473.95, 1030.26,4263976803, 3504.21,   2473.95,   1030.26,   3504.21
  625.08,  249.77,  625.92,  269.21,  557.47,  249.10,  674.23,  265.10, 2482.70, 1033.18,4264000507, 3515.88,   2482.70,   1033.18,   3515.88
  625.75,  250.23,  627.26,  270.03,  558.90,  249.76,  675.61,  265.88, 2487.53, 1035.91,4268260021, 3523.44,   2487.53,   1035.91,   3523.44
  624.71,  250.02,  625.72,  269.52,  557.12,  248.92,  674.37,  265.46, 2481.92, 1033.92,4263932297, 3515.84,   2481.92,   1033.92,   3515.84
  626.31,  250.46,  626.78,  269.84,  558.97,  249.63,  675.39,  265.75, 2487.45, 1035.67,4263987533, 3523.12,   2487.45,   1035.67,   3523.12
  624.85,  249.76,  625.70,  269.53,  557.89,  248.83,  674.39,  265.31, 2482.83, 1033.42,4268250304, 3516.26,   2482.83,   1033.42,   3516.26
  624.39,  249.82,  625.78,  269.53,  559.34,  249.48,  674.56,  265.22, 2484.07, 1034.05,4263986824, 3518.12,   2484.07,   1034.05,   3518.12
  616.54,  246.92,  617.63,  266.25,  551.59,  246.50,  664.78,  262.09, 2450.55, 1021.76,4268500677, 3472.31,   2450.55,   1021.76,   3472.31
  621.92,  249.01,  622.95,  268.36,  555.53,  248.19,  669.92,  263.49, 2470.33, 1029.06,4263967678, 3499.39,   2470.33,   1029.06,   3499.39
  622.52,  249.12,  623.48,  268.64,  555.82,  248.64,  670.34,  263.72, 2472.16, 1030.12,4263990104, 3502.28,   2472.16,   1030.12,   3502.28
  623.37,  249.43,  624.40,  268.91,  556.75,  249.02,  671.42,  264.09, 2475.94, 1031.46,4268148571, 3507.39,   2475.94,   1031.46,   3507.39
  623.83,  249.43,  624.04,  269.18,  556.49,  248.82,  671.97,  264.64, 2476.33, 1032.08,4264223705, 3508.41,   2476.33,   1032.08,   3508.41
  624.24,  249.79,  624.09,  269.12,  555.29,  248.25,  672.07,  264.75, 2475.70, 1031.90,4263977823, 3507.60,   2475.70,   1031.90,   3507.60
  620.77,  248.35,  620.94,  267.88,  552.06,  246.88,  668.15,  263.34, 2461.92, 1026.45,4268251140, 3488.36,   2461.92,   1026.45,   3488.36
  621.66,  248.80,  621.38,  268.03,  553.39,  247.43,  669.14,  263.33, 2465.57, 1027.59,4263980461, 3493.16,   2465.57,   1027.59,   3493.16
  619.78,  248.20,  619.19,  267.14,  551.39,  246.47,  666.91,  262.72, 2457.27, 1024.54,4263965705, 3481.82,   2457.27,   1024.54,   3481.82
  620.02,  248.12,  620.09,  267.86,  551.50,  247.15,  668.00,  263.05, 2459.62, 1026.18,4268247983, 3485.80,   2459.62,   1026.18,   3485.80
  620.41,  248.33,  619.87,  267.45,  551.84,  247.01,  668.23,  263.35, 2460.36, 1026.14,4263976904, 3486.49,   2460.36,   1026.14,   3486.49
  619.60,  248.00,  619.85,  267.60,  552.15,  247.04,  667.58,  263.02, 2459.17, 1025.67,4263976455, 3484.84,   2459.17,   1025.67,   3484.84
  617.21,  247.38,  617.95,  266.52,  549.96,  246.37,  664.72,  262.34, 2449.84, 1022.62,4268272727, 3472.46,   2449.84,   1022.62,   3472.46
  618.50,  247.92,  619.26,  267.60,  551.32,  247.01,  666.85,  263.03, 2455.94, 1025.55,4263979588, 3481.49,   2455.94,   1025.55,   3481.49
  619.27,  248.26,  619.34,  267.71,  551.01,  246.94,  667.30,  263.50, 2456.91, 1026.42,4267903480, 3483.33,   2456.91,   1026.42,   3483.33
  620.58,  248.69,  621.46,  268.67,  552.66,  247.49,  668.98,  264.08, 2463.69, 1028.94,4263964905, 3492.63,   2463.69,   1028.94,   3492.63
  617.71,  247.60,  618.89,  267.61,  550.20,  246.68,  666.17,  262.93, 2452.97, 1024.82,4263993098, 3477.79,   2452.97,   1024.82,   3477.79
  616.57,  247.05,  616.82,  266.49,  549.04,  246.15,  665.38,  262.64, 2447.82, 1022.33,4268330205, 3470.14,   2447.82,   1022.33,   3470.14
  615.19,  246.71,  614.49,  265.38,  547.32,  245.41,  663.36,  261.83, 2440.36, 1019.33,4263908187, 3459.69,   2440.36,   1019.33,   3459.69
  613.89,  246.19,  613.36,  264.77,  546.92,  245.25,  663.00,  261.62, 2437.17, 1017.83,4263991802, 3455.00,   2437.17,   1017.83,   3455.00
  614.92,  246.84,  615.47,  265.54,  547.17,  245.57,  663.14,  261.75, 2440.71, 1019.71,4268273784, 3460.41,   2440.71,   1019.71,   3460.41
  614.33,  246.93,  613.97,  265.07,  546.87,  245.51,  661.69,  261.35, 2436.86, 1018.85,4264231998, 3455.71,   2436.86,   1018.85,   3455.71
  611.56,  245.46,  611.26,  264.04,  544.72,  244.73,  659.22,  260.36, 2426.76, 1014.59,4263895728, 3441.35,   2426.76,   1014.59,   3441.35
  615.01,  246.82,  614.23,  265.22,  546.91,  245.27,  661.86,  261.50, 2438.02, 1018.81,4268045305, 3456.83,   2438.02,   1018.81,   3456.83
  615.38,  246.96,  614.32,  265.17,  548.05,  245.76,  661.95,  261.26, 2439.69, 1019.14,4264233861, 3458.82,   2439.69,   1019.14,   3458.82
  619.56,  248.92,  618.74,  267.30,  552.09,  247.54,  666.05,  263.14, 2456.45, 1026.90,4263829732, 3483.35,   2456.45,   1026.90,   3483.35
  614.05,  246.59,  613.22,  265.11,  546.83,  245.29,  660.93,  261.24, 2435.03, 1018.25,4268478544, 3453.28,   2435.03,   1018.25,   3453.28
  611.25,  245.68,  611.18,  264.35,  544.33,  244.49,  657.79,  260.17, 2424.55, 1014.70,4263973613, 3439.25,   2424.55,   1014.70,   3439.25
  609.53,  244.85,  609.85,  263.81,  542.30,  243.66,  656.35,  259.50, 2418.02, 1011.81,4268240894, 3429.83,   2418.02,   1011.81,   3429.83
  609.14,  244.86,  609.54,  263.64,  541.86,  243.15,  655.78,  259.09, 2416.33, 1010.74,4263971337, 3427.06,   2416.33,   1010.74,   3427.06
  610.23,  245.10,  609.84,  264.20,  542.94,  243.97,  657.01,  259.91, 2420.02, 1013.18,4264321056, 3433.20,   2420.02,   1013.18,   3433.20
  610.58,  245.25,  609.78,  264.05,  542.66,  243.55,  657.68,  260.24, 2420.70, 1013.09,4264256081, 3433.79,   2420.70,   1013.09,   3433.79
  610.97,  245.66,  610.29,  264.07,  543.35,  243.96,  658.44,  260.48, 2423.05, 1014.17,4268243758, 3437.21,   2423.05,   1014.17,   3437.21
  607.13,  244.13,  607.03,  262.38,  540.19,  242.84,  654.83,  258.85, 2409.18, 1008.21,4263966924, 3417.39,   2409.18,   1008.21,   3417.39
  608.66,  244.86,  609.30,  263.45,  542.66,  243.81,  657.27,  259.52, 2417.88, 1011.64,4268255519, 3429.52,   2417.88,   1011.64,   3429.52
