TIME 2024-02-05 15:15:42
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.95          8k        80.0         0.5         0.0
       1        0.99          7k       160.0         1.8         0.0
       2        0.97          7k       120.0         0.2         0.0
       3        1.00          7k       160.0         2.3         0.0
       4        2.40        507k      1520.0        22.1         0.8
       5        0.26          1k        40.0         0.2         0.0
       6        0.20          0k         0.0         0.0         0.0
       7        0.23          0k         0.0         0.0         0.0
       8        0.23          0k         0.0         0.0         0.0
       9        0.20          0k         0.0         0.0         0.0
      10        0.96         10k       760.0         0.7         0.5
      11        0.12          0k         0.0         0.0         0.0
      12        0.10          0k         0.0         0.0         0.0
      13        0.23          0k         0.0         0.0         0.0
      14        0.31          1k        80.0         0.0         0.0
      15        0.23          0k        40.0         0.0         0.0
      16        0.28          0k        80.0         0.0         0.0
      17        0.23          0k         0.0         0.0         0.0
      18        0.23          0k         0.0         0.0         0.0
      19        0.21          0k       120.0         0.0         0.0
      20        0.36          0k         0.0         0.0         0.0
      21        0.27          0k        80.0         0.0         0.0
      22        0.33          0k         0.0         0.0         0.0
      23        0.33          0k        40.0         0.0         0.0
      24        0.22          0k        40.0         0.0         0.0
      25        0.24          0k         0.0         0.0         0.0
      26        0.32          0k        80.0         0.0         0.0
      27        0.30          0k        80.0         0.0         0.0
      28        0.23          0k       120.0         0.0         0.0
      29        0.24          0k        40.0         0.0         0.0
      30        0.14          0k         0.0         0.0         0.0
      31        0.20          0k       160.0         0.0         0.0
      32        0.21          0k         0.0         0.0         0.0
      33        0.25          0k         0.0         0.0         0.0
      34        0.19          0k        40.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.25          0k        40.0         0.0         0.0
      37        0.24          0k         0.0         0.0         0.0
      38        0.24          0k         0.0         0.0         0.0
      39        0.24          0k        40.0         0.0         0.0
TIME 2024-02-05 15:15:43
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98        280k       120.0         0.9         0.1
       1        1.01        265k       320.0        39.1         0.0
       2        0.97        220k       120.0         0.7         0.0
       3        1.00        276k       160.0        81.4         0.0
       4        3.34      24556k      1560.0        14.9         0.0
       5        0.26          3k         0.0         0.8         0.0
       6        0.08          1k         0.0         0.0         0.0
       7        0.10          0k         0.0         0.0         0.0
       8        0.18          0k         0.0         0.1         0.0
       9        0.17          0k         0.0         0.0         0.0
      10        1.44         75k      3720.0         5.0         0.7
      11        0.05          1k         0.0         0.0         0.0
      12        0.03          1k         0.0         0.1         0.0
      13        0.07          0k         0.0         0.0         0.0
      14        0.23         17k       160.0         0.0         0.0
      15        0.23          1k         0.0         0.0         0.0
      16        0.19          0k        80.0         0.0         0.0
      17        0.32          1k         0.0         0.0         0.0
      18        0.08          0k         0.0         0.0         0.0
      19        0.15          0k        80.0         0.0         0.0
      20        0.28          0k         0.0         0.0         0.0
      21        0.19          2k       120.0         0.0         0.0
      22        0.35          0k         0.0         0.0         0.0
      23        0.33          0k        40.0         0.0         0.0
      24        0.22          1k        40.0         0.0         0.0
      25        0.20          2k         0.0         0.0         0.0
      26        0.36          3k        40.0         0.0         0.2
      27        0.36          1k       120.0         0.2         0.0
      28        0.26          0k       120.0         0.0         0.0
      29        0.19          0k        40.0         0.0         0.0
      30        0.02          1k         0.0         0.0         0.0
      31        0.34          2k       120.0         0.0         0.0
      32        0.30          3k         0.0         0.0         0.0
      33        0.31          1k       120.0         0.1         0.0
      34        0.00         13k        40.0         0.0         0.0
      35        0.16          1k         0.0         0.0         0.0
      36        0.18          0k        40.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.37          4k       120.0         0.1         0.1
      39        0.22          0k        40.0         0.0         0.0
TIME 2024-02-05 15:15:44
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        261k       120.0         0.4         0.1
       1        0.99        269k       280.0        47.5         0.0
       2        0.97        218k       160.0         0.7         0.0
       3        1.00        258k       160.0        75.2         0.0
       4        3.26      21276k      1400.0       105.9         0.0
       5        0.24          2k         0.0         0.6         0.0
       6        0.11          1k         0.0         0.0         0.0
       7        0.16          0k         0.0         0.0         0.0
       8        0.18          0k         0.0         0.1         0.0
       9        0.20          0k         0.0         0.0         0.0
      10        1.46         10k      3800.0         0.4         0.3
      11        0.14          0k         0.0         0.0         0.0
      12        0.17          0k        80.0         0.1         0.0
      13        0.23          1k         0.0         0.0         0.0
      14        0.23         17k       160.0         0.0         0.0
      15        0.15          0k        40.0         0.0         0.0
      16        0.16          0k        80.0         0.0         0.0
      17        0.30          1k         0.0         0.0         0.0
      18        0.13          0k        80.0         0.1         0.0
      19        0.15          0k       120.0         0.0         0.0
      20        0.29          0k         0.0         0.0         0.0
      21        0.19          1k       120.0         0.1         0.0
      22        0.36          0k         0.0         0.0         0.0
      23        0.28          0k        40.0         0.0         0.0
      24        0.24          0k        40.0         0.0         0.0
      25        0.34          2k         0.0         0.0         0.0
      26        0.93          8k       240.0         0.4         1.0
      27        0.24          1k       120.0         0.0         0.0
      28        0.21          0k       120.0         0.0         0.0
      29        0.23          0k        40.0         0.0         0.0
      30        0.04          1k         0.0         0.0         0.0
      31        0.39          1k       160.0         0.0         0.0
      32        0.19          0k         0.0         0.0         0.0
      33        0.30          1k       120.0         0.0         0.0
      34        0.01         13k        40.0         0.0         0.0
      35        0.21          0k         0.0         0.0         0.0
      36        0.20          0k        80.0         0.0         0.0
      37        0.11          1k         0.0         0.0         0.0
      38        0.53          7k       480.0         0.2         0.4
      39        0.19          0k        40.0         0.0         0.0
TIME 2024-02-05 15:15:45
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        256k       160.0         0.8         0.0
       1        0.99        238k       320.0        40.1         0.0
       2        0.97        232k       160.0         0.5         0.0
       3        1.00        261k       240.0        72.1         0.1
       4        3.14      21587k      1640.0        29.5         0.2
       5        0.25          2k         0.0         0.1         0.0
       6        0.08          0k         0.0         0.0         0.0
       7        0.10          0k         0.0         0.0         0.0
       8        0.18          0k         0.0         0.1         0.0
       9        0.17          0k         0.0         0.0         0.0
