TIME 2024-02-05 16:34:15
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00          3k       200.0         0.1         0.0
       1        1.02          2k         0.0         0.0         0.0
       2        0.98          1k       120.0         0.0         0.0
       3        1.02          5k       120.0         3.9         0.0
       4        1.88         57k      1480.0        10.4         0.7
       5        0.25          1k        40.0         0.2         0.0
       6        0.19          0k        40.0         0.0         0.0
       7        0.19          0k        40.0         0.0         0.0
       8        0.23          0k       120.0         0.0         0.0
       9        0.22          0k        40.0         0.0         0.0
      10        0.94         16k       600.0         0.9         0.6
      11        0.09          0k         0.0         0.0         0.0
      12        0.09          0k         0.0         0.0         0.0
      13        0.23          0k         0.0         0.0         0.0
      14        0.32          1k         0.0         0.0         0.0
      15        0.21          0k         0.0         0.0         0.0
      16        0.20          0k         0.0         0.0         0.0
      17        0.30          0k         0.0         0.0         0.0
      18        0.22          0k        40.0         0.0         0.0
      19        0.22          0k        40.0         0.0         0.0
      20        0.36          0k         0.0         0.0         0.0
      21        0.30          0k         0.0         0.0         0.0
      22        0.30          0k         0.0         0.0         0.0
      23        0.30          0k        40.0         0.0         0.0
      24        0.23          0k         0.0         0.0         0.0
      25        0.17          0k        40.0         0.0         0.0
      26        0.27          1k       120.0         0.0         0.0
      27        0.35          1k         0.0         0.0         0.1
      28        0.27          0k        40.0         0.0         0.0
      29        0.38          0k         0.0         0.0         0.0
      30        0.11          0k         0.0         0.0         0.0
      31        0.39          0k         0.0         0.0         0.0
      32        0.16          0k         0.0         0.0         0.0
      33        0.25          0k         0.0         0.0         0.0
      34        0.15          0k         0.0         0.0         0.0
      35        0.25          0k         0.0         0.0         0.0
      36        0.23          0k         0.0         0.0         0.0
      37        0.25          0k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.24          0k         0.0         0.0         0.0
TIME 2024-02-05 16:34:16
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00        385k       160.0       169.9         0.0
       1        1.02        312k         0.0         0.2         0.0
       2        0.97        371k       120.0        41.7         0.0
       3        1.00        447k        80.0       283.5         0.0
       4        3.29      25292k      1520.0       453.6         0.4
       5        0.28          2k        80.0         0.1         0.0
       6        0.15          1k        40.0         0.0         0.0
       7        0.18          0k        40.0         0.0         0.0
       8        0.20          0k       120.0         0.0         0.0
       9        0.18          0k        40.0         0.0         0.0
      10        1.44         14k      2200.0         1.6         0.5
      11        0.15          0k         0.0         0.0         0.0
      12        0.05          1k         0.0         0.0         0.0
      13        0.26          2k       200.0         0.2         0.0
      14        0.23         18k        40.0         0.0         0.0
      15        1.85          8k        80.0         0.0         0.3
      16        0.22          1k        80.0         0.1         0.0
      17        0.29          1k         0.0         0.0         0.0
      18        0.33          2k       200.0         0.2         0.0
      19        0.16          0k        40.0         0.0         0.0
      20        0.32          0k         0.0         0.0         0.0
      21        0.31          0k         0.0         0.0         0.0
      22        0.21          0k         0.0         0.0         0.0
      23        0.35          0k        40.0         0.0         0.0
      24        0.25          1k         0.0         0.0         0.0
      25        0.11          1k        40.0         0.0         0.0
      26        0.39          2k       160.0         0.0         0.0
      27        0.29          1k         0.0         0.0         0.0
      28        0.19          0k        40.0         0.0         0.0
      29        0.20          0k         0.0         0.0         0.0
      30        0.06          1k         0.0         0.0         0.0
      31        0.30          1k         0.0         0.0         0.0
      32        0.27          2k        40.0         0.0         0.0
      33        0.29          1k        40.0         0.0         0.0
      34        0.01         13k         0.0         0.0         0.0
      35        0.16          1k         0.0         0.0         0.0
      36        0.18          0k         0.0         0.0         0.0
      37        0.10          1k         0.0         0.0         0.0
      38        0.20          1k         0.0         0.0         0.0
      39        0.19          0k         0.0         0.0         0.0
TIME 2024-02-05 16:34:17
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00        327k       120.0         0.0         0.0
       1        1.02        320k         0.0         0.0         0.0
       2        0.97        320k       120.0         0.1         0.0
       3        1.01        357k        80.0       126.3         0.0
       4        3.19      23054k      1480.0         1.5         0.0
       5        0.26          1k        80.0         0.0         0.0
       6        0.07          1k        40.0         0.0         0.0
       7        0.14          0k        40.0         0.0         0.0
       8        0.17          0k       120.0         0.0         0.0
       9        0.18          0k         0.0         0.0         0.0
      10        1.45          8k      2200.0         0.5         0.5
      11        0.15          0k         0.0         0.0         0.0
      12        0.18          0k         0.0         0.0         0.0
      13        0.08          0k        80.0         0.0         0.0
      14        0.23         16k        40.0         0.0         0.0
      15        0.13          0k        40.0         0.0         0.0
      16        1.25         11k      2160.0         1.3         1.3
      17        0.32          1k         0.0         0.0         0.0
      18        0.37          0k       120.0         0.0         0.0
      19        0.22          0k        40.0         0.0         0.0
      20        0.54          0k         0.0         0.0         0.0
      21        0.24          1k         0.0         0.0         0.1
      22        0.20          0k         0.0         0.0         0.0
      23        0.34          0k        40.0         0.0         0.0
      24        0.23          0k         0.0         0.0         0.0
      25        0.12          1k        40.0         0.0         0.0
      26        0.38          2k       160.0         0.0         0.0
      27        0.30          1k         0.0         0.0         0.0
      28        0.27          0k        40.0         0.0         0.0
      29        0.20          0k         0.0         0.0         0.0
      30        0.04          1k         0.0         0.0         0.0
      31        0.42          0k         0.0         0.0         0.0
      32        0.18          0k         0.0         0.0         0.0
      33        0.31          0k        40.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.23          0k         0.0         0.0         0.0
      36        0.15          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.23          0k         0.0         0.0         0.0
      39        0.18          0k         0.0         0.0         0.0
TIME 2024-02-05 16:34:18
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.01        247k       160.0        17.1         0.0
       1        1.02        332k        40.0         0.0         0.0
       2        0.97        281k       200.0        16.2         0.0
       3        1.00        365k        40.0       183.2         0.0
       4        3.10      22553k      1440.0       187.9         0.4
       5        0.25          1k       160.0         0.1         0.0
       6        0.05          1k        40.0         0.0         0.0
       7        0.12          0k        40.0         0.0         0.0
       8        0.18          0k       120.0         0.0         0.0
       9        0.18          0k         0.0         0.0         0.0
      10        1.47          6k      2240.0         0.2         0.4
      11        0.15          0k         0.0         0.0         0.0
      12        0.19          0k        40.0         0.0         0.0
      13        0.08          0k        80.0         0.0         0.0
      14        0.23         16k        40.0         0.0         0.0
      15        0.29          1k        40.0         0.0         0.0
      16        0.22          0k      2040.0         0.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.38          0k       240.0         0.1         0.0
      19        0.15          0k        40.0         0.0         0.0
      20        0.33          0k         0.0         0.0         0.0
      21        0.35          0k        40.0         0.0         0.0
      22        0.22          0k         0.0         0.0         0.0
      23        0.35          0k        40.0         0.0         0.0
      24        0.29          0k         0.0         0.0         0.0
      25        0.19          1k        40.0         0.0         0.0
      26        0.48          6k       360.0         0.4         0.2
