TIME 2024-02-05 15:11:17
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
      14        0.24         19k       280.0         0.2         0.1
      15        0.26          0k        80.0         0.0         0.0
      16        0.16          0k       160.0         0.1         0.0
      17        0.25          1k         0.0         0.0         0.0
      18        0.27          0k        40.0         0.0         0.0
      19        0.17          0k         0.0         0.0         0.0
      20        0.27          0k        80.0         0.0         0.0
      21        0.20          3k         0.0         0.1         0.1
      22        0.31          1k        40.0         0.0         0.0
      23        0.28          1k         0.0         0.0         0.0
      24        0.41          7k       440.0         0.2         0.7
      25        0.13          1k        40.0         0.0         0.0
      26        0.25          2k         0.0         0.0         0.1
      27        0.38          6k       120.0         0.0         0.2
      28        0.21          1k         0.0         0.0         0.0
      29        0.48          2k       120.0         0.0         0.0
      30        0.05          2k         0.0         0.0         0.0
      31        0.35          0k         0.0         0.0         0.0
      32        0.19          0k         0.0         0.0         0.0
      33        0.27          1k         0.0         0.0         0.0
      34        0.02          8k        40.0         0.0         0.0
      35        0.20          1k         0.0         0.0         0.0
      36        0.19          0k         0.0         0.0         0.0
      37        0.08          1k         0.0         0.0         0.0
      38        0.21          1k         0.0         0.0         0.0
      39        0.19          0k         0.0         0.0         0.0
TIME 2024-02-05 15:11:21
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        184k       360.0         1.0         0.2
       1        1.00        169k       400.0         4.2         0.2
       2        0.97        142k       160.0         2.5         0.0
       3        1.00        151k       320.0         4.8         0.0
       4        3.35      20542k      2240.0        89.5         0.0
       5        0.26          3k        40.0         0.2         0.0
       6        0.14          0k         0.0         0.1         0.0
       7        0.04          1k        80.0         0.0         0.0
       8        0.17          0k         0.0         0.0         0.0
       9        0.11          0k         0.0         0.0         0.0
      10        1.50         21k      5400.0         1.1         0.5
      11        0.20          0k         0.0         0.0         0.0
      12        0.19          0k         0.0         0.0         0.0
      13        0.36          0k         0.0         0.0         0.0
      14        0.22         16k       280.0         0.0         0.0
      15        0.15          0k        80.0         0.0         0.0
      16        0.18          0k       160.0         0.0         0.0
      17        0.32          1k         0.0         0.0         0.0
      18        0.30          0k        40.0         0.0         0.0
      19        0.15          0k         0.0         0.0         0.0
      20        0.28          0k        80.0         0.0         0.0
      21        0.18          1k         0.0         0.0         0.0
      22        0.33          0k        40.0         0.0         0.0
      23        0.28          0k         0.0         0.0         0.0
      24        0.24          0k       400.0         0.0         0.0
      25        0.15          1k        40.0         0.0         0.0
      26        0.39          1k         0.0         0.0         0.0
      27        0.34          6k       160.0         0.0         0.2
      28        0.21          0k         0.0         0.0         0.0
      29        0.27          1k       120.0         0.0         0.0
      30        0.03          1k         0.0         0.0         0.0
      31        0.19          0k         0.0         0.0         0.0
      32        0.18          0k         0.0         0.0         0.0
      33        0.28          0k         0.0         0.0         0.0
      34        0.02          8k        40.0         0.0         0.0
      35        0.29          0k         0.0         0.0         0.0
      36        0.19          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.21          0k         0.0         0.0         0.0
      39        0.18          0k         0.0         0.0         0.0
TIME 2024-02-05 15:11:22
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        173k       320.0         0.7         0.0
       1        1.00        163k       480.0         7.0         0.1
       2        0.97        149k       200.0         1.4         0.0
       3        1.00        148k       360.0        19.7         0.0
       4        3.16      16817k      1720.0       177.7         0.1
       5        0.28          2k       160.0         0.1         0.0
       6        0.12          0k         0.0         0.1         0.0
       7        0.05          1k        80.0         0.0         0.0
       8        0.28          1k         0.0         0.0         0.0
       9        0.22          0k         0.0         0.0         0.0
      10        1.48          6k      5040.0         0.2         0.1
      11        0.15          0k         0.0         0.0         0.0
      12        0.19          0k         0.0         0.0         0.0
      13        0.34          2k       240.0         0.2         0.0
      14        0.21         17k       240.0         0.0         0.0
      15        0.23          0k        80.0         0.0         0.0
      16        0.15          0k       160.0         0.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.26          0k        40.0         0.0         0.0
      19        0.16          0k         0.0         0.0         0.0
      20        0.28          0k        80.0         0.0         0.0
      21        0.21          2k         0.0         0.0         0.1
      22        0.27          1k        40.0         0.0         0.0
      23        0.27          0k         0.0         0.0         0.0
      24        0.25          0k       360.0         0.0         0.0
      25        0.11          1k        40.0         0.0         0.0
      26        0.24          1k         0.0         0.0         0.0
      27        0.62         12k       120.0         0.5         0.9
      28        0.18          0k         0.0         0.0         0.0
      29        0.19          0k       120.0         0.0         0.0
      30        0.02          1k         0.0         0.0         0.0
      31        0.26          0k         0.0         0.0         0.0
      32        0.19          0k         0.0         0.0         0.0
      33        0.25          0k         0.0         0.0         0.0
      34        0.31         13k       160.0         0.1         0.0
      35        0.22          0k         0.0         0.0         0.0
      36        0.18          0k         0.0         0.0         0.0
      37        0.07          1k         0.0         0.0         0.0
      38        0.23          0k         0.0         0.0         0.0
      39        0.18          0k         0.0         0.0         0.0
TIME 2024-02-05 15:11:23
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        182k       400.0         1.1         0.0
       1        1.00        166k       320.0        11.8         0.0
       2        0.97        149k       200.0         1.5         0.0
       3        1.00        156k       320.0         8.3         0.0
       4        3.29      20205k      1720.0       302.9         0.1
       5        0.27          3k       160.0         0.1         0.0
       6        0.13          0k         0.0         0.1         0.0
       7        0.05          1k        80.0         0.0         0.0
       8        0.15          0k         0.0         0.0         0.0
       9        0.19          0k         0.0         0.0         0.0
      10        1.50         17k      5200.0         1.0         0.6
      11        0.18          0k         0.0         0.0         0.0
      12        0.16          0k         0.0         0.0         0.0
      13        0.36          2k       240.0         0.0         0.0
      14        0.23         17k       280.0         0.0         0.1
      15        0.35          0k        80.0         0.0         0.0
      16        0.15          0k       160.0         0.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.30          0k        40.0         0.0         0.0
      19        0.15          0k         0.0         0.0         0.0
      20        0.27          0k        80.0         0.0         0.0
      21        0.22          1k         0.0         0.0         0.0
      22        0.30          0k        40.0         0.0         0.0
      23        0.30          0k         0.0         0.0         0.0
      24        0.43          5k       360.0         0.4         0.3
      25        0.07          1k        40.0         0.0         0.0
      26        0.39          1k         0.0         0.0         0.0
      27        0.35          6k       200.0         0.3         0.2
      28        0.19          0k         0.0         0.0         0.0
      29        0.38          2k       120.0         0.0         0.0
      30        0.02          2k         0.0         0.0         0.0
      31        0.18          0k         0.0         0.0         0.0
      32        0.18          0k         0.0         0.0         0.0
      33        0.24          0k         0.0         0.0         0.0
      34        0.22         12k       760.0         0.3         0.5
      35        0.20          0k         0.0         0.0         0.0
      36        0.23          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.21          0k         0.0         0.0         0.0
      39        0.18          0k         0.0         0.0         0.0
TIME 2024-02-05 15:11:24
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        179k       320.0         1.0         0.0
       1        1.00        174k       480.0         1.1         0.0
       2        0.97        147k       160.0         1.5         0.0
       3        1.00        153k       360.0         0.8         0.0
       4        3.29      19458k      2320.0        21.3         0.0
       5        0.26          4k       120.0         0.1         0.0
       6        0.17          1k         0.0         0.1         0.0
       7        0.08          1k        80.0         0.0         0.0
       8        0.19          1k         0.0         0.0         0.0
       9        0.16          1k         0.0         0.0         0.0
      10        1.50         14k      5320.0         0.7         0.3
      11        0.18          0k         0.0         0.0         0.0
      12        0.18          0k         0.0         0.0         0.0
      13        0.44          6k       320.0         0.1         0.0
      14        0.23         17k       280.0         0.0         0.0
      15        0.18          0k        80.0         0.0         0.0
      16        0.17          0k       160.0         0.0         0.0
      17        0.33          1k         0.0         0.0         0.0
      18        0.35          1k        40.0         0.0         0.0
      19        0.17          0k         0.0         0.0         0.0
      20        0.29          0k        80.0         0.0         0.0
      21        0.22          3k         0.0         0.1         0.1
      22        0.27          0k        40.0         0.0         0.0
      23        0.30          1k         0.0         0.0         0.0
      24        0.22          1k       360.0         0.0         0.0
      25        0.09          1k        40.0         0.0         0.0
      26        0.23          1k         0.0         0.0         0.0
      27        0.35          7k       120.0         0.2         0.3
      28        0.23          1k         0.0         0.0         0.0
      29        0.27          1k       120.0         0.0         0.0
      30        0.05          2k         0.0         0.0         0.0
      31        0.20          0k         0.0         0.0         0.0
      32        0.20          0k         0.0         0.0         0.0
      33        0.28          1k         0.0         0.0         0.0
      34        0.05          9k       680.0         0.0         0.0
      35        0.23          0k         0.0         0.0         0.0
      36        0.20          0k         0.0         0.0         0.0
      37        0.09          1k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.29          0k         0.0         0.0         0.0
TIME 2024-02-05 15:11:25
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        182k       360.0         1.6         0.0
       1        1.00        176k       400.0        11.1         0.1
       2        0.97        152k       120.0         1.6         0.0
       3        1.00        152k       320.0         0.3         0.0
       4        3.13      17537k      1840.0       394.5         0.2
       5        0.27          1k       120.0         0.1         0.0
       6        0.17          0k        40.0         0.1         0.0
       7        0.08          1k        80.0         0.0         0.0
       8        0.16          0k         0.0         0.0         0.0
       9        0.21          0k         0.0         0.0         0.0
      10        1.48          5k      5320.0         0.0         0.1
      11        0.16          0k         0.0         0.0         0.0
      12        0.16          0k         0.0         0.0         0.0
      13        0.11          0k       320.0         0.0         0.0
      14        0.23         16k       320.0         0.0         0.0
      15        0.13          0k        80.0         0.0         0.0
      16        0.16          0k       160.0         0.0         0.0
      17        0.33          1k         0.0         0.0         0.0
      18        0.37          0k        40.0         0.0         0.0
      19        0.14          0k         0.0         0.0         0.0
      20        0.27          0k        80.0         0.0         0.0
      21        0.18          1k         0.0         0.0         0.0
      22        0.29          0k        40.0         0.0         0.0
      23        0.30          0k         0.0         0.0         0.0
      24        0.26          0k       400.0         0.0         0.1
      25        0.22          1k        40.0         0.0         0.0
      26        0.41          1k         0.0         0.0         0.0
      27        0.39          5k        80.0         0.0         0.4
      28        0.25          0k         0.0         0.0         0.0
      29        0.19          0k       120.0         0.0         0.0
      30        0.04          1k         0.0         0.0         0.0
      31        0.19          0k         0.0         0.0         0.0
      32        0.18          0k         0.0         0.0         0.0
      33        0.28          0k         0.0         0.0         0.0
      34        0.01          8k       680.0         0.0         0.0
      35        0.29          0k         0.0         0.0         0.0
      36        0.19          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.21          0k         0.0         0.0         0.0
      39        0.18          0k         0.0         0.0         0.0
TIME 2024-02-05 15:11:26
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        190k       440.0         0.8         0.1
       1        1.00        174k       400.0         4.6         0.0
       2        0.97        147k       120.0         1.6         0.0
       3        1.00        158k       320.0         0.4         0.0
       4        3.35      20959k      2040.0       153.7         0.0
       5        0.27          4k       120.0         0.0         0.0
       6        0.11          0k         0.0         0.0         0.0
       7        0.04          1k        80.0         0.0         0.0
       8        0.27          1k         0.0         0.0         0.0
       9        0.17          0k         0.0         0.0         0.0
      10        1.50         14k      5360.0         0.5         0.5
