System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2023-11-28,14:18:00.519,0.25,1.24,0.20,1.31,53.47,71.61,0.25,0.32,0.0045,0.0061,  2400,0,0,3.85,1.20,100,55,11796.92,9539.57,2402.66,2.47,61.83,0.49,12.28,15.21,17.01,0.04,67.74,0.00,100.00,0.00,0.00,0.00,0.00,37.53,9.15 ,2342361.44 ,2.70,1.17,0.90,1.31,1.32,26.99,29.59,0.09,0.11,0.0096,0.0105,    40,0,0,98.86,1.14,0.00,0.00,0.00,56,2819.60,3145.30,2402.66,1.79,44.82,2.35,58.69,
2023-11-28,14:18:01.519,0.25,1.24,0.20,1.31,52.55,70.58,0.26,0.31,0.0044,0.0060,  2560,2,0,3.78,1.20,100,54,11818.32,9529.92,2400.29,2.48,62.01,0.49,12.31,15.17,16.84,0.01,67.98,0.00,100.00,0.00,0.00,0.00,0.00,37.54,9.06 ,0.00 ,2.70,1.17,0.90,1.31,1.33,26.24,28.83,0.09,0.11,0.0093,0.0102,    40,0,0,98.88,1.12,0.00,0.00,0.00,57,2817.19,3145.78,2400.29,1.79,44.78,2.35,58.68,
2023-11-28,14:18:02.519,0.25,1.24,0.20,1.31,51.52,69.59,0.26,0.31,0.0043,0.0059,  2800,0,0,3.69,1.20,100,55,11844.72,9531.67,2400.22,2.49,62.13,0.49,12.34,15.16,16.71,0.01,68.12,0.00,100.00,0.00,0.00,0.00,0.00,37.49,9.09 ,0.37 ,2.70,1.17,0.90,1.31,1.33,25.61,28.21,0.09,0.11,0.0091,0.0100,    40,0,0,98.91,1.09,0.00,0.00,0.00,56,2818.68,3147.80,2400.22,1.79,44.77,2.35,58.72,
2023-11-28,14:18:03.519,0.25,1.24,0.20,1.31,50.74,68.78,0.26,0.31,0.0043,0.0058,  3320,0,0,3.63,1.19,100,55,11848.13,9526.00,2400.11,2.49,62.19,0.49,12.34,15.18,16.92,0.03,67.86,0.00,100.00,0.00,0.00,0.00,0.00,37.49,9.11 ,0.00 ,2.70,1.17,0.90,1.31,1.33,25.04,27.64,0.09,0.10,0.0089,0.0098,    40,0,0,98.84,1.16,0.00,0.00,0.00,57,2814.84,3143.54,2400.11,1.79,44.77,2.35,58.64,
2023-11-28,14:18:04.520,0.25,1.25,0.20,1.31,50.17,68.29,0.27,0.31,0.0042,0.0057,  3280,0,0,3.58,1.19,100,55,11888.90,9540.62,2402.44,2.49,62.31,0.49,12.37,15.16,16.72,0.01,68.11,0.00,100.00,0.00,0.00,0.00,0.00,37.52,9.02 ,0.37 ,2.70,1.17,0.90,1.31,1.33,24.70,27.32,0.10,0.10,0.0088,0.0097,    40,0,0,98.90,1.10,0.00,0.00,0.00,57,2821.62,3150.79,2402.44,1.79,44.78,2.35,58.72,
2023-11-28,14:18:05.520,0.25,1.24,0.20,1.29,49.61,67.91,0.27,0.31,0.0042,0.0057,  7200,4,0,3.53,1.18,100,55,11897.47,9588.44,2400.22,2.48,62.04,0.50,12.39,15.47,17.27,0.01,67.25,0.00,100.00,0.00,0.00,0.00,0.00,37.52,9.09 ,0.37 ,2.70,1.17,0.90,1.31,1.32,24.31,26.91,0.10,0.10,0.0087,0.0096,    40,0,0,98.77,1.23,0.00,0.00,0.00,56,2809.16,3135.57,2400.22,1.79,44.80,2.34,58.52,
2023-11-28,14:18:06.520,0.25,1.25,0.20,1.31,49.20,67.40,0.27,0.31,0.0041,0.0057,  7280,0,0,3.50,1.18,100,55,11882.52,9532.15,2400.10,2.49,62.33,0.50,12.38,15.18,16.84,0.00,67.98,0.00,100.00,0.00,0.00,0.00,0.00,37.50,9.08 ,0.00 ,2.70,1.18,0.90,1.31,1.33,24.13,26.76,0.10,0.10,0.0086,0.0095,    40,0,0,98.90,1.10,0.00,0.00,0.00,56,2820.19,3146.40,2400.10,1.79,44.82,2.35,58.75,
2023-11-28,14:18:07.521,0.25,1.25,0.20,1.31,49.00,67.14,0.27,0.31,0.0041,0.0056,  7600,1,0,3.49,1.19,100,55,11887.57,9527.40,2400.15,2.50,62.39,0.50,12.38,15.18,16.91,0.00,67.91,0.00,100.00,0.00,0.00,0.00,0.00,37.47,9.05 ,0.37 ,2.70,1.17,0.90,1.31,1.33,23.92,26.55,0.10,0.10,0.0085,0.0094,    40,0,0,98.86,1.14,0.00,0.00,0.00,56,2818.57,3144.54,2400.15,1.79,44.82,2.35,58.71,
2023-11-28,14:18:08.521,0.25,1.25,0.20,1.31,48.65,66.83,0.27,0.31,0.0041,0.0056,  7600,0,0,3.45,1.18,100,55,11906.54,9533.01,2400.13,2.50,62.45,0.50,12.40,15.18,16.78,0.00,68.04,0.00,100.00,0.00,0.00,0.00,0.00,37.45,9.02 ,0.37 ,2.70,1.17,0.90,1.31,1.33,23.73,26.36,0.10,0.10,0.0084,0.0093,    40,0,0,98.92,1.08,0.00,0.00,0.00,56,2819.99,3147.49,2400.13,1.79,44.80,2.35,58.75,
