skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
7389326,5399814,5075070,67646320,1031156,0,298130,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7396732,5384624,5113472,67704910,1027796,168,297794
7401912,5389328,5210282,67624298,1031380,0,297570,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7391300,5327700,5186160,67729872,1029952,0,297640
7293706,5384386,5180434,67696440,1031898,0,296548,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7274022,5378730,5108068,67656260,1031394,0,295442
7301042,5384820,5423684,67634728,1029112,0,296282,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7299936,5375538,5155458,67544302,1023204,168,296324
7331128,5378226,5006344,67527964,1031772,0,295078,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7398538,5364184,5077758,67435004,1025696,0,295834
7458976,5356820,5158790,67391996,1030736,0,294854,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7450254,5359564,5202022,67335842,1031058,0,294560
7437094,5320126,5072508,67354434,1026480,0,295078,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7444122,5284258,5036500,67317628,1032178,0,294406
7433104,5294604,5166770,67322850,1029070,0,294938,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7433384,5247018,5028506,67282208,1026172,0,294434
7453320,5219732,5012210,67135950,1029280,0,294826,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7445900,5257196,5115530,67263546,1025738,0,294112
7427924,5264812,5605992,67237184,1031422,0,294168,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7427014,5279274,5044452,67183620,1030540,0,293874
7438858,5294954,5024306,67103190,1024352,0,294056,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7425712,5359256,5163494,67230240,1029406,0,290668
7399308,5355014,5460070,67171944,1027726,0,293118,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7417354,5368384,5633964,67139016,1019900,14,293300
7442848,5366172,5626236,67119318,1029504,14,292040,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7434658,5371114,6493438,67129300,1025556,0,292544
7426916,5355042,6378330,67194288,1026172,0,292628,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7419356,5363288,8885590,67137294,1030218,0,294742
7434014,5361398,8728230,67134578,1028020,0,293874,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7429212,5360432,8558634,67181072,1026788,0,293384
7428974,5363092,8338092,67155200,1029336,0,293566,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7418600,5351626,7971208,67135166,1019760,0,293720
7431578,5357968,7901586,66967866,1028608,168,292852,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7411054,5347272,4971932,67046098,1029826,0,293006
7385336,5349162,4951352,67007752,1024240,0,292866,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7414414,5351472,4910934,67013744,1023106,0,293580
7420140,5358724,4869270,66940916,1020782,0,293566,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7407274,5367558,4886014,66977176,1019326,0,294252
7404838,5346852,4937674,72384970,1017632,168,293048,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7388682,5339124,4939032,67846408,1026522,0,293706
7405104,5341658,4923408,67870754,1017702,0,292446,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7389928,5310606,5078906,67779922,1027236,0,293538
7384090,5325334,4971078,67939536,1023988,0,293258,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7385140,5339866,4983524,67883760,1013754,0,293468
7334726,5300722,5160484,67198292,1019620,168,292964,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7394786,5334504,4969552,66746708,1013068,0,293300
7386274,5311824,4981676,66905048,1013278,0,294518,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7379526,5342582,5050710,66901436,1014468,0,293510
7385378,5333986,5005168,66772202,1014104,0,293062,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7380702,5334112,4979450,66742774,1004962,0,294294
7395780,5331872,4946410,66796688,1003338,168,294224,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7384006,5300470,4990370,66707088,999768,0,294546
7378168,5327308,4957358,66848628,1007510,0,293818,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
