System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2023-11-28,14:42:43.587,0.32,1.60,0.20,1.31,36.40,54.93,0.34,0.37,0.0024,0.0036,  3320,2,0,2.52,1.05,100,54,15271.73,9560.18,2402.16,3.19,79.87,0.64,15.90,15.24,17.05,0.01,67.69,0.00,100.00,0.00,0.00,0.00,0.00,38.30,8.82 ,549332.49 ,2.70,1.16,0.88,1.31,1.32,19.83,22.40,0.11,0.11,0.0071,0.0081,     0,0,0,98.86,1.14,0.00,0.00,0.00,57,2774.36,3144.17,2402.16,1.76,44.12,2.31,57.76,
2023-11-28,14:42:44.587,0.32,1.60,0.20,1.31,36.31,54.90,0.34,0.37,0.0024,0.0036,  3560,0,0,2.53,1.05,100,55,15226.33,9530.41,2400.26,3.20,79.88,0.63,15.86,15.20,17.02,0.03,67.75,0.00,100.00,0.00,0.00,0.00,0.00,38.19,8.81 ,0.26 ,2.70,1.16,0.88,1.31,1.32,19.81,22.44,0.12,0.11,0.0071,0.0081,     0,0,0,98.87,1.13,0.00,0.00,0.00,56,2781.59,3143.60,2400.26,1.77,44.24,2.32,57.94,
2023-11-28,14:42:45.587,0.32,1.60,0.20,1.31,36.31,54.88,0.34,0.37,0.0024,0.0036,  4080,0,0,2.53,1.05,100,55,15216.79,9519.65,2400.12,3.20,79.92,0.63,15.85,15.17,17.14,0.03,67.66,0.00,100.00,0.00,0.00,0.00,0.00,38.17,8.80 ,0.37 ,2.70,1.16,0.88,1.31,1.32,19.80,22.43,0.12,0.11,0.0071,0.0081,     0,0,0,98.87,1.13,0.00,0.00,0.00,57,2779.84,3142.44,2400.12,1.77,44.23,2.32,57.91,
2023-11-28,14:42:46.587,0.32,1.60,0.20,1.31,36.32,54.88,0.34,0.37,0.0024,0.0036,  4400,0,0,2.53,1.05,100,55,15241.43,9531.51,2400.19,3.20,79.95,0.64,15.88,15.18,16.80,0.01,68.01,0.00,100.00,0.00,0.00,0.00,0.00,38.23,8.80 ,0.33 ,2.70,1.16,0.88,1.31,1.33,19.81,22.44,0.12,0.11,0.0071,0.0081,     0,0,0,98.91,1.09,0.00,0.00,0.00,57,2780.41,3146.71,2400.19,1.77,44.18,2.32,57.92,
2023-11-28,14:42:47.587,0.32,1.60,0.20,1.31,36.46,54.97,0.34,0.37,0.0024,0.0036,  4760,1,0,2.55,1.06,100,54,15248.62,9533.79,2400.20,3.20,79.97,0.64,15.88,15.17,16.73,0.02,68.08,0.00,100.00,0.00,0.00,0.00,0.00,38.30,8.85 ,0.33 ,2.70,1.16,0.88,1.31,1.33,19.82,22.44,0.12,0.11,0.0071,0.0081,     0,0,0,98.91,1.09,0.00,0.00,0.00,57,2781.31,3147.72,2400.20,1.77,44.18,2.32,57.94,
2023-11-28,14:42:48.589,0.32,1.60,0.20,1.31,36.44,55.00,0.34,0.37,0.0024,0.0036,  5200,3,0,2.54,1.06,100,54,15247.27,9536.15,2402.58,3.20,79.94,0.63,15.87,15.19,17.03,0.03,67.76,0.00,100.00,0.00,0.00,0.00,0.00,38.26,8.80 ,0.37 ,2.70,1.16,0.88,1.31,1.32,19.84,22.46,0.12,0.11,0.0071,0.0081,     0,0,0,98.86,1.14,0.00,0.00,0.00,57,2781.03,3146.37,2402.58,1.77,44.19,2.32,57.88,
2023-11-28,14:42:49.589,0.32,1.60,0.20,1.31,36.39,54.95,0.34,0.36,0.0024,0.0036,  5920,0,0,2.54,1.05,100,54,15237.84,9525.99,2400.01,3.20,79.98,0.63,15.87,15.18,16.89,0.04,67.90,0.00,100.00,0.00,0.00,0.00,0.00,38.23,8.77 ,0.37 ,2.70,1.16,0.88,1.31,1.33,19.84,22.47,0.12,0.11,0.0071,0.0081,     0,0,0,98.86,1.14,0.00,0.00,0.00,57,2779.42,3144.14,2400.01,1.77,44.20,2.32,57.90,
2023-11-28,14:42:50.589,0.32,1.60,0.20,1.31,36.40,54.97,0.34,0.36,0.0024,0.0036,  6400,0,0,2.54,1.06,100,54,15247.88,9529.52,2400.01,3.20,80.00,0.64,15.88,15.17,16.83,0.01,67.99,0.00,100.00,0.00,0.00,0.00,0.00,38.22,8.78 ,0.33 ,2.70,1.16,0.88,1.31,1.33,19.85,22.48,0.12,0.11,0.0071,0.0081,     0,0,0,98.90,1.10,0.00,0.00,0.00,57,2779.88,3146.04,2400.01,1.77,44.18,2.32,57.91,
2023-11-28,14:42:51.589,0.32,1.60,0.20,1.30,36.19,54.81,0.34,0.36,0.0024,0.0036,  7960,4,0,2.52,1.05,100,54,15212.12,9512.50,2400.08,3.20,79.96,0.63,15.85,15.23,17.44,0.03,67.30,0.00,100.00,0.00,0.00,0.00,0.00,38.16,8.81 ,0.37 ,2.70,1.15,0.88,1.31,1.32,19.77,22.39,0.12,0.11,0.0071,0.0081,     0,0,0,98.67,1.33,0.00,0.00,0.00,56,2770.89,3132.67,2400.08,1.77,44.23,2.31,57.72,
2023-11-28,14:42:52.589,0.32,1.60,0.20,1.30,36.23,54.76,0.34,0.36,0.0024,0.0036,  8000,0,0,2.52,1.05,100,54,15188.97,9500.78,2400.14,3.20,79.94,0.63,15.82,15.18,17.23,0.01,67.58,0.00,100.00,0.00,0.00,0.00,0.00,38.18,8.80 ,0.33 ,2.70,1.15,0.88,1.31,1.32,19.77,22.38,0.12,0.11,0.0071,0.0081,     0,0,0,98.61,1.39,0.00,0.00,0.00,56,2769.61,3133.25,2400.14,1.77,44.20,2.31,57.70,
2023-11-28,14:42:53.589,0.32,1.60,0.20,1.31,36.24,54.79,0.34,0.36,0.0024,0.0036,  8120,0,0,2.52,1.05,100,54,15198.68,9503.03,2399.98,3.20,79.97,0.63,15.83,15.16,17.04,0.00,67.79,0.00,100.00,0.00,0.00,0.00,0.00,38.22,8.83 ,0.33 ,2.70,1.16,0.88,1.31,1.32,19.78,22.40,0.12,0.11,0.0071,0.0081,     0,0,0,98.65,1.35,0.00,0.00,0.00,57,2772.42,3136.08,2399.98,1.77,44.20,2.31,57.76,
2023-11-28,14:42:54.589,0.32,1.60,0.20,1.30,36.23,54.77,0.34,0.36,0.0024,0.0036,  8360,1,0,2.52,1.05,100,54,15183.54,9500.53,2400.21,3.20,79.91,0.63,15.82,15.19,17.33,0.03,67.45,0.00,100.00,0.00,0.00,0.00,0.00,38.20,8.80 ,0.37 ,2.70,1.15,0.88,1.30,1.32,19.75,22.37,0.12,0.11,0.0071,0.0081,     0,0,0,98.59,1.41,0.00,0.00,0.00,56,2769.35,3131.81,2400.21,1.77,44.21,2.31,57.69,
