skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
1368290,799022,203966,6577564,13294540,0,35924,13796160,65170,2595110,8662108,0,13384,79660
1243662,799568,260246,5096336,13156976,0,26264,13802558,65156,2608704,8480164,0,13356,79632
1088318,789614,269248,4557966,13174126,0,26236,13806184,65114,2621794,7760760,0,13356,79646
1327984,778708,182378,5508776,13264958,0,26250,13798232,65240,2749418,7573300,0,13384,79618
1073450,845040,137004,230266442,13231260,0,26306,13811546,65212,2573522,6179474,0,13370,79338
1052716,789628,183148,4056962,13187762,0,26138,13809236,65128,2724610,5100354,0,13356,79296
1344000,785400,362768,5857488,12933102,0,26166,13803342,65114,2782976,4590320,0,13804,79324
826056,645274,277872,3256134,13242754,0,26334,13795670,65128,2767282,5172398,0,13790,79352
1037442,790076,148568,3348226,12877060,0,30590,13787312,65128,2657200,6347824,0,13804,79380
1366400,785610,149422,15060360,13471458,168,31878,13801676,65114,2605946,7015722,0,13370,97328
1247064,314986,845194,34726314,17138492,168,1073436,17567886,83104,4508490,7764764,0,16926,100982
19230778,2098880,99820,34969536,17143896,336,1071602,17568152,82880,2693250,9024764,0,17010,100828
19202344,2098642,45556,35028280,17141936,196,1075312,17572044,82908,2584568,7816844,0,17010,100604
19233032,2103080,75824,35037912,17142552,168,1069950,17576580,82866,2730056,5973240,0,17010,100086
19219410,2108204,244468,34973162,17144820,196,1077216,17571890,82922,2753744,6412196,0,17024,100688
19231366,2139550,53998,35048902,17144722,980,1077496,17572674,82908,2567432,7845726,0,17010,100660
19221426,2136120,45262,34969480,17147074,140,1077944,17570350,82908,2581208,8460354,0,17010,100618
19260066,1451842,6311466,33609604,17156146,322,1077314,17573066,83062,4707822,10327044,0,16870,100688
19219340,2132200,237426,34933990,17143910,140,1069642,17570938,82936,2725730,5762610,0,17010,100520
19227376,2133530,105266,34709696,17150504,140,679644,17572044,82908,2594662,7067368,0,17024,62832
12069876,1338680,1539314,4835810,10641778,168,27748,10984624,51772,2864050,4159106,0,10626,62860
1323308,642320,127176,11566968,10663926,196,21490,10983672,51786,2704100,4751040,0,10612,62832
1198022,648648,452816,164718498,10652922,140,27608,10976742,51758,2827678,5655818,0,10626,62790
1319570,641900,96544,4345698,10697400,140,27524,10988600,51800,2624594,6872614,0,10626,62832
1253532,591192,39312,24873828,10589488,420,21602,10979472,52024,2653518,5791898,0,10640,63042
913052,633542,201278,3147928,10527580,168,21280,10990140,51814,2713410,5487594,0,10626,63084
1477154,637840,351736,7769916,10580836,140,27048,10978800,51786,2652426,4954068,0,10612,63084
1288154,611016,188720,12074496,10639006,168,24416,10977414,51730,2652776,10524458,0,10584,65912
994560,631848,136724,2911454,10116190,224,21294,10976546,51772,2657928,3988040,0,10626,63056
998494,658280,151942,135887220,10558828,0,31612,10980620,52626,2652734,4012064,0,10626,96180
1226848,954240,210910,6526562,16087932,0,1039178,16740262,79002,2643452,6455890,0,16226,96222
18318342,2010344,193886,33133492,16341920,0,1043672,16737560,79058,2679530,6155576,0,16828,96236
18323816,2008370,200172,33139386,16342088,0,1043952,16743300,78974,2638958,5892446,0,16828,96236
18329206,2014194,205156,33191424,16341808,0,1043616,16742558,79044,2780890,6204800,0,16828,96250
18328128,2011156,175574,33261928,16341472,0,1041656,16741438,79016,2659930,6970824,0,16842,96208
18231570,2012486,255710,33254088,16341514,0,1044190,16750118,79030,2882908,7857416,0,16842,96222
18324852,2014432,362334,33123594,16340576,0,1044078,16753716,79044,2673678,7743694,0,16842,96222
18328730,2010694,142002,33148794,15382892,0,1020768,16754066,79030,2654862,8290016,0,16842,96110
18506334,2006452,153034,33127920,16340394,42,1042356,16752792,79030,2594760,8344840,0,16842,96278
18325902,2009196,139174,33521586,16343012,0,554008,16754976,79058,2595530,7864304,0,14084,51282
9829078,1086442,126826,18848494,8757798,0,23912,8962044,42336,2667882,4737096,0,9436,51226
1217370,511294,167888,4759762,8725472,0,29778,8961596,42266,2626106,4974816,0,9422,51254
1190364,489720,125538,5270566,8754942,0,27076,8945496,42238,2596678,4230604,0,9436,51142
1856820,527982,196434,18398758,8611568,0,17864,8949388,42322,2628374,3569510,0,9450,51380
1315020,503720,143584,4139254,8767710,140,25634,8978102,42322,2572528,3858372,0,9436,51296
1310848,491652,282198,4153044,8754284,224,28000,8976324,42294,2663192,4504010,0,9464,51380
1631084,528962,95872,5723956,8742132,140,18046,8961106,42280,2561846,5338858,0,9506,51198
1067192,506856,78218,4584230,8754746,140,18662,8947218,42280,2568874,5321806,0,8862,50974
884100,519232,288386,60891250,8646470,140,28392,8973230,42308,2800056,4170446,0,9422,51366
1783838,523614,36036,5085962,8767486,700,28462,8955282,42280,2589104,3287466,0,14938,85862
1852928,739228,61950,5348140,13930798,140,855792,15200570,71736,2563078,6438040,0,14938,87136
16656024,1848070,236796,30837604,14845488,140,920220,15210048,71764,2629298,5594428,0,14742,87108
16653196,1851682,51058,30894976,14845796,308,935382,15218924,71736,2655352,7492492,0,14742,87164
16663290,1851836,44744,30601032,14844186,196,924784,15208998,71778,2572906,5542852,0,14728,87178
16693334,1842960,196966,30671172,14845376,140,929810,15208228,71792,2716840,6683698,0,14742,87304
16667210,1852186,43960,30577624,14843598,140,928942,15205386,71750,2591680,7667520,0,14728,87332
16668680,1852396,75698,30680580,14844410,168,931644,15208620,71750,2718436,5548144,0,15148,87374
16666370,1852158,297752,30603370,14844970,308,928704,15203328,71764,2667714,7646212,0,15162,86926
15080086,292418,1193948,30635808,14680596,140,783076,15228220,69916,3752826,7264348,0,15176,87710
16669338,1851514,156842,30660126,14846188,168,731976,15202068,71792,2639798,5894840,0,11494,68586
13026174,1447978,316246,24780350,11581486,140,735770,11864412,56056,2710428,6424334,0,11494,68460
13021834,1448020,125958,24752084,11581304,700,733306,11862018,56042,2605722,5043430,0,11494,68544
13028456,1445640,128240,24800482,11581080,210,732102,11876102,56000,2642276,4261082,0,11494,68376
13021540,1438164,259616,24735270,11583740,140,732564,11861850,56014,2692466,5052040,0,11494,68376
13026580,1448594,183148,24732344,11581374,0,733012,11868444,55986,2672418,5870858,0,11494,68236
13025670,1436736,122458,24784368,11583236,0,731556,11863278,56000,2610104,6417348,0,11494,68348
13027014,1434958,193732,24810296,11581710,0,734048,11867436,56000,2721376,5330374,0,11494,68194
13053474,1436008,229194,24761632,11581402,0,735812,11862774,56028,2746156,4366432,0,11494,68082
13026398,1437240,6951938,24807720,11556930,0,714476,11879350,56028,13578418,5492354,0,11494,67830
13027168,1435434,153650,24777452,11581584,0,1042552,11870964,56000,2697492,5961830,0,16702,98546
18881156,2058504,176218,34146196,16828882,0,880138,17241574,81340,2795394,6881658,0,16702,98000
17666824,1283254,400008,29155784,12596500,0,371084,17249386,81158,2673118,6538448,0,16618,98098
11416986,368704,188538,19013316,12448926,0,376166,17165568,80528,2642808,6828318,14,16618,97748
14385196,282170,189798,13926570,13017956,140,242270,17175970,80514,2595922,7437192,14,16534,97090
14753144,703584,135310,16688364,13125938,140,259546,17168326,80640,2553320,7931630,14,16506,97496
12240998,384734,92414,17275524,13001366,154,240142,17213420,81032,2572514,8309476,14,16534,97818
12547878,803376,62986,15405684,12545330,140,449736,17284848,81032,2549918,8509284,0,16548,98196
10830078,863674,134456,16482382,12183570,140,519862,17338356,81200,2603538,8336860,0,16562,98994
10903830,940296,153734,14323946,10328780,0,341712,17339798,81284,2643578,15622012,0,16702,98868
10274096,291060,152894,16506406,11107600,0,215922,17309698,80430,2587340,7236068,0,17836,106106
9534658,247506,153272,16047122,11738846,0,218274,18434920,86534,2633876,8344308,0,17864,105350
9932748,304570,713776,66777270,18137000,0,41468,18523358,87122,2616082,7865298,0,18018,105952
1618204,978418,223244,6708198,17375288,0,41748,18608716,87682,2646252,8405012,0,18032,106540
1687574,914186,99806,6924764,17533376,140,47278,18604082,87724,2598750,6446440,0,18004,106568
1714062,1052786,57792,6945022,17761268,168,45248,18602710,87752,2568188,8782928,0,18004,106470
1780464,1061256,43330,72915416,16951592,756,35000,18620994,87626,2573648,6385386,0,18004,106442
1567398,1002036,55370,10947608,17726464,168,41664,18598636,87780,2590574,8842568,0,17976,106470
1714300,1049090,177660,25484592,17745840,1372,45304,18601422,87766,2588782,6533520,0,18004,106400
2344706,1059240,82740,7428960,15625022,4312,34888,18603018,87696,2554636,8428196,0,17990,106624
1320172,1061102,184310,4124792,15033424,448,29442,18595836,87724,2551248,6746194,0,15372,90944
1447628,892262,77224,7967806,14884394,140,36316,15895278,74942,2535918,6893894,0,15372,90944
1897056,798546,144060,5437950,14655242,140,36078,15755530,74928,2745176,7501564,0,15372,90846
1569988,844592,276710,16225930,15491742,280,976444,15877764,74900,2634758,8048236,0,15372,90930
17515316,1921794,44632,31636528,15490552,168,972804,15882146,74816,2629774,8889020,0,15372,90916
17386292,1919246,45192,31639622,15489544,280,976570,15874880,74914,2713634,5959352,0,15372,90888
17386222,1915956,44996,31530436,15490692,308,978502,15864870,74830,2575440,7183484,0,15386,90944
17380762,1897798,48356,31671080,15490062,140,977494,15877302,74886,2604112,7032424,0,15372,90902
17388406,1903454,43792,31488016,15482348,168,976332,15873382,74914,2542722,5901532,0,15386,91000
17386502,1909614,73794,31581830,15494780,140,874216,15862504,74900,2566228,8026284,0,15386,91182
17373552,1882202,125986,20369734,8916796,168,572894,15873130,74942,2666818,3667426,0,8848,52528
10024560,1115282,156604,19236070,8916446,168,572950,9133572,43092,2603608,4272016,0,8848,52584
10026604,1115044,188888,19233214,8916628,168,571732,9140138,43106,2614878,5217814,0,8848,52556
10021242,1116472,633570,20332550,8993474,140,24080,9134286,43120,3143798,6099842,0,8848,52556
1217902,524468,723632,7950390,8939406,224,30268,9136568,43134,3230556,3796044,0,8862,52486
1847776,496706,685216,5300834,8938860,0,31024,9138752,43610,3437924,4191642,0,8862,52528
1875692,513324,618268,4538058,8693804,0,18270,9122694,43106,3334576,5008962,0,8848,52514
1118012,513044,643804,4177978,8927926,0,23898,9151380,43148,3416084,4986814,0,8848,52528
1192380,544194,767970,4382980,8810284,0,23688,9143078,43064,3153360,4707794,0,8862,50204
1197938,539140,663152,4190984,8927562,0,22120,9150540,43106,3263246,3563574,0,8848,52584
983500,558138,827792,29413832,14972734,0,29414,9152332,43162,3400796,7087150,0,15190,89838
1673084,854994,1001280,6626732,15001798,0,35658,15554182,74004,3555286,6269172,0,15190,90132
1505686,827302,963732,5676076,15133118,0,35798,15673742,73976,3867906,7190148,0,15624,90188
1565774,892710,1106602,8675394,14355936,0,258832,15682072,73122,3776444,5935272,0,15624,90300
16925818,1059660,1240456,23889446,11085046,0,488236,15668030,73472,3762360,7607768,0,15638,89502
13030654,379176,2190916,24674776,14070630,1680,336658,15768550,73528,47442332,15093204,0,15652,89194
13733958,632520,2605498,12226844,12050626,140,412734,15663116,73360,23812684,9660336,0,15596,88732
10350438,871430,1390116,14995694,4536392,140,333886,15655402,73822,16426186,6407758,0,15582,89138
14680638,519148,915964,11804646,12943994,140,548968,15772638,73836,57913352,14414078,0,15456,90202
10996370,1010828,1413958,20648418,9067758,182,197904,15809276,74074,59532844,13821374,0,15806,88802
13010228,67662,6719566,12727918,8916320,140,345954,15686818,70812,14393750,8220870,0,9450,53270
9731134,891842,2089094,20409494,8740060,140,297654,9264514,43190,4217500,10643934,0,9436,53270
9983526,543662,4792326,8139894,9107588,140,423654,9363466,43750,12630184,25390414,0,9464,52836
9831976,1036266,356636,17246656,8554812,140,388164,9264178,43848,5398750,20401780,0,9408,53494
10043628,963956,1547420,33547962,9036664,0,565670,9278808,43708,61821270,14346808,0,9408,53270
10084970,803390,468006,29068774,9027298,0,560560,9275266,43778,2867928,20623694,0,8960,53186
10167934,1110858,721266,19672380,9067758,0,575344,9261238,43722,2730000,6702878,0,8988,53200
10124450,1121064,353024,19575234,9028502,0,574784,9245208,43638,2082192,28536592,0,9016,53200
10196116,1095262,759458,19549908,9039156,0,51072,9262918,43708,3014242,8547378,0,9086,53718
6566840,1006600,385070,28523474,9025996,1750,568484,9321844,43820,12141808,20168582,0,9002,52976
10133396,2103248,4292512,25033540,13336050,0,994448,9225972,83468,50245944,19087418,0,17276,101220
18994248,2067212,4926138,21593208,17329830,7280,1042174,17449740,83594,23575916,24033870,0,17262,101556
18351270,2046674,1831186,60796638,16739772,210,660030,17322914,83692,13343442,60283258,0,16660,101094
18893952,2016672,277298,34911268,16707222,448,644224,17293038,83706,2756824,16897426,0,16604,94654
18168598,1430632,1787954,21926772,17256428,7252,985726,16897916,81046,14590716,14134316,0,17234,101612
19109552,1552404,1927170,42331940,15200668,6902,219618,17489136,81214,13187538,48812190,0,17052,96194
15977150,291466,1848126,45541692,9059876,126,122332,16460486,81746,14243572,50887424,0,17234,101318
13249432,255080,704522,40658800,12438790,140,179158,17488912,83258,8617910,53107446,0,16758,97846
11073804,241612,1801030,41397146,10999002,0,131208,17458574,81970,14256802,54095510,0,17276,101626
11971834,240282,849408,12047994,11715032,182,162470,17796212,82124,3512978,24515666,0,16744,93352
8786946,554428,1793372,48208118,8556282,0,268576,10874808,41188,18908540,51353750,0,8456,49784
9027914,604996,4714416,18236638,8596322,532,344372,8763496,41188,10246054,27832126,0,8540,49742
9364544,800492,2121280,53094748,8559726,140,328314,8730582,41244,11509064,35920906,0,8456,47768
9399558,790440,1954106,33796560,8212120,140,371700,8739206,41202,12668796,38527552,0,8456,49434
9326576,767564,1222480,44490166,8551382,140,304220,8736532,41202,45189998,47989102,0,8470,46410
9359504,763378,1596966,45946040,8535492,140,428442,8749006,41076,15342278,48154708,0,8484,49448
6690880,717430,489636,28667800,8444324,140,366226,8795052,41202,2896712,30897062,0,8470,49126
9387686,854546,8768732,48998306,8538026,0,409962,8732682,41216,8719494,22682744,0,8456,49490
9428580,882854,3462634,16903012,8528142,0,544852,8737554,41272,3186568,27433098,0,8456,50484
9568426,879844,2024540,63778344,8418116,238,16058,8728342,41202,14061824,56217350,0,8456,47810
1507324,384300,3647000,2456804,7736554,0,15694,7978880,37660,3028452,23449132,0,7728,46144
1298458,377132,5472978,38984120,7806316,0,15960,7981764,37660,21781802,53365508,0,7714,45164
674744,406392,1836422,5801950,7798280,0,16198,7981400,37604,14399644,4101020,0,7728,46046
696234,395920,1650824,37968910,7811370,0,17122,7973840,37660,14782110,53179784,0,7728,45570
957698,387002,1605142,8189202,7799260,0,16016,7970620,37744,12165958,4988592,0,7742,45808
904834,402934,1750980,48880090,7833854,280,15764,7988484,37618,15601460,55193124,0,7742,44982
866768,403942,1533490,6878900,7796726,8344,15918,7976038,37604,15587124,11196206,0,7728,45682
770966,396900,1712886,37750426,7804790,504,15876,7969962,37688,16243780,53446316,0,7714,43960
1387414,383796,1551018,15834336,7798490,9156,15582,7973630,37604,27259638,17413466,0,7756,45682
903504,438144,1741040,84332108,7912478,168,32886,7962276,37646,14222894,52775072,0,7728,97986
2068430,630770,1518524,38769864,12602296,140,353304,17291806,81088,13597906,53368392,0,16142,99694
14259336,271096,1208564,22168888,10092110,952,194054,17549672,82264,49874664,33648846,0,16814,93128
11284462,266658,2015762,43314054,11902912,140,178668,17094028,80066,11881478,50943998,0,15638,96124
9753478,171920,376768,15189552,11948804,42,204274,17669540,81298,3039610,21918484,0,16856,98238
11142236,258314,1798678,43918266,11454450,0,189196,17320338,81662,13528830,37422056,0,17248,94402
10375232,253862,1343300,20610688,9543688,0,160552,17200106,80752,25290188,27754594,0,17794,97314
8824858,304934,467880,58478042,12072424,182,192444,17130596,81620,36965992,28483056,0,17276,95326
11574402,272846,1620780,46882836,10864588,140,188650,16796598,80850,11774896,55873300,0,16940,94920
9777502,1376956,183372,24566290,9894528,140,193830,17054492,82502,5585566,23015356,0,16366,93324
12235440,258468,1749524,44356452,11933236,168,384118,16678396,75516,13074740,51162678,0,11130,66934
12006904,1026088,1872710,18382812,10687446,140,481894,11493356,54124,5276082,8545558,0,11214,66080
12320084,102830,1137136,41142836,11063220,0,123270,11559310,54866,52193708,37044616,0,11144,65240
7970704,1105958,7941458,44490530,11392570,0,544544,11574570,54096,14099036,31601682,0,11130,65716
12371002,1188362,9077278,34465844,11030362,0,459858,11498256,54194,16569966,26138532,14,11144,65464
12373256,1098930,1365630,33982130,11065208,0,715050,11573030,54446,17684758,27049176,14,11172,65646
12614966,1392356,253736,24089072,11221196,0,711284,11540354,54390,2771286,5367068,14,11158,65716
12619488,1393280,185108,24060302,11241426,0,713538,11534152,54362,2619750,6404790,14,11158,65842
12627888,1394260,256830,24060190,11238122,0,712404,11525864,54320,2785384,5523462,14,11158,65856
12627944,1394470,123844,23815596,11243036,0,713860,11525066,54376,2772826,5621182,14,11144,65856
12629288,1394596,168742,24078726,10993192,0,667800,11516778,54334,2698514,5835284,14,10444,61572
11819542,1305458,211974,22591884,10522134,0,667758,10779272,50904,2763782,5186202,14,10444,61572
11821082,1304996,68768,22610014,10522316,504,667702,10793944,50890,2570064,4176214,14,10444,61586
11285764,1300418,63742,22645364,10522596,168,665784,10803576,50876,2558234,3771642,14,10444,61460
11812206,1304520,76020,22572606,10522204,140,666526,10800370,50862,2587438,5375692,14,10444,61502
11819038,1307166,1809206,36745212,10561866,140,493514,10796870,50890,3041752,5897682,14,10444,61152
10692388,884128,104496,23538942,10471258,154,413700,10805340,50834,2585352,5257574,14,10458,61278
11404806,864542,228578,23192148,10435138,140,403312,10808882,50904,2652664,4437902,14,10444,61138
11501532,962220,88676,23880374,10406424,140,496370,10802652,50932,2622592,4352642,14,10458,61502
11246228,795368,144704,22320074,10411240,140,463806,10835524,50890,2586136,5706176,0,10458,61348
11748506,991858,85232,24503052,12035646,140,225330,10799516,50890,2600738,5824812,0,18032,108332
12635210,252112,178206,15698886,13757366,140,186956,18835306,88382,2595348,6561702,0,18522,108164
12930512,270998,202720,16677556,11614680,14,212394,18951142,88368,2709994,9240854,0,18690,108080
11128306,169120,3042564,13362706,11595864,0,245770,18979366,87808,4786082,11043214,0,18018,107436
10863958,225134,102382,15373568,14329672,140,209020,18798892,87500,2539404,6546148,0,18396,106890
12317900,212786,973070,28745976,18425316,168,305270,18820256,87570,2625868,8617672,0,18788,108584
20865726,2250276,75530,27903064,18532584,140,1136002,18996124,89544,2585478,8302168,0,18830,108836
20797420,2252600,56784,37745176,18535258,224,1074584,18996516,89544,2567712,6489322,0,18816,108836
20800738,2260482,45024,37749110,18535174,252,1133020,18992484,89656,2614472,8502046,0,18396,108766
20800682,2270926,48160,37680216,18532808,140,1124648,18995858,89614,2671396,9043692,0,18382,108836
21024164,2271038,44142,23805320,8258096,392,525672,18994346,89656,2614192,4973234,0,8190,48552
9289000,1035720,45528,17917438,8258446,1218,525770,8459304,39956,2637796,3349724,0,8204,48552
9289084,1035076,78932,17952592,8258446,140,524524,8458786,39886,2677360,3530534,0,8190,48538
9288664,1034936,103250,17871336,8261386,140,524790,8476958,39942,2665880,3350592,0,8190,48538
9288398,1034292,40796,17869362,8259510,1680,525294,8460312,39970,2643900,3434284,0,8190,48580
9282980,1034362,174818,17842188,8258474,140,531426,8465618,39956,2641100,3359608,0,8148,48706
9289014,1033858,354956,17885462,8258474,1232,529886,8458184,39928,3054058,3395252,0,8204,48678
9289196,1034194,322658,17900050,8258124,784,531300,8452780,39956,2742376,3356822,0,8190,48748
9287782,1033662,348390,17887170,8258656,644,531188,8468138,39914,2912952,3915114,0,8204,48650
9288594,1034208,228858,17871854,8258600,1176,531636,8463084,39844,2842406,4005190,0,8190,48762
9291968,1034124,453306,30943864,15000426,140,958608,8475726,39984,3093650,5727134,0,14896,88396
16837772,1847804,497532,30955610,15001266,0,961772,15355942,72590,3272934,7430710,0,14882,88424
16845206,1846782,526792,30884448,15001700,0,961198,15365224,72562,3206994,7360570,0,14896,88438
16847768,1853446,737702,30997596,15000300,0,832566,15368612,72506,3206798,5819170,0,14882,87962
16835322,1850562,839524,30927666,15001714,0,955822,15371510,72534,3559934,8039164,0,14882,88340
16843064,1852494,731780,30889026,15000342,0,959616,15366862,72520,3376786,5126268,0,14896,88382
16842000,1853222,1007440,30993732,15000468,0,960904,15366260,72562,5453140,7155484,0,14882,88382
16842112,1841756,1794562,30866682,14998970,0,961184,15372294,72590,5600686,6516006,0,14882,88382
16802324,1852662,2353078,30954560,14999992,0,957852,15367156,72548,5192600,6136620,0,14896,88382
16840754,1852788,2756460,30862986,14998984,0,961492,15369774,72534,5399198,7788998,0,14882,88424
16835658,1851528,3364522,31894002,19234110,0,776748,15371776,72506,4920300,7229740,0,18872,112000
20760698,1292242,2948582,24808532,19258106,0,793086,20119848,91770,5304082,6887972,0,18872,112028
20801760,1536570,2722328,27288646,19171530,0,778456,20073578,91798,5269936,7749602,0,18872,112028
