TIME 2024-02-05 16:29:51
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
      14        0.22         16k        40.0         0.0         0.0
      15        0.15          0k         0.0         0.0         0.0
      16        0.25          0k        80.0         0.0         0.0
      17        0.28          1k         0.0         0.0         0.0
      18        0.13          0k         0.0         0.0         0.0
      19        0.32          0k         0.0         0.0         0.0
      20        0.31          0k         0.0         0.0         0.0
      21        0.21          2k         0.0         0.0         0.1
      22        0.22          0k         0.0         0.0         0.0
      23        0.34          0k         0.0         0.0         0.0
      24        0.29          1k         0.0         0.0         0.0
      25        0.59         15k       480.0         1.1         1.2
      26        0.19          0k        40.0         0.0         0.0
      27        0.29          1k        80.0         0.0         0.0
      28        0.22          0k         0.0         0.0         0.0
      29        0.26          0k        40.0         0.0         0.0
      30        0.04          1k        40.0         0.0         0.0
      31        0.47          0k         0.0         0.0         0.0
      32        0.30          0k         0.0         0.0         0.0
      33        0.34          1k      1520.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.27          0k         0.0         0.0         0.0
      37        0.34          2k        40.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.14          0k         0.0         0.0         0.0
TIME 2024-02-05 16:29:55
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.02         73k       120.0        48.1         0.0
       1        1.04         36k       200.0         0.1         0.0
       2        1.00         14k        40.0         0.7         0.0
       3        1.03        152k       240.0       100.6         0.0
       4        3.39      19341k      2120.0       169.5         0.0
       5        0.24          2k        80.0         0.0         0.0
       6        0.11          0k       120.0         0.0         0.0
       7        0.14          0k        80.0         0.0         0.0
       8        0.18          0k         0.0         0.1         0.0
       9        0.18          0k       120.0         0.0         0.0
      10        1.49          5k      1480.0         0.1         0.4
      11        0.19          0k        40.0         0.0         0.0
      12        0.11          0k         0.0         0.0         0.0
      13        0.10          0k         0.0         0.0         0.0
      14        0.23         16k        40.0         0.0         0.0
      15        0.12          0k         0.0         0.0         0.0
      16        0.14          0k        80.0         0.0         0.0
      17        0.28          1k         0.0         0.0         0.0
      18        0.13          0k         0.0         0.0         0.0
      19        0.33          0k         0.0         0.0         0.0
      20        0.36          0k         0.0         0.0         0.0
      21        0.31          0k         0.0         0.0         0.0
      22        0.19          0k         0.0         0.0         0.0
      23        0.37          0k         0.0         0.0         0.0
      24        0.22          1k         0.0         0.0         0.0
      25        0.35          5k       440.0         0.4         0.3
      26        0.35          1k        40.0         0.0         0.0
      27        0.23          1k        80.0         0.0         0.0
      28        0.21          0k         0.0         0.0         0.0
      29        0.21          0k        40.0         0.0         0.0
      30        0.04          1k         0.0         0.0         0.0
      31        0.19          0k         0.0         0.0         0.0
      32        0.32          0k         0.0         0.0         0.0
      33        0.29          0k      1360.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.33          0k         0.0         0.0         0.0
      37        0.49          6k       320.0         0.2         0.2
      38        0.25          0k         0.0         0.0         0.0
      39        0.14          0k         0.0         0.0         0.0
TIME 2024-02-05 16:29:56
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.03         75k       240.0        54.7         0.0
       1        1.05         30k       240.0         0.1         0.2
       2        0.99         16k       160.0         0.1         0.0
       3        1.02        149k       200.0       100.9         0.0
       4        3.12      18426k      2200.0         4.3         0.0
       5        0.20          2k        80.0         0.0         0.0
       6        0.18          0k       120.0         0.0         0.0
       7        0.10          0k        80.0         0.0         0.0
       8        0.21          0k         0.0         0.0         0.0
       9        0.18          0k       120.0         0.0         0.0
      10        1.48          4k      1600.0         0.0         0.4
