TIME 2024-02-08 12:44:05
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99          3k        40.0         0.2         0.0
       1        1.02          5k       120.0         0.0         0.0
       2        0.99          4k        40.0         0.0         0.0
       3        1.02          5k       200.0         0.2         0.0
       4        3.33        903k       120.0         3.0         0.0
       5        0.26          1k       200.0         0.1         0.0
       6        0.24          0k         0.0         0.0         0.0
       7        0.24          0k         0.0         0.0         0.0
       8        0.23          0k         0.0         0.0         0.0
       9        0.23          0k         0.0         0.0         0.0
      10        0.96         10k         0.0         0.4         0.5
      11        0.14          0k         0.0         0.0         0.0
      12        0.19          0k        40.0         0.0         0.0
      13        0.24          0k        80.0         0.0         0.0
      14        0.22          0k         0.0         0.0         0.0
      15        0.21          0k         0.0         0.0         0.0
      16        0.22          0k         0.0         0.0         0.0
      17        0.22          0k         0.0         0.0         0.0
      18        0.22          0k         0.0         0.0         0.0
      19        0.21          0k         0.0         0.0         0.0
      20        0.31          0k         0.0         0.0         0.0
      21        0.34          0k        80.0         0.0         0.0
      22        0.31          0k         0.0         0.0         0.0
      23        0.31          0k        80.0         0.0         0.0
      24        0.27          0k        80.0         0.0         0.0
      25        0.35          1k       120.0         0.0         0.0
      26        0.27          0k         0.0         0.0         0.0
      27        0.27          0k         0.0         0.0         0.0
      28        0.31          0k         0.0         0.0         0.0
      29        0.31          0k        40.0         0.0         0.0
      30        0.16          0k         0.0         0.0         0.0
      31        0.26          0k         0.0         0.0         0.0
      32        0.28          0k         0.0         0.0         0.0
      33        0.25          0k         0.0         0.0         0.0
      34        0.17          0k        40.0         0.0         0.0
      35        0.26          0k         0.0         0.0         0.0
      36        0.24          0k        40.0         0.0         0.0
      37        0.24          0k         0.0         0.0         0.0
      38        0.25          0k        40.0         0.0         0.0
      39        0.26          0k         0.0         0.0         0.0
TIME 2024-02-08 12:44:06
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99        101k        40.0        15.2         0.0
       1        1.02        164k       200.0         0.1         0.0
       2        0.97        150k       120.0         8.3         0.0
       3        1.01        237k       200.0        35.9         0.0
       4        3.36      24047k      1000.0       273.5         0.3
       5        0.27          2k       120.0         0.1         0.0
       6        0.18          0k         0.0         0.0         0.0
       7        0.14          0k        40.0         0.0         0.0
       8        0.18          0k         0.0         0.0         0.0
       9        0.18          0k         0.0         0.0         0.0
      10        1.45         20k      2560.0         2.1         1.4
      11        0.28          0k         0.0         0.0         0.0
      12        0.26          1k       200.0         0.2         0.0
      13        0.31          0k       120.0         0.0         0.0
      14        0.22         17k        80.0         0.0         0.0
      15        0.12          0k         0.0         0.0         0.0
      16        0.29          1k        80.0         0.1         0.0
      17        0.45          2k       360.0         0.2         0.2
      18        0.23          1k         0.0         0.0         0.0
      19        1.71          8k       280.0         0.2         0.0
      20        0.28          0k         0.0         0.0         0.0
      21        0.19          1k        80.0         0.0         0.1
      22        0.31          0k         0.0         0.0         0.0
      23        0.33          0k        80.0         0.0         0.0
      24        0.24          0k        80.0         0.0         0.0
      25        0.32          3k       160.0         0.0         0.0
      26        0.21          0k         0.0         0.0         0.0
      27        0.34          1k         0.0         0.0         0.0
      28        0.19          0k         0.0         0.0         0.0
      29        0.19          0k        40.0         0.0         0.0
      30        0.03          1k         0.0         0.0         0.0
      31        0.32          1k         0.0         0.0         0.0
      32        0.16          0k         0.0         0.0         0.0
      33        0.21          0k         0.0         0.0         0.0
      34        0.00         13k        40.0         0.0         0.0
      35        0.23          0k         0.0         0.0         0.0
      36        0.08          0k        40.0         0.0         0.0
      37        0.05          1k         0.0         0.0         0.0
      38        0.20          1k        40.0         0.0         0.0
      39        0.29          2k       120.0         0.1         0.0
TIME 2024-02-08 12:44:07
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99        135k        40.0        30.3         0.0
       1        1.02         84k       240.0         0.2         0.0
       2        0.98        104k       160.0        29.9         0.0
       3        1.01        270k       200.0       157.2         0.0
       4        3.25      21609k      1200.0       952.5         0.0
       5        0.22          1k        80.0         0.1         0.0
       6        0.17          0k         0.0         0.0         0.0
       7        0.15          0k        40.0         0.0         0.0
       8        0.21          0k         0.0         0.0         0.0
       9        0.21          0k         0.0         0.0         0.0
      10        1.48          7k      2840.0         0.1         0.5
      11        0.16          0k         0.0         0.0         0.0
      12        0.20          0k       200.0         0.0         0.0
      13        0.33          0k       120.0         0.0         0.0
      14        0.24         17k       200.0         0.0         0.1
      15        0.12          0k         0.0         0.0         0.0
      16        0.25          0k        80.0         0.0         0.0
      17        0.35          3k       320.0         0.1         0.0
      18        0.23          0k         0.0         0.0         0.0
      19        0.08          0k       280.0         0.0         0.0
      20        0.33          0k         0.0         0.1         0.0
      21        0.23          1k       120.0         0.0         0.0
      22        0.34          0k         0.0         0.0         0.0
      23        0.33          0k        80.0         0.0         0.0
      24        0.26          0k        80.0         0.0         0.0
      25        0.70          8k       840.0         0.3         1.2
      26        0.26          0k         0.0         0.0         0.0
      27        0.30          1k         0.0         0.0         0.0
      28        0.26          0k         0.0         0.0         0.0
      29        0.21          0k        40.0         0.0         0.0
      30        0.17          1k         0.0         0.0         0.0
      31        0.43          0k        40.0         0.0         0.0
      32        0.20          0k         0.0         0.0         0.0
      33        0.14          0k         0.0         0.0         0.0
      34        0.00         12k        40.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.13          0k        40.0         0.0         0.0
      37        0.05          1k         0.0         0.0         0.0
      38        0.21          0k        40.0         0.0         0.0
      39        0.40          0k       120.0         0.1         0.0
TIME 2024-02-08 12:44:08
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98         97k       120.0         8.6         0.0
       1        1.01        127k       240.0         0.1         0.0
       2        0.98        113k       160.0         0.2         0.0
       3        1.01        174k       200.0       110.6         0.0
       4        3.15      22135k      1920.0        64.8         0.0
       5        0.24          1k       120.0         0.1         0.0
       6        0.20          0k         0.0         0.0         0.0
       7        0.16          0k        80.0         0.1         0.0
       8        0.22          0k         0.0         0.0         0.0
       9        0.20          0k         0.0         0.0         0.0
      10        1.47          5k      3320.0         0.3         0.6
      11        0.17          0k         0.0         0.0         0.0
      12        0.19          0k       200.0         0.0         0.0
      13        0.28          0k       120.0         0.0         0.0
      14        0.24         16k       200.0         0.0         0.0
      15        0.17          0k         0.0         0.0         0.0
      16        0.25          0k        80.0         0.0         0.0
      17        0.29          1k       280.0         0.0         0.0
      18        0.27          0k       120.0         0.1         0.0
      19        0.11          0k       280.0         0.0         0.0
      20        0.35          0k         0.0         0.1         0.0
      21        0.19          2k       160.0         0.0         0.1
      22        0.37          0k         0.0         0.0         0.0
      23        0.30          0k        80.0         0.0         0.0
      24        0.27          0k        80.0         0.0         0.0
      25        0.33          3k       920.0         0.0         0.2
      26        0.26          0k         0.0         0.0         0.0
      27        0.31          1k        80.0         0.2         0.0
      28        0.18          0k         0.0         0.0         0.0
      29        0.21          0k        40.0         0.0         0.0
      30        0.03          1k         0.0         0.0         0.0
      31        0.43          0k        40.0         0.0         0.0
      32        0.16          0k         0.0         0.0         0.0
      33        0.14          0k         0.0         0.0         0.0
      34        0.00         13k        40.0         0.0         0.0
      35        0.22          0k         0.0         0.0         0.0
      36        0.14          0k        40.0         0.0         0.0
      37        0.05          1k         0.0         0.0         0.0
      38        0.19          0k        40.0         0.0         0.0
      39        0.39          0k       120.0         0.0         0.0
TIME 2024-02-08 12:44:09
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99        128k       240.0        21.2         0.0
       1        1.02        139k       240.0         0.0         0.0
       2        0.97        151k        80.0        19.4         0.0
       3        1.00        229k       200.0       184.2         0.0
       4        3.35      22629k      1640.0       663.5         0.1
       5        0.26          2k       120.0         0.0         0.0
       6        0.18          0k         0.0         0.0         0.0
       7        0.12          0k        40.0         0.0         0.0
       8        0.17          0k         0.0         0.0         0.0
       9        0.14          0k         0.0         0.0         0.0
      10        1.50          4k      3240.0         0.1         0.4
      11        0.16          0k         0.0         0.0         0.0
      12        0.16          0k       160.0         0.0         0.0
      13        0.31          0k       120.0         0.0         0.0
      14        0.23         16k       200.0         0.0         0.0
      15        0.10          0k         0.0         0.0         0.0
      16        0.26          0k        80.0         0.0         0.0
      17        0.29          1k       280.0         0.0         0.0
      18        0.22          0k       120.0         0.0         0.0
      19        0.11          0k       280.0         0.0         0.0
      20        0.32          0k         0.0         0.1         0.0
      21        0.23          0k       120.0         0.0         0.0
      22        0.34          0k         0.0         0.0         0.0
      23        0.37          0k        80.0         0.0         0.0
      24        0.26          0k        80.0         0.0         0.0
      25        0.33          2k       840.0         0.0         0.2
      26        0.23          0k         0.0         0.0         0.0
      27        0.28          1k        40.0         0.0         0.0
      28        0.22          0k         0.0         0.0         0.0
      29        0.21          0k        40.0         0.0         0.0
      30        0.16          1k        80.0         0.1         0.0
      31        0.19          0k        40.0         0.0         0.0
      32        0.23          0k         0.0         0.0         0.0
      33        0.22          0k         0.0         0.0         0.0
      34        0.02         13k        40.0         0.0         0.0
      35        0.25          0k         0.0         0.0         0.0
      36        0.13          0k        40.0         0.0         0.0
      37        0.11          1k         0.0         0.0         0.0
      38        0.22          0k        40.0         0.0         0.0
      39        0.41          0k       160.0         0.0         0.0
TIME 2024-02-08 12:44:10
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99        125k       120.0        23.4         0.0
       1        1.02         79k       200.0         0.1         0.0
       2        0.98         87k        40.0        15.9         0.0
       3        1.01        197k       200.0       184.6         0.0
       4        3.12      20175k      1840.0       432.5         0.0
       5        0.24          1k       120.0         0.1         0.0
       6        0.14          0k         0.0         0.0         0.0
       7        0.14          0k        40.0         0.0         0.0
       8        0.16          0k         0.0         0.0         0.0
       9        0.21          0k         0.0         0.0         0.0
      10        1.49          4k      2880.0         0.1         0.4
      11        0.13          0k         0.0         0.0         0.0
      12        0.16          0k       160.0         0.0         0.0
      13        0.31          0k        80.0         0.0         0.0
      14        0.23         17k       320.0         0.0         0.1
      15        0.12          0k         0.0         0.0         0.0
      16        0.27          0k        80.0         0.0         0.0
      17        0.57          9k      1440.0         1.0         0.2
      18        0.23          0k        40.0         0.0         0.0
      19        0.08          0k       280.0         0.0         0.0
      20        0.38          0k         0.0         0.2         0.0
      21        0.23          2k       120.0         0.0         0.1
      22        0.31          0k         0.0         0.0         0.0
      23        0.33          0k        80.0         0.0         0.0
      24        0.30          0k        80.0         0.0         0.0
      25        0.34          3k       880.0         0.1         0.2
      26        0.30          0k         0.0         0.0         0.0
      27        0.33          0k         0.0         0.0         0.0
      28        0.26          0k         0.0         0.0         0.0
      29        0.26          0k        40.0         0.0         0.0
      30        0.07          0k        80.0         0.0         0.0
      31        0.25          0k        40.0         0.0         0.0
      32        0.20          0k         0.0         0.0         0.0
      33        0.23          0k         0.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.10          0k        40.0         0.0         0.0
      37        0.02          2k         0.0         0.0         0.0
      38        0.21          0k        40.0         0.0         0.0
      39        0.41          0k       160.0         0.0         0.0
TIME 2024-02-08 12:44:11
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98        125k       120.0        32.7         0.0
       1        1.01        158k       200.0         0.1         0.0
       2        0.98        137k       120.0         0.4         0.0
       3        1.01        167k       240.0        94.8         0.0
       4        3.25      23568k      1480.0        83.2         0.4
       5        0.24          2k       120.0         0.0         0.0
       6        0.18          0k         0.0         0.0         0.0
       7        0.14          0k        40.0         0.1         0.0
       8        0.16          0k         0.0         0.0         0.0
       9        0.16          0k         0.0         0.0         0.0
      10        1.49          4k      2920.0         0.0         0.5
      11        0.18          0k         0.0         0.0         0.0
      12        0.17          0k       160.0         0.0         0.0
      13        0.31          0k        80.0         0.0         0.0
      14        0.23         16k       320.0         0.0         0.0
      15        0.14          0k         0.0         0.0         0.0
      16        0.30          0k        80.0         0.0         0.0
      17        0.45          3k      1600.0         0.0         0.2
      18        0.23          0k        40.0         0.0         0.0
      19        0.12          0k       280.0         0.0         0.0
      20        0.32          0k         0.0         0.1         0.0
      21        0.25          1k       120.0         0.0         0.0
      22        0.33          0k         0.0         0.0         0.0
      23        0.33          0k        40.0         0.0         0.0
      24        0.26          0k        80.0         0.0         0.0
      25        0.32          3k       680.0         0.4         0.1
      26        0.19          0k         0.0         0.0         0.0
      27        0.29          0k         0.0         0.0         0.0
      28        0.19          0k         0.0         0.0         0.0
      29        0.18          0k        40.0         0.0         0.0
      30        0.14          1k        80.0         0.0         0.0
