TIME 2024-01-14 21:02:48
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.00          1k         0.0         0.0         0.0
       1        0.00          0k       280.0         0.5         0.0
       2        0.00          1k      1400.0        39.1         0.3
       3        0.00          1k       160.0         0.2         0.0
       4        0.00          0k        40.0         0.0         0.0
       5        0.00          0k       200.0         0.0         0.0
       6        0.00          0k         0.0         0.0         0.0
       7        0.00          0k         0.0         0.0         0.0
       8        0.00          0k        80.0         0.0         0.0
       9        0.00          0k         0.0         0.0         0.0
      10        0.00          3k       320.0         0.7         0.1
      11        0.00          0k        40.0         0.0         0.0
      12        0.25          0k         0.0         0.0         0.0
      13        0.23          0k         0.0         0.0         0.0
      14        0.22          0k       120.0         0.0         0.0
      15        0.30          0k         0.0         0.0         0.0
      16        0.22          0k         0.0         0.0         0.0
      17        0.22          0k       120.0         0.0         0.0
      18        0.34          0k        40.0         0.0         0.0
      19        0.20          0k         0.0         0.0         0.0
      20        0.26          0k         0.0         0.0         0.0
      21        0.22          0k         0.0         0.0         0.0
      22        0.14          0k        40.0         0.0         0.0
      23        0.26          0k        40.0         0.0         0.0
      24        0.21          0k        40.0         0.0         0.0
      25        0.20          0k         0.0         0.0         0.0
      26        0.13          1k         0.0         0.0         0.0
      27        0.15          1k         0.0         0.0         0.0
      28        0.20          1k         0.0         0.0         0.0
      29        0.20          1k        80.0         0.0         0.0
      30        0.10          0k         0.0         0.0         0.0
      31        0.17          0k        40.0         0.0         0.0
      32        0.24          0k         0.0         0.0         0.0
      33        0.26          0k         0.0         0.0         0.0
      34        0.27          0k        40.0         0.0         0.0
      35        0.24          0k        40.0         0.0         0.0
      36        0.24          0k         0.0         0.0         0.0
      37        0.24          0k         0.0         0.0         0.0
      38        0.22          0k        40.0         0.0         0.0
      39        0.24          0k        80.0         0.0         0.0
TIME 2024-01-14 21:02:49
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94         74k        80.0         0.3         0.0
       1        0.97         68k       320.0        39.0         0.0
       2        2.10       6704k      1080.0      1452.7         0.3
       3        1.00         77k       200.0         8.5         0.0
       4        0.13          7k        40.0         0.0         0.0
       5        0.14          6k       240.0         0.6         0.0
       6        0.14          6k         0.0         0.0         0.0
       7        0.17          5k         0.0         0.0         0.0
       8        0.14          6k        40.0         0.0         0.0
       9        0.14          6k         0.0         0.0         0.0
      10        1.36         19k      2360.0         1.1         0.7
      11        0.14          5k        40.0         0.0         0.0
      12        0.24          1k        40.0         0.0         0.0
      13        0.19          0k         0.0         0.0         0.0
      14        0.23         16k       160.0         0.0         0.0
      15        0.11          0k         0.0         0.0         0.0
      16        0.17          0k         0.0         0.0         0.0
      17        0.30          1k       120.0         0.0         0.0
      18        0.28          2k       120.0         0.0         0.0
      19        0.31          1k         0.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.03          1k        40.0         0.1         0.0
      22        0.05          1k        40.0         0.0         0.0
      23        0.01          0k        40.0         0.0         0.0
      24        0.01          9k        40.0         0.0         0.0
      25        0.09         16k        80.0         0.4         0.0
      26        0.05         15k         0.0         0.0         0.0
      27        0.01         13k         0.0         0.0         0.0
      28        0.01         13k         0.0         0.0         0.0
      29        0.01         13k        80.0         0.0         0.0
      30        0.01         12k         0.0         0.0         0.0
      31        0.01         13k        80.0         0.0         0.0
      32        0.27          1k         0.0         0.0         0.0
      33        0.21          0k         0.0         0.0         0.0
      34        0.08         13k        80.0         0.0         0.0
      35        0.29          1k        40.0         0.0         0.0
      36        0.20          0k         0.0         0.0         0.0
      37        0.10          1k         0.0         0.0         0.0
      38        0.19          1k        80.0         0.0         0.0
      39        0.18          0k        80.0         0.0         0.0
TIME 2024-01-14 21:02:50
