TIME 2024-02-05 16:27:38
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
      14        0.24         19k       920.0         0.0         0.0
      15        0.20          1k       120.0         0.0         0.0
      16        0.27          0k         0.0         0.0         0.0
      17        0.29          1k         0.0         0.0         0.0
      18        0.16          0k        40.0         0.0         0.0
      19        0.25          0k         0.0         0.0         0.0
      20        0.32          0k         0.0         0.0         0.0
      21        0.28          0k        40.0         0.1         0.0
      22        0.21          1k        40.0         0.0         0.0
      23        0.32          0k        40.0         0.0         0.0
      24        0.27          3k       120.0         0.0         0.0
      25        0.20          1k         0.0         0.0         0.1
      26        0.31          1k        40.0         0.0         0.0
      27        0.28          2k       760.0         0.0         0.0
      28        0.24          1k         0.0         0.0         0.0
      29        0.22          1k        40.0         0.0         0.0
      30        0.10          0k        40.0         0.0         0.0
      31        0.38          0k        40.0         0.0         0.0
      32        0.21          0k         0.0         0.0         0.0
      33        0.26          0k         0.0         0.0         0.0
      34        0.03         13k         0.0         0.0         0.0
      35        0.22          1k         0.0         0.0         0.0
      36        0.22          0k         0.0         0.0         0.0
      37        0.11          1k         0.0         0.0         0.0
      38        0.24          0k        80.0         0.0         0.0
      39        0.18          0k        40.0         0.0         0.0
TIME 2024-02-05 16:27:42
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00        458k        80.0        64.6         0.2
       1        1.02        538k        80.0         0.1         0.1
       2        0.97        433k         0.0         0.0         0.0
       3        1.01        577k       160.0       154.3         0.0
       4        3.37      21080k      1680.0        73.4         0.1
       5        0.26          2k        40.0         0.0         0.0
       6        0.17          0k         0.0         0.0         0.0
       7        0.19          0k         0.0         0.0         0.0
       8        0.17          0k        80.0         0.1         0.0
       9        0.18          0k        40.0         0.0         0.0
      10        1.47          4k      2200.0         0.0         0.2
      11        0.17          0k         0.0         0.0         0.0
      12        0.20          0k        40.0         0.0         0.0
      13        0.41          1k       160.0         0.0         0.0
      14        0.23         16k       920.0         0.0         0.0
      15        0.29          0k       120.0         0.0         0.0
      16        0.18          0k         0.0         0.0         0.0
      17        0.31          0k         0.0         0.0         0.0
      18        0.14          0k        40.0         0.0         0.0
      19        0.32          0k         0.0         0.0         0.0
      20        0.34          0k         0.0         0.0         0.0
      21        0.31          0k        40.0         0.0         0.0
      22        0.18          0k        40.0         0.0         0.0
      23        0.35          0k        40.0         0.0         0.0
      24        0.42          6k       280.0         0.3         0.4
      25        0.11          1k         0.0         0.0         0.0
      26        0.18          0k        40.0         0.0         0.0
      27        0.19          0k       720.0         0.0         0.0
      28        0.21          0k         0.0         0.0         0.0
      29        0.20          0k        40.0         0.0         0.0
      30        0.04          1k        40.0         0.0         0.0
      31        0.19          0k         0.0         0.0         0.0
      32        0.18          0k         0.0         0.0         0.0
      33        0.27          1k         0.0         0.0         0.0
      34        0.02         12k         0.0         0.0         0.0
      35        0.22          0k         0.0         0.0         0.0
      36        0.28          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.25          0k        80.0         0.0         0.0
      39        0.12          0k        40.0         0.0         0.0
TIME 2024-02-05 16:27:43
