TIME 2024-01-14 20:52:00
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
      14        0.23         14k        40.0         0.0         0.0
      15        0.28          0k         0.0         0.0         0.0
      16        2.62         33k      1400.0         2.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.30          0k         0.0         0.0         0.0
      19        0.36          0k       160.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.02          0k        40.0         0.1         0.0
      22        0.06          1k        40.0         0.1         0.0
      23        0.01          0k         0.0         0.0         0.0
      24        0.02          9k        40.0         0.0         0.0
      25        0.00         13k         0.0         0.0         0.0
      26        0.02         14k        40.0         0.1         0.0
      27        0.14         18k       440.0         0.4         0.3
      28        0.00         13k        40.0         0.0         0.0
      29        0.01         13k         0.0         0.0         0.0
      30        0.06         14k       120.0         0.1         0.0
      31        0.00         13k        40.0         0.0         0.0
      32        0.27          0k         0.0         0.0         0.0
      33        0.19          0k         0.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.20          0k         0.0         0.0         0.0
      36        0.13          0k         0.0         0.0         0.0
      37        0.09          1k         0.0         0.0         0.0
      38        0.22          0k         0.0         0.0         0.0
      39        0.15          0k         0.0         0.0         0.0
TIME 2024-01-14 20:52:04
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.93         38k       240.0         0.4         0.0
       1        0.96         30k       240.0         2.7         0.1
       2        1.80      11368k         0.0       953.7         0.0
       3        0.99         72k       120.0        44.2         0.0
       4        0.13          7k         0.0         0.0         0.0
       5        0.14          7k         0.0         0.4         0.0
       6        0.14          6k         0.0         0.0         0.0
       7        0.14          7k        40.0         0.0         0.0
       8        0.14          7k        80.0         0.8         0.0
       9        0.13          7k         0.0         0.0         0.0
      10        1.49          5k      3240.0         0.0         0.3
      11        0.14          5k         0.0         0.0         0.0
      12        0.15          0k        80.0         0.0         0.0
      13        0.17          0k         0.0         0.0         0.0
      14        0.23         14k        40.0         0.0         0.0
      15        0.25          0k         0.0         0.0         0.0
      16        0.21          1k      1360.0         0.0         0.0
      17        0.26          1k         0.0         0.0         0.0
      18        0.32          1k        80.0         0.1         0.0
      19        0.17          0k       160.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.03          2k         0.0         0.2         0.0
      22        0.04          1k         0.0         0.1         0.0
      23        0.01          0k         0.0         0.0         0.0
      24        0.01          9k        40.0         0.0         0.0
      25        0.02         13k         0.0         0.0         0.0
      26        0.03         14k        40.0         0.0         0.0
      27        0.08         15k       280.0         0.1         0.0
      28        0.01         13k        40.0         0.0         0.0
      29        0.02         13k         0.0         0.0         0.0
      30        0.04         12k       160.0         0.0         0.0
      31        0.01         13k        40.0         0.0         0.0
      32        0.26          0k         0.0         0.0         0.0
      33        0.19          0k         0.0         0.0         0.0
      34        0.01         13k         0.0         0.0         0.0
      35        0.20          0k         0.0         0.0         0.0
      36        0.17          0k         0.0         0.0         0.0
      37        0.07          1k         0.0         0.0         0.0
      38        0.29          3k       360.0         0.2         0.2
      39        0.19          0k         0.0         0.0         0.0
TIME 2024-01-14 20:52:05
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94         36k       200.0         0.2         0.0
       1        0.97         29k       360.0         2.3         0.1
       2        1.82      10813k       400.0      1328.3         0.5
       3        1.00         69k       120.0        41.2         0.0
       4        0.14          6k         0.0         0.0         0.0
       5        0.13          7k         0.0         0.9         0.0
       6        0.13          6k         0.0         0.0         0.0
       7        0.13          6k        40.0         0.0         0.0
       8        0.13          6k        40.0         3.7         0.0
       9        0.13          7k         0.0         0.0         0.0
      10        1.64          7k      3200.0         0.1         0.2
      11        0.14          5k         0.0         0.0         0.0
      12        0.25          0k        80.0         0.0         0.0
      13        0.13          0k         0.0         0.0         0.0
      14        0.34         21k       240.0         0.1         0.1
      15        0.41          1k        40.0         0.0         0.0
      16        1.30          4k      1480.0         0.2         0.0
      17        0.98          9k       240.0         0.3         0.0
      18        0.30          0k        80.0         0.0         0.0
      19        0.36          0k       160.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.01          0k        40.0         0.0         0.0
      22        0.05          1k         0.0         0.1         0.0
      23        0.01          0k         0.0         0.0         0.0
      24        0.00          9k        40.0         0.0         0.0
      25        0.00         13k         0.0         0.0         0.0
      26        0.02         14k        40.0         0.0         0.0
      27        0.08         15k       200.0         0.1         0.0
      28        0.00         13k        40.0         0.0         0.0
      29        0.01         13k         0.0         0.0         0.0
      30        0.06         12k       160.0         0.0         0.0
      31        0.00         13k        40.0         0.0         0.0
      32        0.28          0k         0.0         0.0         0.0
      33        1.27          3k        40.0         0.0         0.0
      34        0.00         13k         0.0         0.0         0.0
      35        0.17          0k         0.0         0.0         0.0
      36        0.15          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.22          0k       360.0         0.0         0.0
      39        0.15          0k         0.0         0.0         0.0
TIME 2024-01-14 20:52:06
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.95         37k        80.0         0.3         0.0
       1        0.97         29k       440.0         3.6         0.1
       2        1.85      11358k       440.0      1647.4         0.4
       3        1.00         72k       160.0        39.9         0.0
       4        0.14          7k         0.0         0.0         0.0
       5        0.14          7k        40.0         0.7         0.0
       6        0.14          7k         0.0         0.0         0.0
       7        0.14          6k        40.0         0.0         0.1
       8        0.14          6k        40.0         2.3         0.0
       9        0.13          7k         0.0         0.0         0.0
      10        1.97          7k      3200.0         0.0         0.2
      11        0.14          5k         0.0         0.0         0.0
      12        0.08          0k        40.0         0.0         0.0
      13        0.17          0k        40.0         0.0         0.0
      14        0.23         15k       240.0         0.0         0.0
      15        0.32          0k         0.0         0.0         0.0
      16        0.46          6k      1720.0         0.3         0.0
      17        0.31          0k       240.0         0.0         0.0
      18        0.35          0k       120.0         0.0         0.0
      19        1.75          8k       280.0         0.2         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.02          0k         0.0         0.0         0.0
      22        0.07          2k        40.0         0.3         0.2
      23        0.01          0k         0.0         0.0         0.0
      24        0.07         11k        40.0         0.4         0.1
      25        0.00         13k         0.0         0.0         0.0
      26        0.04         15k        40.0         0.0         0.1
      27        0.25         25k       360.0         1.2         0.7
      28        0.00         13k        40.0         0.0         0.0
      29        0.01         13k         0.0         0.0         0.0
      30        0.08         14k       360.0         0.2         0.0
      31        0.00         13k        40.0         0.0         0.0
      32        0.30          1k         0.0         0.0         0.0
      33        0.20          0k        40.0         0.0         0.0
      34        0.01         12k         0.0         0.0         0.0
      35        0.20          0k         0.0         0.0         0.0
      36        0.03          1k         0.0         0.0         0.0
      37        0.07          1k         0.0         0.0         0.0
      38        0.20          0k       360.0         0.0         0.0
      39        0.05          1k         0.0         0.0         0.0
TIME 2024-01-14 20:52:07
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94         37k       240.0         0.2         0.0
       1        0.97         30k       480.0         3.2         0.0
       2        1.91      11660k         0.0      1636.6         0.0
       3        1.01         72k       240.0        40.0         0.0
       4        0.14          7k         0.0         0.0         0.0
       5        0.14          7k        40.0         0.2         0.0
       6        0.14          6k         0.0         0.0         0.0
       7        0.14          6k        40.0         0.0         0.0
       8        0.14          6k        40.0         5.3         0.0
       9        0.13          7k         0.0         0.0         0.0
      10        1.35          7k      3200.0         0.0         0.4
      11        0.14          5k         0.0         0.0         0.0
      12        0.30          0k        80.0         0.0         0.0
      13        0.17          0k         0.0         0.0         0.0
      14        0.22         14k       240.0         0.0         0.0
      15        0.27          0k         0.0         0.0         0.0
      16        0.17          0k      1640.0         0.0         0.0
      17        0.32          0k       240.0         0.0         0.0
      18        0.25          0k        80.0         0.0         0.0
      19        0.36          0k       280.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.01          0k         0.0         0.0         0.0
      22        0.05          1k         0.0         0.0         0.0
      23        0.01          0k         0.0         0.0         0.0
      24        0.02          9k        40.0         0.0         0.0
      25        0.01         13k         0.0         0.0         0.0
      26        0.01         14k        40.0         0.0         0.0
      27        0.09         16k       280.0         0.0         0.0
      28        0.00         13k        40.0         0.0         0.0
      29        0.01         13k         0.0         0.0         0.0
      30        0.04         12k       280.0         0.0         0.0
      31        0.00         13k        40.0         0.0         0.0
      32        0.26          0k         0.0         0.0         0.0
      33        0.20          0k        40.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.19          0k         0.0         0.0         0.0
      36        0.18          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.24          0k       360.0         0.0         0.0
      39        0.15          0k         0.0         0.0         0.0
TIME 2024-01-14 20:52:08
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94         38k       160.0         0.2         0.0
       1        0.97         30k       440.0         3.2         0.0
       2        1.93      11802k       200.0      1387.5         0.6
       3        1.00         75k       200.0        38.6         0.0
       4        0.14          6k         0.0         0.0         0.0
       5        0.14          7k         0.0         0.2         0.0
       6        0.14          6k         0.0         0.0         0.0
       7        0.14          6k        40.0         0.0         0.0
       8        0.14          6k        80.0        13.0         0.0
       9        0.13          7k         0.0         0.0         0.0
      10        1.06          6k      3120.0         0.0         0.2
      11        0.14          5k         0.0         0.0         0.0
      12        0.13          0k        80.0         0.0         0.0
      13        0.18          0k        40.0         0.0         0.0
      14        0.24         15k       240.0         0.0         0.0
      15        0.23          0k         0.0         0.0         0.0
      16        0.28          0k      1640.0         0.0         0.0
      17        0.30          1k       240.0         0.0         0.0
      18        0.32          0k        80.0         0.0         0.0
      19        0.20          0k       280.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.02          0k         0.0         0.0         0.0
      22        0.04          1k         0.0         0.0         0.0
      23        0.01          0k         0.0         0.0         0.0
      24        0.01          9k        40.0         0.0         0.0
      25        0.01         13k         0.0         0.0         0.0
      26        0.03         14k        40.0         0.0         0.0
      27        0.18         20k       440.0         0.5         0.6
      28        0.01         13k        40.0         0.0         0.0
      29        0.02         13k         0.0         0.0         0.0
      30        0.05         12k       320.0         0.0         0.0
      31        0.01         13k        40.0         0.0         0.0
      32        0.28          0k         0.0         0.0         0.0
      33        0.21          0k        40.0         0.0         0.0
      34        0.01         13k         0.0         0.0         0.0
      35        0.20          0k         0.0         0.0         0.0
      36        0.16          0k         0.0         0.0         0.0
      37        0.12          1k         0.0         0.0         0.0
      38        0.21          1k       360.0         0.0         0.0
      39        0.19          0k         0.0         0.0         0.0
TIME 2024-01-14 20:52:09
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94         36k       160.0         0.3         0.0
       1        0.97         30k       520.0         2.6         0.0
       2        1.93      11726k        80.0      1148.0         0.0
       3        1.00         74k       160.0        36.2         0.0
       4        0.13          6k         0.0         0.0         0.0
       5        0.14          7k         0.0         0.9         0.0
       6        0.13          6k         0.0         0.0         0.0
       7        0.13          6k        40.0         0.0         0.0
       8        0.14          6k        80.0        13.4         0.0
       9        0.13          7k         0.0         0.0         0.0
      10        0.35          6k      3120.0         0.0         0.2
      11        0.14          5k         0.0         0.0         0.0
      12        0.25          0k        80.0         0.0         0.0
      13        0.16          0k        40.0         0.0         0.0
      14        0.23         14k       240.0         0.0         0.0
      15        0.24          0k         0.0         0.0         0.0
      16        0.31          0k      1560.0         0.0         0.0
      17        0.31          0k       240.0         0.0         0.0
      18        0.31          0k        80.0         0.0         0.0
      19        0.33          0k       280.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.03          2k         0.0         0.0         0.1
      22        0.06          1k         0.0         0.2         0.0
      23        0.01          0k         0.0         0.0         0.0
      24        0.01          9k        40.0         0.0         0.0
      25        0.00         13k         0.0         0.0         0.0
      26        0.02         14k        40.0         0.0         0.0
      27        0.07         15k       360.0         0.1         0.0
      28        0.00         13k        40.0         0.0         0.0
      29        0.01         13k         0.0         0.0         0.0
      30        0.11         18k       560.0         0.1         0.1
      31        0.00         13k        40.0         0.0         0.0
      32        0.28          0k         0.0         0.0         0.0
      33        0.20          0k        40.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.19          0k         0.0         0.0         0.0
      36        0.13          0k         0.0         0.0         0.0
      37        0.05          1k         0.0         0.0         0.0
      38        0.22          0k       320.0         0.0         0.0
      39        0.15          0k         0.0         0.0         0.0
TIME 2024-01-14 20:52:10
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.93         36k       200.0         0.5         0.0
       1        0.96         29k       400.0         3.4         0.0
       2        1.81      11328k         0.0       973.5         0.0
       3        0.99         71k        40.0        39.5         0.1
       4        0.13          6k         0.0         0.0         0.0
       5        0.14          6k         0.0         0.2         0.0
       6        0.13          6k         0.0         0.0         0.0
       7        0.13          6k        40.0         0.0         0.0
       8        0.13          7k        80.0        14.1         0.0
       9        0.13          7k         0.0         0.0         0.0
      10        1.50          5k      3240.0         0.0         0.3
      11        0.14          5k         0.0         0.0         0.0
      12        0.09          0k        80.0         0.0         0.0
      13        0.18          0k        40.0         0.0         0.0
      14        0.25         14k       240.0         0.0         0.0
      15        0.24          0k         0.0         0.0         0.0
      16        0.29          0k      1560.0         0.0         0.0
      17        0.31          0k       240.0         0.0         0.0
      18        0.42          0k       120.0         0.0         0.0
      19        0.16          0k       280.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.01          0k         0.0         0.0         0.0
      22        0.03          0k         0.0         0.0         0.0
      23        0.01          0k         0.0         0.0         0.0
      24        0.02          9k        40.0         0.0         0.0
      25        0.01         13k         0.0         0.0         0.0
      26        0.03         14k        40.0         0.0         0.0
      27        0.07         15k       280.0         0.0         0.0
      28        0.00         13k        40.0         0.0         0.0
      29        0.01         13k         0.0         0.0         0.0
      30        0.00         12k       560.0         0.0         0.0
      31        0.00         13k         0.0         0.0         0.0
      32        0.29          0k         0.0         0.0         0.0
      33        0.20          0k        40.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.20          0k         0.0         0.0         0.0
      36        0.08          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.20          0k       320.0         0.0         0.0
      39        0.18          0k         0.0         0.0         0.0
TIME 2024-01-14 20:52:11
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94         36k       240.0         0.1         0.0
       1        0.97         30k       400.0         3.7         0.1
       2        1.80      10714k       360.0      1424.5         0.6
       3        1.00         72k       120.0        39.0         0.0
       4        0.14          6k         0.0         0.0         0.0
       5        0.14          7k         0.0         0.3         0.0
       6        0.14          6k         0.0         0.0         0.0
       7        0.13          6k        40.0         0.0         0.0
       8        0.13          7k        80.0        13.8         0.0
       9        0.13          7k         0.0         0.0         0.0
      10        1.59          6k      3120.0         0.0         0.2
      11        0.14          5k         0.0         0.0         0.0
      12        0.30          0k        80.0         0.0         0.0
      13        0.16          0k         0.0         0.0         0.0
      14        0.25         14k       240.0         0.0         0.0
      15        0.23          0k         0.0         0.0         0.0
      16        0.27          0k      1600.0         0.0         0.0
      17        0.31          0k       240.0         0.0         0.0
      18        0.37          0k       120.0         0.0         0.0
