TIME 2024-01-14 20:57:28
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
      14        0.22         14k        80.0         0.0         0.0
      15        0.23          0k        40.0         0.0         0.0
      16        0.14          0k         0.0         0.0         0.0
      17        0.29          1k       120.0         0.0         0.0
      18        0.37          0k       520.0         0.0         0.0
      19        0.36          0k        40.0         0.0         0.0
      20        0.02          1k         0.0         0.0         0.1
      21        0.02          0k         0.0         0.0         0.0
      22        0.04          1k       120.0         0.0         0.0
      23        0.01          0k        40.0         0.0         0.0
      24        0.02         10k         0.0         0.0         0.1
      25        0.01         13k         0.0         0.0         0.0
      26        0.10         20k       240.0         0.0         0.4
      27        0.01         13k         0.0         0.0         0.1
      28        0.01         13k        40.0         0.0         0.0
      29        0.01         13k        40.0         0.0         0.0
      30        0.00         12k         0.0         0.0         0.0
      31        0.00         13k        40.0         0.0         0.0
      32        0.26          0k         0.0         0.0         0.0
      33        0.18          0k       120.0         0.0         0.0
      34        0.00         12k        40.0         0.0         0.0
      35        0.18          0k         0.0         0.0         0.0
      36        0.18          0k        40.0         0.0         0.0
      37        0.05          1k        80.0         0.0         0.0
      38        0.22          0k        80.0         0.0         0.0
      39        0.15          0k        80.0         0.0         0.0
TIME 2024-01-14 20:57:32
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94         47k       240.0         0.9         0.0
       1        0.97         32k       120.0         3.4         0.0
       2        2.05       5667k      1680.0       472.7         0.4
       3        1.00         54k       160.0        38.6         0.0
       4        0.13          9k        40.0         0.4         0.0
       5        0.14          9k        40.0         0.4         0.0
       6        0.13          9k        40.0         0.0         0.0
       7        0.13          8k        40.0         0.0         0.0
       8        0.17          8k       120.0         8.5         0.0
       9        0.17          8k       120.0         0.0         0.1
      10        1.99          5k      2680.0         0.0         0.0
      11        0.14          5k         0.0         0.0         0.0
      12        0.24          1k       240.0         0.0         0.0
      13        0.19          0k         0.0         0.0         0.0
      14        0.23         15k        80.0         0.0         0.0
      15        0.17          0k        40.0         0.0         0.0
      16        0.17          0k        40.0         0.0         0.0
      17        0.29          1k       120.0         0.0         0.0
      18        0.18          0k       560.0         0.1         0.0
      19        0.17          0k        40.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.04          3k         0.0         0.2         0.2
      22        0.05          1k       120.0         0.0         0.1
      23        0.01          0k        40.0         0.0         0.0
      24        0.14         16k        40.0         1.0         0.5
      25        0.01         13k         0.0         0.0         0.0
      26        0.31         41k       400.0         1.0         2.7
      27        0.01         14k         0.0         0.1         0.1
      28        0.01         13k        40.0         0.0         0.0
      29        0.02         14k        40.0         0.0         0.0
      30        0.01         12k        40.0         0.0         0.0
      31        0.01         13k        40.0         0.0         0.0
      32        0.27          1k         0.0         0.0         0.0
      33        0.20          0k       120.0         0.0         0.0
      34        0.01         13k         0.0         0.0         0.0
      35        0.21          0k         0.0         0.0         0.0
      36        0.20          0k         0.0         0.0         0.0
      37        0.10          1k        80.0         0.0         0.0
      38        0.33          3k       320.0         0.2         0.1
      39        0.19          0k        80.0         0.0         0.0
TIME 2024-01-14 20:57:33
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94         46k       320.0         0.6         0.3
       1        0.97         33k       320.0         3.4         0.4
       2        1.95       5364k      1440.0       927.5         0.7
       3        0.99         57k       200.0        40.0         0.0
       4        0.13          9k        40.0         0.4         0.0
       5        0.14          9k        80.0         2.0         0.0
       6        0.14          9k        40.0         0.0         0.0
       7        0.13          8k        40.0         0.0         0.0
       8        0.17          8k        40.0         9.5         0.0
       9        0.16          7k       120.0         0.0         0.1
      10        1.28          6k      3000.0         0.1         0.0
      11        0.14          5k         0.0         0.0         0.0
      12        0.12          0k       240.0         0.0         0.0
      13        0.19          0k         0.0         0.0         0.0
      14        0.22         14k        80.0         0.0         0.0
      15        0.22          0k        40.0         0.0         0.0
      16        0.16          0k        40.0         0.0         0.0
      17        0.31          1k       120.0         0.0         0.0
      18        0.33          0k       520.0         0.0         0.0
      19        0.36          0k        40.0         0.0         0.0
      20        0.00          0k         0.0         0.0         0.0
      21        0.01          0k         0.0         0.0         0.0
      22        0.04          1k       120.0         0.1         0.0
      23        0.03          1k        40.0         0.1         0.0
      24        0.09         14k        40.0         0.4         0.3
      25        0.00         13k         0.0         0.0         0.0
      26        0.05         15k       160.0         0.0         0.0
      27        0.00         13k         0.0         0.0         0.0
      28        0.00         13k        40.0         0.0         0.0
      29        0.01         13k        40.0         0.0         0.0
      30        0.00         12k        40.0         0.0         0.0
      31        0.00         13k        40.0         0.0         0.0
      32        0.27          0k         0.0         0.0         0.0
      33        0.19          0k       120.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.20          0k         0.0         0.0         0.0
      36        0.19          0k        40.0         0.0         0.0
      37        0.05          1k        80.0         0.0         0.0
      38        0.24          0k       320.0         0.0         0.0
      39        0.15          0k        80.0         0.0         0.0
TIME 2024-01-14 20:57:34
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94         43k       280.0         1.0         0.0
       1        0.97         31k       320.0         3.4         0.0
       2        2.05       6183k      1720.0      1371.0         0.4
       3        1.00         59k       200.0        39.4         0.0
       4        0.13          9k       120.0         0.4         0.0
       5        0.13          9k        40.0         0.8         0.0
       6        0.14          8k        40.0         0.0         0.0
       7        0.13          9k        40.0         0.0         0.0
       8        0.17          8k        40.0         9.1         0.0
       9        0.19          8k       160.0         0.0         0.2
      10        2.00          6k      3000.0         0.2         0.0
      11        0.14          5k         0.0         0.0         0.0
      12        0.25          0k       240.0         0.0         0.0
      13        0.16          0k         0.0         0.0         0.0
      14        0.24         15k       200.0         0.0         0.1
      15        0.10          0k        40.0         0.0         0.0
      16        0.15          0k        40.0         0.0         0.0
      17        0.30          1k       120.0         0.0         0.0
      18        0.10          0k       520.0         0.0         0.0
      19        0.16          0k        40.0         0.0         0.0
      20        0.01          0k         0.0         0.1         0.0
      21        0.02          0k         0.0         0.0         0.0
      22        0.05          1k        80.0         0.0         0.1
      23        0.01          0k        40.0         0.0         0.0
      24        0.25         27k       200.0         2.2         1.3
      25        0.01         13k         0.0         0.0         0.0
      26        0.04         15k        80.0         0.0         0.0
      27        0.02         14k        40.0         0.0         0.1
      28        0.00         13k        40.0         0.0         0.0
      29        0.01         13k        40.0         0.0         0.0
      30        0.00         12k        40.0         0.0         0.0
      31        0.00         13k        40.0         0.0         0.0
      32        0.28          0k         0.0         0.0         0.0
      33        0.18          0k       120.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.23          0k         0.0         0.0         0.0
      36        0.18          0k         0.0         0.0         0.0
      37        0.06          1k        80.0         0.0         0.0
      38        0.26          0k       320.0         0.0         0.0
      39        0.17          0k        80.0         0.0         0.0
TIME 2024-01-14 20:57:35
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.95         45k       240.0         0.6         0.2
       1        0.98         32k       360.0         5.0         0.1
       2        2.09       6050k      2080.0      1303.6         0.0
       3        1.01         59k       160.0        38.5         0.0
       4        0.14          9k        80.0         0.4         0.0
       5        0.14          9k        80.0         0.7         0.0
       6        0.14          8k        40.0         0.0         0.0
       7        0.14          8k        40.0         0.0         0.0
       8        0.17          8k        40.0         6.8         0.0
       9        0.17          6k       160.0         0.0         0.0
      10        1.60          6k      2720.0         0.2         0.0
      11        0.14          5k        40.0         0.0         0.0
      12        0.12          0k       240.0         0.0         0.0
      13        0.11          0k         0.0         0.0         0.0
      14        0.33         21k       800.0         0.6         0.0
      15        1.02          8k       880.0         0.8         0.2
      16        0.15          0k         0.0         0.0         0.0
      17        0.82          5k       360.0         0.3         0.0
      18        0.32          0k       320.0         0.0         0.0
      19        0.34          0k        40.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.02          1k         0.0         0.0         0.0
      22        0.04          1k        80.0         0.0         0.0
      23        0.01          0k        40.0         0.0         0.0
      24        0.09         14k        80.0         0.4         0.0
      25        0.01         14k         0.0         0.0         0.0
      26        0.05         16k        40.0         0.0         0.0
      27        0.00         13k        40.0         0.0         0.0
      28        0.00         13k        40.0         0.0         0.0
      29        0.01         13k        40.0         0.0         0.0
      30        0.00         12k        40.0         0.0         0.0
      31        0.00         13k        40.0         0.0         0.0
      32        0.27          0k         0.0         0.0         0.0
      33        1.33          5k       160.0         0.1         0.0
      34        0.01         12k        40.0         0.0         0.0
      35        0.14          1k         0.0         0.0         0.0
