skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL
7495432,5405176,6200936,59290350,1026830,0,297808
7496174,5441576,8774234,59203886,1021426,0,298508
7493290,5414290,9099300,59412696,1031926,0,298088
7495446,5420268,9043006,59138856,1032948,0,298662
7467558,5428654,8710170,59189550,1016932,0,298620
7497910,5421122,8803130,59228330,1033592,0,297374
7508578,5409950,8515178,59184286,1033284,0,298662
7502544,5396902,8234212,59150378,1024520,0,298410
7497770,5413618,8085938,58987712,1031730,0,297864
7495866,5424790,6745088,59174640,1022476,0,298774
7485226,5409222,5045068,59163888,1031324,168,298802
7460180,5410244,5016410,59223066,1030246,0,298676
7484204,5422718,4988004,59144260,1026172,0,298396
7493374,5411574,5266240,59235960,1032248,0,298998
7447650,5428080,5049660,59259788,1025780,0,298298
7498176,5412904,4914952,59177398,1033340,0,298382
7477120,5410230,4939564,59033114,1030904,0,298480
7489636,5424958,4941930,58976694,1025962,0,298508
7488796,5405106,5012056,59911880,1028664,0,297178
7444976,5406408,4994976,60186868,1026718,168,298270
7489188,5400584,5006036,60406710,1028860,0,298564
7496440,5408816,4957022,60299148,1031926,0,298508
7462182,5411196,4924570,60403084,1026522,0,296912
7479542,5398092,5113094,60068344,1028356,0,298018
7446376,5411322,4954082,60210570,1023974,0,296786
7485632,5400416,4863782,60282530,1029490,0,298368
7446306,5402978,4912376,59987424,1029238,0,297822
7479640,5415410,4857594,59194128,1028958,0,298606
7474404,5404882,4890046,59214302,1025836,168,297640
7484120,5402656,4961250,59081666,1025038,0,298032
7460642,5346334,5273226,59074624,1019130,0,298634
7492716,5405064,5014772,59110352,1024100,0,296940
7475272,5408970,5055932,59140074,1017142,0,298102
7500990,5408620,4946718,59200414,1024366,0,297892
7471744,5406226,4941132,59210382,1020978,0,297514
7481684,5425840,4926124,59122168,1013376,0,298620
7482328,5372164,4924290,59176754,1019242,0,297808
7484442,5405204,4939914,59043166,1014328,168,298732
7476616,5380060,4927174,59238998,1011892,0,297682
7483742,5404350,4951940,59069738,1008224,0,298718
7473018,5395404,4923296,59165274,1009036,0,297864
7474852,5396286,5153876,59201058,1014986,0,298186
7485408,5397770,5020848,59141488,1017128,14,297948
7484680,5397336,4950442,59151582,1022812,14,297948
7462196,5393206,5015486,59176096,1031884,14,297906
7482034,5401326,5048078,59144484,1026382,0,298326
7501270,5394088,4953676,59182508,1029532,168,297136
7480648,5402810,4936232,59133172,1031856,0,297906
7480228,5405932,4964890,59089646,1024352,0,297206
7478492,5397322,4903696,59124212,1029938,0,298046
7500052,5232528,5920362,67036830,1017324,0,297598
7473970,5388320,5058690,59245298,1026200,0,298564
7502236,5390602,5751214,59106124,1031870,532,297808
7474488,5404336,5124616,59145268,1019788,966,297346
7447412,5393920,5310592,59195654,1032808,966,297262
7479122,5389272,5177858,59141642,1032752,1134,298340
7471450,5397518,5125708,59028242,1023610,966,298172
7473746,5395152,5129558,59090332,1031968,966,294826
7435946,5398400,5144188,59234518,1032724,966,296716
7488236,5390182,5209834,59049620,1025346,966,297780
7484596,5402054,5133450,59241574,1029266,966,297094
7495838,5408410,5098982,59161592,1027432,0,296282
7482146,5388208,5135984,59255784,1027572,0,296436
7487816,5411560,5123090,59138226,1024268,0,294728
7482272,5398232,5242328,59318056,1028916,168,294644
7485408,5407192,5176850,59219048,1026858,0,295302
7388052,5412022,5295906,59194870,1022210,0,294140
7481404,5387746,5194686,59318028,1021888,0,294434
7476336,5399044,5305314,59276308,1024548,0,294056
7481782,5394872,5147226,59483690,1022210,0,293370
7493570,5398134,5271574,59179260,1023148,0,291830
7467138,5422648,5192712,59241980,1024646,0,292894
7485114,5415606,5187882,59319848,1025612,0,292250
7467852,5406758,5367880,59226160,1029798,168,292180
7487424,5413632,5222098,59312652,1016148,0,293006
7481726,5399828,5193762,59283490,1022070,0,293258
7488502,5403286,5260080,59257450,1024380,0,294350
7467320,5391134,5296480,59267684,1016974,0,295652
7458836,5396762,5279414,59208870,1030596,0,297136
7437738,5410286,5192180,59220308,1013866,0,298214
7370762,5367082,5190542,59215520,1030372,0,297864
7418026,5397910,5212900,59135496,1022364,0,297990
7417746,5408620,5228818,59266788,1013502,168,298536
7369544,5403552,5206138,59256260,1022322,0,295834
7399672,5401032,5286008,59284932,1022644,0,297990
7383992,5416516,5158286,59349542,1012018,0,297682
7359436,5407780,5282018,59205244,1020558,0,297724
7374304,5434114,5343282,59221470,1021818,0,297444
7333452,5397532,5285560,59289006,1022070,14,297906
7296632,5409404,5082896,59268034,1029350,14,297822
7326494,5413408,5100046,59255182,1017548,14,297458
7347900,5393430,4982418,59338426,1017128,168,297458
7338142,5392128,5074594,59234154,1026760,0,297794
7363594,5395726,5056716,59280984,1009596,0,294630
7394422,5390756,5035324,59296902,1025164,0,296842
7364756,5384078,5092192,59286220,1020166,0,297696
7458164,5373242,5140296,59291610,1022280,0,297290
7481110,5362112,5106108,59262434,1024730,0,297528
7483896,5340636,5097008,59230990,1011570,0,297906
7482846,5335904,5094320,59281614,1021958,0,296086
7480074,5352158,5112044,58984016,1014678,168,298018
7484078,5336100,5296032,59226216,1022378,0,296898
7487942,5322520,4941888,59497620,1026844,0,298508
7510692,5355378,4919236,59476774,1025626,0,295876
7515256,5313084,4891922,59528014,1029266,0,298130
7502460,5283096,4940782,59375246,1023428,0,298732
7509726,5302108,4917612,59329746,1019508,0,298438
7503846,5299938,4878482,59469774,1020404,0,296660
7507472,5331564,4924010,59479238,1026298,0,298452
7499590,5322940,4983706,59578204,1027054,168,299040
7507206,5325754,5181638,59291078,1027180,0,298760
7506674,5352494,5288388,59420270,1019690,0,298858
7510972,5368888,5325250,59496136,1026872,0,298592
7497686,5414794,5455912,59609438,1023148,0,297906
7514612,5421934,5497646,59369464,1019872,0,298956
7505904,5397588,5525576,59531318,1023666,0,298130
7493206,5426904,5700338,59477698,1026634,0,298816
7512120,5425070,5825330,59507210,1024100,0,298088
7491134,5453672,6122858,59485832,1019704,168,296366
7508550,5429788,6159790,59468444,1026592,0,298424
7509628,5437796,6406960,58249646,994798,0,297976
7511504,5434268,6010466,59428096,1007636,0,299012
7511742,5433848,4939088,59255714,1029434,0,299082
7487606,5412932,5052852,59454360,1028580,0,298956
7404488,5414864,4908330,59336536,1028860,0,299474
7394072,5422620,4873778,59388294,1024534,0,298228
7343098,5442136,4906258,59256302,1023820,0,298886
7316932,5418798,4910122,59257576,1029252,0,298620
7348068,5437376,4874772,59349318,1020026,0,298088
7330372,5418490,4894330,59338342,1031282,0,298648
7350812,5413114,4936890,59400096,1031240,0,298382
7356370,5406702,4886378,59306786,1026424,0,298326
7378826,5410342,5020078,59188962,1024450,0,297010
7375648,5403958,4866092,59309264,1020558,0,298956
7424102,5387550,4958128,59318490,1031492,0,298494
7478800,5353278,4905404,59407656,1020992,14,297892
7463400,5362210,4867380,59324608,1028006,14,298914
7486934,5353250,4826612,59414194,1030890,14,298018
7494214,5374082,4869956,59244066,1021552,0,298760
7498554,5353852,4831568,59765524,1029070,0,298830
7491484,5353138,4963182,59535714,1023134,0,299012
7419356,5295262,5031096,59467128,1031436,0,298606
7493360,5333888,4925578,59501750,1012270,0,298536
7485310,5265988,4972912,59449040,1028692,0,298340
7477134,5235286,4874968,59730650,1032878,0,297444
7482118,5305762,4891040,59602816,1021986,0,298956
7495320,5296774,4955972,59641162,1025444,0,298704
7486990,5279792,4890900,59588634,1019326,0,299166
7500640,5294464,4970574,59603194,1032976,0,298956
7498568,5314792,4935378,59863454,1032094,980,298662
7487158,5334140,5376742,59676582,1031100,0,299040
7494578,5361132,5142340,59940090,1033102,0,298340
7494130,5399184,5303088,59759966,1034782,0,298760
7487438,5403202,5505766,59896144,1033662,980,297444
7491960,5427786,5378114,59720164,1017506,0,299152
7491960,5397770,5528488,59742480,1030344,0,298662
7503566,5382622,5662398,59909850,1033060,0,298410
7498750,5405204,5921286,59825080,1032346,980,298886
7504392,5400920,6088180,59744342,1031352,0,298634
7503538,5429102,6286742,59783794,1023064,980,299404
7514668,5393024,7959574,59710098,1031604,0,299096
7496132,5411840,8801968,59836672,1017702,980,299264
7451444,5408844,9004772,59729460,1030428,0,298774
7499086,5365990,9042656,59812046,1029308,980,298830
7502082,5410916,8358154,59649324,1029308,168,298186
7496720,5405092,8194060,59904908,1031842,980,299082
7513856,5410706,8117564,59810198,1017744,0,299390
7503202,5405680,7867804,59717210,1030246,980,299152
7509880,5393962,6921936,59838604,1029182,0,296884
7508746,5416152,4901778,60012428,1031324,980,298732
7514668,5387998,5051298,60006212,1028188,0,298802
7486108,5410384,4827046,59870538,1023694,980,299222
7511070,5413016,4800572,59874654,1033018,0,299040
