System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2023-11-28,14:30:35.354,0.32,1.60,0.20,1.30,37.05,55.72,0.34,0.37,0.0024,0.0037,  7760,1,0,2.60,1.06,100,55,15250.22,9510.55,2402.42,3.21,80.18,0.63,15.87,15.17,17.20,0.02,67.61,0.00,100.00,0.00,0.00,0.00,0.00,38.31,8.81 ,0.30 ,2.70,1.17,0.90,1.31,1.32,20.13,22.88,0.12,0.11,0.0071,0.0081,     0,0,0,98.62,1.38,0.00,0.00,0.00,57,2816.02,3137.14,2402.42,1.80,44.88,2.34,58.61,
2023-11-28,14:30:36.354,0.32,1.60,0.20,1.31,36.88,55.57,0.34,0.37,0.0024,0.0036,  7840,0,0,2.58,1.06,100,54,15247.27,9506.65,2400.26,3.21,80.19,0.64,15.88,15.17,17.11,0.00,67.72,0.00,100.00,0.00,0.00,0.00,0.00,38.27,8.79 ,0.37 ,2.70,1.17,0.90,1.31,1.32,20.07,22.84,0.12,0.11,0.0071,0.0081,     0,0,0,98.67,1.33,0.00,0.00,0.00,57,2813.25,3136.39,2400.26,1.79,44.85,2.34,58.61,
2023-11-28,14:30:37.354,0.32,1.60,0.20,1.30,36.79,55.54,0.34,0.36,0.0024,0.0036,  7960,0,0,2.57,1.06,100,55,15243.69,9500.17,2399.93,3.21,80.23,0.64,15.88,15.20,17.43,0.04,67.34,0.00,100.00,0.00,0.00,0.00,0.00,38.26,8.83 ,0.37 ,2.70,1.17,0.90,1.30,1.32,20.07,22.84,0.12,0.11,0.0071,0.0081,     0,0,0,98.62,1.38,0.00,0.00,0.00,57,2808.94,3131.74,2399.93,1.79,44.85,2.34,58.52,
2023-11-28,14:30:38.354,0.32,1.61,0.20,1.30,36.81,55.49,0.34,0.36,0.0024,0.0036,  8240,1,0,2.57,1.06,100,55,15257.30,9502.04,2400.15,3.21,80.28,0.64,15.89,15.18,17.24,0.01,67.57,0.00,100.00,0.00,0.00,0.00,0.00,38.28,8.82 ,0.37 ,2.70,1.17,0.90,1.31,1.32,20.06,22.81,0.12,0.11,0.0071,0.0081,     0,0,0,98.64,1.36,0.00,0.00,0.00,57,2806.07,3133.91,2400.15,1.79,44.77,2.34,58.46,
2023-11-28,14:30:39.354,0.32,1.61,0.20,1.30,36.71,55.40,0.34,0.36,0.0024,0.0036,  8320,0,0,2.57,1.06,100,55,15258.64,9502.15,2400.07,3.21,80.29,0.64,15.89,15.19,17.30,0.00,67.51,0.00,100.00,0.00,0.00,0.00,0.00,38.26,8.84 ,0.37 ,2.70,1.17,0.89,1.31,1.32,20.02,22.78,0.12,0.11,0.0071,0.0081,     0,0,0,98.62,1.38,0.00,0.00,0.00,56,2803.59,3132.98,2400.07,1.79,44.74,2.34,58.41,
2023-11-28,14:30:40.354,0.32,1.61,0.20,1.30,36.60,55.31,0.34,0.36,0.0024,0.0036,  8480,0,0,2.56,1.05,100,55,15263.17,9501.74,2400.12,3.21,80.32,0.64,15.90,15.17,17.21,0.00,67.62,0.00,100.00,0.00,0.00,0.00,0.00,38.26,8.88 ,0.37 ,2.70,1.17,0.89,1.31,1.32,19.99,22.76,0.12,0.11,0.0071,0.0081,     0,0,0,98.63,1.37,0.00,0.00,0.00,56,2802.46,3134.30,2400.12,1.79,44.71,2.34,58.38,
2023-11-28,14:30:41.354,0.32,1.61,0.20,1.30,36.50,55.24,0.34,0.36,0.0024,0.0036,  8720,0,0,2.55,1.05,100,55,15261.88,9501.61,2400.20,3.21,80.31,0.64,15.90,15.17,17.19,0.01,67.63,0.00,100.00,0.00,0.00,0.00,0.00,38.27,8.85 ,0.37 ,2.70,1.17,0.89,1.31,1.32,19.97,22.74,0.12,0.11,0.0071,0.0081,     0,0,0,98.64,1.36,0.00,0.00,0.00,57,2800.92,3134.74,2400.20,1.79,44.68,2.33,58.35,
2023-11-28,14:30:42.354,0.32,1.61,0.20,1.30,36.53,55.20,0.34,0.36,0.0024,0.0036,  9000,1,0,2.56,1.06,100,55,15249.10,9496.63,2400.01,3.21,80.29,0.64,15.88,15.20,17.48,0.02,67.30,0.00,100.00,0.00,0.00,0.00,0.00,38.31,8.83 ,0.37 ,2.70,1.16,0.89,1.30,1.32,19.92,22.68,0.12,0.11,0.0071,0.0081,     0,0,0,98.58,1.42,0.00,0.00,0.00,57,2794.07,3129.94,2400.01,1.79,44.63,2.33,58.21,
2023-11-28,14:30:43.354,0.32,1.61,0.20,1.30,36.29,55.06,0.34,0.36,0.0024,0.0036,  9000,0,0,2.53,1.04,100,55,15253.77,9498.85,2400.21,3.21,80.29,0.64,15.89,15.17,17.18,0.01,67.64,0.00,100.00,0.00,0.00,0.00,0.00,38.27,8.88 ,0.37 ,2.70,1.17,0.89,1.31,1.32,19.91,22.69,0.12,0.11,0.0071,0.0081,     0,0,0,98.60,1.40,0.00,0.00,0.00,57,2798.52,3133.65,2400.21,1.79,44.65,2.33,58.30,
2023-11-28,14:30:44.354,0.32,1.61,0.20,1.31,36.25,55.07,0.34,0.36,0.0024,0.0036,  9160,0,0,2.52,1.04,100,55,15262.27,9503.24,2400.12,3.21,80.30,0.64,15.90,15.16,17.08,0.01,67.75,0.00,100.00,0.00,0.00,0.00,0.00,38.26,8.78 ,0.37 ,2.70,1.17,0.89,1.31,1.32,19.91,22.70,0.12,0.11,0.0071,0.0081,     0,0,0,98.65,1.35,0.00,0.00,0.00,57,2801.04,3136.16,2400.12,1.79,44.66,2.33,58.35,
2023-11-28,14:30:45.354,0.32,1.61,0.20,1.30,36.26,55.04,0.34,0.36,0.0024,0.0036,  9360,0,0,2.53,1.04,100,55,15258.42,9502.73,2399.57,3.21,80.28,0.64,15.89,15.17,17.15,0.01,67.67,0.00,100.00,0.00,0.00,0.00,0.00,38.22,8.86 ,0.33 ,2.70,1.16,0.89,1.31,1.32,19.89,22.67,0.12,0.11,0.0071,0.0081,     0,0,0,98.60,1.40,0.00,0.00,0.00,57,2796.71,3134.69,2399.57,1.78,44.61,2.33,58.25,
2023-11-28,14:30:46.354,0.32,1.61,0.20,1.31,36.16,54.96,0.34,0.36,0.0024,0.0036,  9400,0,0,2.52,1.04,100,54,15262.98,9505.10,2400.24,3.21,80.29,0.64,15.90,15.16,17.06,0.00,67.77,0.00,100.00,0.00,0.00,0.00,0.00,38.26,8.80 ,0.37 ,2.70,1.17,0.89,1.31,1.32,19.87,22.67,0.12,0.11,0.0071,0.0081,     0,0,0,98.67,1.33,0.00,0.00,0.00,57,2797.57,3136.90,2400.24,1.78,44.59,2.33,58.28,
2023-11-28,14:30:47.355,0.32,1.61,0.20,1.30,36.09,54.91,0.34,0.36,0.0024,0.0036,  9400,0,0,2.51,1.04,100,54,15264.42,9506.11,2400.29,3.21,80.29,0.64,15.90,15.18,17.20,0.00,67.62,0.00,100.00,0.00,0.00,0.00,0.00,38.23,8.80 ,0.37 ,2.70,1.17,0.89,1.31,1.32,19.85,22.65,0.12,0.11,0.0071,0.0081,     0,0,0,98.67,1.33,0.00,0.00,0.00,57,2796.44,3135.76,2400.29,1.78,44.59,2.33,58.25,
