skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
7458430,5510932,5501034,61364352,1036854,0,304010,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7593936,5521250,5493810,61309262,1047914,168,302946
7547372,5515286,5567982,61236420,1037806,0,302386,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7552594,5537700,5706260,60796792,1024996,966,302596
7566510,5525660,5655524,61057570,1042580,966,302484,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7584906,5523994,5571944,60959920,1040242,966,302624
7553868,5475904,5596472,61103868,1037540,966,302078,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7502180,5510176,5569018,60755128,1024786,1134,300286
7549150,5487202,5546632,60638200,1032234,966,300244,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7523488,5485774,5422746,60462934,1029434,0,298802
7526316,5486642,5428430,60426604,1026074,0,299670,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7517874,5467882,5367572,60245920,1025234,0,297472
7539280,5484556,5344808,60318160,1032822,0,296240,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7546658,5473524,5406912,60112920,1027558,168,296702
7520982,5461610,5430054,60219278,1030456,0,294546,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7512498,5430810,5407080,60053924,1035944,0,294546
7475986,5460378,5411952,59972976,1037092,0,294658,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7514304,5443872,5318390,59994606,1035342,0,294574
7473270,5443718,5376574,59862054,1037134,0,295512,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7488152,5413352,5359900,59806978,1027138,168,295400
7386274,5414556,5325600,59581984,1034362,0,296702,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7413994,5431160,5331018,59679956,1030736,0,297444
7445844,5352718,5232388,59713402,1025990,0,297990,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7429716,5456458,5272092,59712940,1029588,0,297388
7429114,5449108,5268270,59700452,1023050,0,297990,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7347508,5439238,5293806,59561684,1032542,168,296576
7334950,5441856,5362700,59467912,1015798,0,295904,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7355796,5444628,5247956,59605154,1022252,14,296674
7378826,5434212,5253458,59734710,1027166,14,295764,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7411558,5416040,5462674,59763746,1032584,0,295680
7422996,5411392,5350842,59677534,1029658,0,296170,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7516768,5363526,5350296,59617138,1030638,168,296002
7472808,5369196,5166504,59764600,1030050,0,295666,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7489566,5389230,5248180,59906280,1027796,0,295610
7512876,5365024,5192754,59632258,1031912,0,295988,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7514038,5347370,5264042,59663688,1030008,0,295806
7500430,5360754,5201924,59620302,1018458,0,296562,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7517384,5308996,5324214,59647364,1017548,0,296996
7516488,5305790,5180700,59542924,1029924,0,295106,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7522634,5287240,5357016,59735284,1031912,0,294728
7518364,5382006,5219368,59612588,1020754,0,293762,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7519946,5391806,5331788,59627232,1018794,0,295232
7520170,5383504,5505248,59605966,1027320,0,295344,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
