Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
1,21981708,583912,3192756,48044836,0,0,266084(Total)
1,2809842,0,126,18732,0,434,237706(Miss)
1,19171866,583912,3192630,48026104,0,0,28378(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,24575992,14020496,143962,114786602,8307768,0,675346(Total)
0,56,0,308,14602,168,224,660758(Miss)
0,24575936,14020496,143654,114772000,8307600,0,14588(Hit)
1,22039752,607138,3127684,48921292,0,0,54642(Total)
1,2549694,0,168,76804,0,434,54628(Miss)
1,19490058,607138,3127516,48844488,0,0,14(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21146692,1867488,248150,30303980,19027372,0,726152(Total)
0,84,28,43232,1809962,18120144,140,831726(Miss)
0,21146608,1867460,204918,28494018,907228,0,0(Hit)
1,20090182,91644,3046400,7269906,0,0,54754(Total)
1,12446154,0,70,21476,0,434,54768(Miss)
1,7644028,91644,3046330,7248430,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21168210,1878870,314580,30554538,19028282,0,728392(Total)
0,714,238,37016,1758876,18218326,140,873334(Miss)
0,21167496,1878632,277564,28795662,809956,0,0(Hit)
1,20092100,91560,2881116,6940794,0,434,54768(Total)
1,12880014,0,294,17514,0,0,54782(Miss)
1,7212086,91560,2880822,6923280,0,434,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21156408,1889566,260764,30602166,19028016,0,708918(Total)
0,182,518,33250,1783082,18101902,140,872774(Miss)
0,21156226,1889048,227514,28819084,926114,0,0(Hit)
1,20082846,91434,2853242,6905626,0,434,54754(Total)
1,13642314,0,112,17066,0,0,54824(Miss)
1,6440532,91434,2853130,6888560,0,434,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21128548,1870442,202384,30642402,19020176,140,788242(Total)
0,112,0,50386,1793484,18266584,140,918470(Miss)
0,21128436,1870442,151998,28848918,753592,0,0(Hit)
1,20081376,91518,2766064,6463744,0,434,54698(Total)
1,13726328,0,2786,18382,0,0,55608(Miss)
1,6355048,91518,2763278,6445362,0,434,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21139524,1898120,173292,30706424,19049394,112,774536(Total)
0,14,0,48454,1747270,18103470,112,908656(Miss)
0,21139510,1898120,124838,28959154,945924,0,0(Hit)
1,20083252,91686,2802394,6336890,0,434,54796(Total)
1,14090902,0,2702,15288,0,0,55482(Miss)
1,5992350,91686,2799692,6321602,0,434,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21140980,1853488,153692,30399726,19053650,140,823326(Total)
0,0,0,47838,1809962,18203514,140,909412(Miss)
0,21140980,1853488,105854,28589764,850136,0,0(Hit)
1,20084092,91616,2802982,6623120,0,0,54754(Total)
1,13904898,0,2604,14294,0,0,55300(Miss)
1,6179194,91616,2800378,6608826,0,0,0(Hit)
