tag,instance_id,service_id,thread_info.core,rx_pps,tx_pps,rx,tx,act_out,act_tonf,act_drop,thread_info.parent,state,rte_atomic16_read(thread_info.children_cnt),rx_drop_rate,tx_drop_rate,rx_drop,tx_drop,act_next,act_buffer,act_returned
ndpi_stat,1,1,3,812972,812972,153255729,153255729,153255729,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,790444,790446,154046217,154046217,154046217,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,812024,812024,154858409,154858409,154858409,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,812920,812920,155671351,155671351,155671351,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,812898,812898,156484281,156484281,156484281,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,812869,812869,157297188,157297188,157297188,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,812961,812964,158110185,158110185,158110185,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,812911,812911,158923132,158923132,158923132,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,812940,812942,159736119,159736119,159736119,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,812938,812938,160549095,160549095,160549095,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,812918,812918,161362033,161362033,161362033,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,812930,812928,162175003,162175001,162175001,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,795293,795293,162970317,162970317,162970317,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1302885,1302883,164273224,164273220,164273220,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4510783,4510779,168784160,168784151,168784151,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4507400,4507400,173291614,173291609,173291612,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4512046,4512047,177803715,177803712,177803712,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4509563,4509559,182313353,182313349,182313349,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4512084,4512083,186825538,186825530,186825530,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4509462,4509459,191335063,191335056,191335056,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4511325,4511325,195846431,195846427,195846427,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4512199,4512200,200358752,200358748,200358748,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4387836,4387834,204746658,204746654,204746654,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4054964,4054968,208801704,208801704,208801704,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192763,1192763,209994490,209994490,209994490,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192904,1192906,211187419,211187419,211187419,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192913,1192913,212380364,212380364,212380364,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192196,1192196,213572589,213572589,213572589,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192892,1192896,214765517,214765517,214765517,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192968,1192968,215958506,215958506,215958506,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192997,1192998,217151526,217151526,217151526,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192928,1192927,218344479,218344478,218344478,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1160758,1160758,219505263,219505263,219505263,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1191944,1191944,220697241,220697241,220697241,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192985,1192985,221890258,221890258,221890258,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192966,1192966,223083259,223083259,223083259,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1193023,1193023,224276309,224276309,224276309,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192792,1192794,225469135,225469135,225469135,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1193039,1193039,226662199,226662199,226662199,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192977,1192979,227855202,227855202,227855202,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1176288,1176290,229031520,229031520,229031520,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192915,1192914,230224463,230224462,230224462,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1189723,1189724,231414220,231414220,231414220,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1355026,1355022,232769281,232769277,232769281,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,2342556,2342556,235111877,235111877,235111881,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,2342040,2342036,237454041,237454037,237454041,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,2342568,2342580,239796665,239796665,239796665,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,2338508,2338496,242135485,242135469,242135469,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,2339460,2339460,244475013,244475013,244475013,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,2339741,2339741,246814814,246814814,246814814,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,2339020,2339020,249153909,249153905,249153905,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,2339028,2339048,251493005,251493005,251493005,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,2339260,2339272,253832341,253832341,253832341,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1998368,1998368,255830773,255830773,255830773,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1190704,1190704,257021509,257021509,257021509,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1190576,1190576,258212125,258212121,258212125,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1190192,1190192,259402337,259402337,259402337,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1190208,1190204,260592577,260592573,260592577,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1190512,1190516,261783117,261783117,261783117,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1190156,1190156,262973313,262973313,262973313,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1190108,1190108,264163461,264163461,264163461,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1190396,1190400,265353925,265353925,265353925,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1190496,1190496,266544465,266544465,266544465,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1122884,1122884,267667385,267667385,267667385,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1192192,1192192,268859597,268859597,268859597,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1193948,1193948,270053569,270053569,270053569,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1193900,1193904,271247525,271247525,271247525,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1193888,1193888,272441485,272441477,272441477,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1194088,1194088,273635649,273635649,273635649,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1194176,1194176,274829861,274829861,274829861,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1194088,1194088,276024037,276024033,276024033,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1193844,1193844,277217913,277217913,277217913,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1193868,1193872,278411813,278411813,278411813,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,1715309,1715305,280127162,280127158,280127158,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4391452,4391449,284518736,284518730,284518730,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4510496,4510498,289029351,289029348,289029348,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4495116,4495116,293524518,293524516,293524516,0,0,0,W,0,0,0,442687,0,0,0,0
ndpi_stat,1,1,3,4510999,4511004,298035559,298035559,298035559,0,0,0,W,0,0,0,442687,0,0,0,0
