,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-23,00:38:43.512,   40.14,  596.71,  127.44,  653.06,,,,,  167.58, 1249.77,     52430, 1417.35,  501.59,    1.62,  502.92,    4.91,,,,, 1004.51,    6.53,     54580, 1011.04,   1172.09,   1256.30,   2428.39
2024-02-23,00:38:44.513,   72.71,  614.53,  238.10,  709.61,,,,,  310.81, 1324.14,     52556, 1634.95,  559.77,   15.01,  561.14,   18.30,,,,, 1120.91,   33.31,     55150, 1154.22,   1431.72,   1357.45,   2789.17
2024-02-23,00:38:45.512,   39.84,  617.23,  125.31,  672.46,,,,,  165.15, 1289.68,     52428, 1454.83,  530.42,    1.84,  533.56,    5.17,,,,, 1063.99,    7.01,     54903, 1070.99,   1229.14,   1296.69,   2525.83
2024-02-23,00:38:46.513,   39.49,  617.25,  124.17,  672.06,,,,,  163.66, 1289.31,     52478, 1452.97,  512.42,    1.33,  515.19,    4.62,,,,, 1027.61,    5.95,     54957, 1033.56,   1191.27,   1295.26,   2486.53
2024-02-23,00:38:47.513,   38.10,  615.76,  118.30,  668.15,,,,,  156.39, 1283.91,     52433, 1440.31,  503.99,    1.86,  507.38,    5.18,,,,, 1011.37,    7.04,     54620, 1018.41,   1167.76,   1290.95,   2458.71
2024-02-23,00:38:48.514,   38.29,  615.91,  119.04,  668.69,,,,,  157.33, 1284.60,     52488, 1441.93,  509.94,    2.41,  512.71,    5.73,,,,, 1022.66,    8.15,     54792, 1030.81,   1179.99,   1292.75,   2472.74
2024-02-23,00:38:49.513,   37.43,  614.67,  116.14,  666.22,,,,,  153.58, 1280.89,     52429, 1434.47,  507.28,    1.77,  510.93,    5.06,,,,, 1018.22,    6.82,     54674, 1025.04,   1171.79,   1287.71,   2459.51
2024-02-23,00:38:50.513,   39.17,  615.37,  122.56,  669.45,,,,,  161.73, 1284.82,     52434, 1446.55,  506.01,    1.54,  509.12,    4.86,,,,, 1015.14,    6.41,     54603, 1021.54,   1176.87,   1291.22,   2468.09
2024-02-23,00:38:51.514,   38.90,  616.05,  121.79,  669.86,,,,,  160.68, 1285.91,     52473, 1446.60,  500.08,    1.26,  502.98,    4.57,,,,, 1003.06,    5.83,     54707, 1008.88,   1163.74,   1291.74,   2455.48
2024-02-23,00:38:52.513,   38.81,  615.32,  121.63,  669.18,,,,,  160.44, 1284.50,     52431, 1444.95,  496.15,    1.59,  498.67,    4.90,,,,,  994.82,    6.49,     54640, 1001.31,   1155.26,   1291.00,   2446.26
2024-02-23,00:38:53.514,   38.51,  615.83,  120.06,  669.00,,,,,  158.57, 1284.83,     52470, 1443.40,  503.94,    1.94,  504.66,    5.25,,,,, 1008.60,    7.19,     54624, 1015.79,   1167.17,   1292.02,   2459.18
2024-02-23,00:38:54.514,   69.15,  624.46,  228.87,  716.00,,,,,  298.01, 1340.47,     52511, 1638.48,  550.23,   13.89,  550.34,   17.15,,,,, 1100.57,   31.04,     54908, 1131.61,   1398.58,   1371.51,   2770.09
2024-02-23,00:38:55.515,   40.78,  622.06,  129.23,  678.95,,,,,  170.01, 1301.02,     52487, 1471.02,  533.14,    2.53,  535.41,    5.85,,,,, 1068.55,    8.38,     54948, 1076.93,   1238.56,   1309.40,   2547.96
2024-02-23,00:38:56.514,   39.72,  620.18,  124.93,  675.29,,,,,  164.64, 1295.47,     52431, 1460.11,  511.23,    1.44,  513.62,    4.74,,,,, 1024.85,    6.18,     54754, 1031.03,   1189.49,   1301.65,   2491.14
2024-02-23,00:38:57.514,   38.58,  619.36,  121.27,  672.97,,,,,  159.85, 1292.33,     52433, 1452.18,  499.95,    1.26,  503.47,    4.55,,,,, 1003.42,    5.81,     54777, 1009.23,   1163.26,   1298.14,   2461.40
2024-02-23,00:38:58.515,   38.89,  620.44,  121.64,  674.08,,,,,  160.54, 1294.52,     52478, 1455.05,  497.15,    1.29,  499.48,    4.59,,,,,  996.63,    5.88,     54603, 1002.51,   1157.17,   1300.40,   2457.57
2024-02-23,00:38:59.515,   37.91,  617.91,  118.52,  670.42,,,,,  156.44, 1288.33,     52436, 1444.77,  495.79,    1.33,  498.40,    4.61,,,,,  994.19,    5.94,     54796, 1000.13,   1150.63,   1294.27,   2444.90
2024-02-23,00:39:00.515,   34.10,  616.30,  107.06,  662.47,,,,,  141.16, 1278.77,     52477, 1419.93,  482.90,    1.35,  486.70,    4.67,,,,,  969.61,    6.02,     54529,  975.63,   1110.77,   1284.79,   2395.56
2024-02-23,00:39:01.515,   16.42,  602.93,   51.56,  621.48,,,,,   67.99, 1224.41,     52414, 1292.40,  450.89,    1.18,  451.24,    4.49,,,,,  902.13,    5.67,     54074,  907.80,    970.12,   1230.08,   2200.20
2024-02-23,00:39:02.516,   16.79,  600.00,   52.54,  619.04,,,,,   69.32, 1219.04,     52471, 1288.37,  453.68,    1.81,  454.56,    5.11,,,,,  908.24,    6.91,     54160,  915.15,    977.56,   1225.96,   2203.52
2024-02-23,00:39:03.515,   15.93,  596.43,   49.68,  614.32,,,,,   65.61, 1210.75,     52410, 1276.36,  452.85,    1.82,  452.07,    5.12,,,,,  904.91,    6.95,     54193,  911.86,    970.52,   1217.69,   2188.22
2024-02-23,00:39:04.518,   77.94,  618.33,  281.09,  726.07,,,,,  359.02, 1344.40,     52530, 1703.43,  494.86,   11.55,  493.99,   14.84,,,,,  988.85,   26.39,     54392, 1015.24,   1347.87,   1370.79,   2718.67
2024-02-23,00:39:05.516,   67.84,  605.53,  248.12,  703.82,,,,,  315.96, 1309.34,     52522, 1625.30,  518.08,    6.82,  519.76,   10.11,,,,, 1037.85,   16.93,     54545, 1054.78,   1353.81,   1326.27,   2680.08
2024-02-23,00:39:06.516,   61.06,  607.73,  224.93,  697.68,,,,,  285.99, 1305.41,     52468, 1591.40,  487.27,    2.71,  489.66,    6.02,,,,,  976.93,    8.72,     54386,  985.65,   1262.92,   1314.14,   2577.05
2024-02-23,00:39:07.517,   60.46,  604.66,  221.39,  693.12,,,,,  281.85, 1297.79,     52475, 1579.63,  478.06,    2.66,  480.11,    5.96,,,,,  958.17,    8.62,     54353,  966.79,   1240.02,   1306.40,   2546.42
2024-02-23,00:39:08.516,   60.35,  607.63,  222.85,  696.94,,,,,  283.20, 1304.57,     52539, 1587.76,  466.06,    1.42,  469.27,    4.74,,,,,  935.33,    6.16,     54312,  941.49,   1218.53,   1310.72,   2529.25
2024-02-23,00:39:09.516,   59.36,  605.79,  219.65,  694.07,,,,,  279.01, 1299.87,     52468, 1578.88,  456.55,    1.29,  456.48,    4.61,,,,,  913.04,    5.91,     54084,  918.95,   1192.05,   1305.78,   2497.82
2024-02-23,00:39:10.517,   63.38,  614.86,  230.93,  708.47,,,,,  294.30, 1323.33,     52520, 1617.64,  465.30,    1.66,  466.81,    4.94,,,,,  932.12,    6.60,     54279,  938.72,   1226.42,   1329.93,   2556.35
2024-02-23,00:39:11.517,   72.43,  639.50,  253.15,  745.11,,,,,  325.58, 1384.61,     52479, 1710.18,  487.69,    1.18,  489.88,    4.48,,,,,  977.57,    5.67,     54508,  983.24,   1303.14,   1390.28,   2693.42
2024-02-23,00:39:12.517,   73.30,  640.05,  255.59,  746.40,,,,,  328.89, 1386.45,     52495, 1715.34,  487.70,    1.33,  489.13,    4.62,,,,,  976.83,    5.96,     54788,  982.78,   1305.72,   1392.41,   2698.12
2024-02-23,00:39:13.517,   72.88,  640.14,  254.39,  746.23,,,,,  327.27, 1386.37,     52514, 1713.64,  489.77,    1.43,  490.06,    4.71,,,,,  979.83,    6.13,     54610,  985.97,   1307.10,   1392.50,   2699.60
2024-02-23,00:39:14.517,   73.14,  639.90,  255.76,  746.62,,,,,  328.90, 1386.52,     52477, 1715.42,  487.97,    1.36,  487.79,    4.67,,,,,  975.76,    6.03,     54447,  981.79,   1304.66,   1392.55,   2697.21
2024-02-23,00:39:15.517,   82.73,  641.66,  285.56,  758.04,,,,,  368.29, 1399.70,     52500, 1767.99,  565.97,   21.80,  565.93,   24.82,,,,, 1131.90,   46.62,     54760, 1178.52,   1500.19,   1446.32,   2946.51
2024-02-23,00:39:16.518,   73.92,  640.86,  258.85,  748.88,,,,,  332.76, 1389.74,     52539, 1722.50,  533.23,    3.26,  535.73,    6.55,,,,, 1068.96,    9.80,     55041, 1078.76,   1401.73,   1399.54,   2801.26
2024-02-23,00:39:17.518,   72.72,  639.45,  255.06,  746.04,,,,,  327.78, 1385.50,     52473, 1713.28,  515.09,    1.61,  518.30,    4.92,,,,, 1033.39,    6.53,     54689, 1039.93,   1361.17,   1392.03,   2753.20
2024-02-23,00:39:18.518,   73.60,  640.03,  258.00,  747.53,,,,,  331.61, 1387.56,     52466, 1719.17,  504.77,    1.29,  508.02,    4.59,,,,, 1012.80,    5.88,     54638, 1018.68,   1344.40,   1393.44,   2737.85
2024-02-23,00:39:19.518,   72.89,  640.51,  255.69,  747.18,,,,,  328.57, 1387.68,     52542, 1716.26,  500.38,    1.31,  502.60,    4.61,,,,, 1002.97,    5.92,     54610, 1008.90,   1331.55,   1393.61,   2725.15
2024-02-23,00:39:20.518,   71.46,  516.49,  252.02,  621.44,,,,,  323.47, 1137.93,     52473, 1461.41,  460.86,    1.35,  463.87,    4.65,,,,,  924.73,    6.00,     54369,  930.73,   1248.21,   1143.94,   2392.14
2024-02-23,00:39:21.518,   58.28,   91.56,  211.93,  181.44,,,,,  270.21,  273.01,     52436,  543.21,  339.77,    2.17,  343.77,    5.48,,,,,  683.54,    7.65,     52836,  691.20,    953.75,    280.66,   1234.41
2024-02-23,00:39:22.519,   58.81,   96.00,  213.73,  186.58,,,,,  272.54,  282.58,     52496,  555.12,  330.16,    1.98,  333.78,    5.28,,,,,  663.94,    7.27,     52872,  671.21,    936.48,    289.85,   1226.33
2024-02-23,00:39:23.519,   57.47,   95.02,  207.74,  183.43,,,,,  265.21,  278.45,     52433,  543.66,  322.08,    1.89,  325.62,    5.21,,,,,  647.70,    7.10,     52780,  654.80,    912.91,    285.55,   1198.46
2024-02-23,00:39:24.519,   58.82,   98.90,  213.65,  189.61,,,,,  272.47,  288.51,     52489,  560.98,  320.45,    1.91,  322.18,    5.22,,,,,  642.62,    7.13,     52800,  649.75,    915.10,    295.64,   1210.74
2024-02-23,00:39:25.519,  101.04,  175.01,  356.24,  311.57,,,,,  457.28,  486.58,     52535,  943.86,  363.82,    9.31,  366.63,   12.55,,,,,  730.45,   21.86,     52930,  752.31,   1187.73,    508.44,   1696.17
2024-02-23,00:39:26.519,   60.32,  104.08,  218.57,  196.52,,,,,  278.89,  300.60,     52435,  579.49,  378.83,    2.70,  382.27,    6.00,,,,,  761.10,    8.71,     52975,  769.80,   1039.99,    309.31,   1349.30
2024-02-23,00:39:27.520,   57.05,  100.14,  206.43,  188.07,,,,,  263.48,  288.21,     52496,  551.69,  352.21,    2.17,  355.27,    5.48,,,,,  707.48,    7.66,     52934,  715.14,    970.96,    295.87,   1266.83
2024-02-23,00:39:28.519,   57.73,  102.87,  208.72,  191.43,,,,,  266.45,  294.30,     52436,  560.75,  328.69,    1.86,  335.66,    5.14,,,,,  664.35,    7.00,     52806,  671.35,    930.80,    301.30,   1232.10
2024-02-23,00:39:29.520,   56.74,  100.78,  205.52,  188.15,,,,,  262.26,  288.93,     52492,  551.19,  321.62,    1.72,  327.78,    5.02,,,,,  649.40,    6.73,     52814,  656.13,    911.66,    295.66,   1207.33
2024-02-23,00:39:30.520,   60.29,  224.58,  219.61,  316.42,,,,,  279.90,  541.00,     52457,  820.90,  347.28,    1.93,  350.19,    5.22,,,,,  697.48,    7.15,     53043,  704.63,    977.38,    548.15,   1525.53
2024-02-23,00:39:31.520,   63.11,  610.35,  232.18,  702.79,,,,,  295.30, 1313.15,     52472, 1608.44,  437.58,    1.74,  437.09,    5.04,,,,,  874.67,    6.78,     53962,  881.45,   1169.97,   1319.93,   2489.89
2024-02-23,00:39:32.520,   61.60,  607.92,  227.47,  698.85,,,,,  289.08, 1306.77,     52536, 1595.85,  447.39,    2.11,  445.42,    5.41,,,,,  892.81,    7.52,     53998,  900.33,   1181.89,   1314.29,   2496.18
2024-02-23,00:39:33.520,   60.85,  605.89,  223.79,  695.61,,,,,  284.64, 1301.49,     52461, 1586.13,  449.79,    1.90,  448.95,    5.20,,,,,  898.74,    7.10,     54125,  905.84,   1183.37,   1308.60,   2491.97
2024-02-23,00:39:34.520,   43.05,  451.70,  158.71,  514.00,,,,,  201.76,  965.70,     52444, 1167.45,  486.82,    5.73,  488.32,    9.00,,,,,  975.14,   14.73,     54323,  989.87,   1176.90,    980.42,   2157.32
2024-02-23,00:39:35.521,   27.64,  408.68,  100.71,  447.74,,,,,  128.35,  856.42,     52496,  984.77,  475.38,    2.19,  479.10,    5.51,,,,,  954.48,    7.70,     54313,  962.18,   1082.83,    864.12,   1946.95
2024-02-23,00:39:36.520,   44.56,  494.27,  158.09,  555.59,,,,,  202.64, 1049.86,     52466, 1252.50,  540.13,   19.28,  540.59,   22.32,,,,, 1080.71,   41.61,     54564, 1122.32,   1283.35,   1091.46,   2374.82
2024-02-23,00:39:37.521,   25.15,  483.24,   91.08,  519.02,,,,,  116.23, 1002.26,     52480, 1118.49,  481.43,    1.73,  482.11,    5.06,,,,,  963.54,    6.80,     54313,  970.34,   1079.77,   1009.06,   2088.83
2024-02-23,00:39:38.521,   25.14,  476.87,   89.57,  512.05,,,,,  114.70,  988.92,     52426, 1103.62,  470.80,    1.63,  469.18,    4.92,,,,,  939.99,    6.54,     54165,  946.53,   1054.69,    995.46,   2050.15
2024-02-23,00:39:39.521,   23.98,  473.98,   85.01,  507.28,,,,,  108.99,  981.26,     52483, 1090.25,  453.92,    1.18,  455.09,    4.47,,,,,  909.01,    5.66,     54138,  914.67,   1018.00,    986.92,   2004.92
2024-02-23,00:39:40.521,   36.33,  448.49,  123.48,  499.36,,,,,  159.81,  947.85,     52423, 1107.67,  424.15,    1.89,  426.02,    5.20,,,,,  850.18,    7.09,     53729,  857.27,   1009.99,    954.94,   1964.94
2024-02-23,00:39:41.522,   73.85,  369.09,  241.52,  475.01,,,,,  315.37,  844.10,     52494, 1159.47,  327.88,    1.68,  333.20,    4.99,,,,,  661.08,    6.67,     52807,  667.75,    976.45,    850.77,   1827.22
2024-02-23,00:39:42.521,   73.82,  357.47,  242.07,  463.52,,,,,  315.89,  820.99,     52435, 1136.88,  317.91,    1.65,  324.42,    4.94,,,,,  642.33,    6.59,     52800,  648.92,    958.22,    827.58,   1785.80
2024-02-23,00:39:43.522,   73.29,  350.24,  240.19,  455.73,,,,,  313.48,  805.97,     52479, 1119.45,  316.70,    2.09,  323.97,    5.38,,,,,  640.67,    7.47,     52828,  648.14,    954.15,    813.43,   1767.58
2024-02-23,00:39:44.522,   74.64,  347.25,  245.61,  454.86,,,,,  320.25,  802.11,     52435, 1122.36,  315.99,    1.44,  324.09,    4.75,,,,,  640.07,    6.19,     52776,  646.26,    960.32,    808.30,   1768.62
2024-02-23,00:39:45.523,   73.93,  346.19,  243.06,  453.30,,,,,  316.98,  799.49,     52479, 1116.48,  309.49,    1.58,  315.86,    4.89,,,,,  625.35,    6.47,     52792,  631.82,    942.34,    805.96,   1748.30
2024-02-23,00:39:46.522,   86.42,  363.22,  283.67,  483.15,,,,,  370.09,  846.37,     52449, 1216.46,  406.52,   20.39,  411.61,   23.86,,,,,  818.13,   44.25,     52988,  862.38,   1188.22,    890.62,   2078.84
2024-02-23,00:39:47.522,   75.68,  361.16,  247.75,  469.79,,,,,  323.43,  830.96,     52439, 1154.38,  350.29,    2.06,  352.31,    5.33,,,,,  702.60,    7.39,     52903,  709.99,   1026.03,    838.34,   1864.37
2024-02-23,00:39:48.523,   76.00,  357.40,  249.34,  466.73,,,,,  325.34,  824.13,     52473, 1149.47,  322.84,    1.76,  325.61,    5.07,,,,,  648.45,    6.83,     52847,  655.28,    973.79,    830.96,   1804.75
2024-02-23,00:39:49.522,   75.36,  353.43,  246.69,  461.73,,,,,  322.05,  815.16,     52425, 1137.21,  318.86,    1.95,  322.17,    5.26,,,,,  641.03,    7.21,     52769,  648.24,    963.08,    822.37,   1785.45
2024-02-23,00:39:50.523,   71.28,  393.35,  237.11,  496.19,,,,,  308.39,  889.54,     52489, 1197.93,  349.47,    1.82,  354.36,    5.12,,,,,  703.83,    6.94,     53231,  710.77,   1012.22,    896.48,   1908.70
2024-02-23,00:39:51.523,   70.34,  523.56,  261.03,  627.88,,,,,  331.37, 1151.45,     52508, 1482.82,  470.20,    1.40,  473.99,    4.72,,,,,  944.19,    6.12,     54293,  950.31,   1275.56,   1157.57,   2433.13
2024-02-23,00:39:52.523,   69.08,  529.04,  255.67,  631.63,,,,,  324.75, 1160.67,     52544, 1485.42,  477.84,    1.70,  482.55,    5.00,,,,,  960.38,    6.71,     54536,  967.09,   1285.13,   1167.37,   2452.51
2024-02-23,00:39:53.523,   68.83,  529.56,  255.29,  631.86,,,,,  324.11, 1161.42,     52472, 1485.54,  481.78,    1.50,  485.19,    4.81,,,,,  966.97,    6.31,     54563,  973.28,   1291.08,   1167.73,   2458.82
2024-02-23,00:39:54.524,   71.01,  532.64,  264.70,  638.27,,,,,  335.71, 1170.91,     52582, 1506.62,  487.06,    1.70,  489.73,    5.01,,,,,  976.79,    6.72,     54656,  983.51,   1312.50,   1177.63,   2490.13
2024-02-23,00:39:55.523,   69.87,  534.09,  260.75,  638.26,,,,,  330.63, 1172.35,     52535, 1502.97,  489.91,    1.35,  491.71,    4.64,,,,,  981.62,    5.98,     54678,  987.60,   1312.24,   1178.33,   2490.57
2024-02-23,00:39:56.524,   85.62,  534.33,  314.54,  656.36,,,,,  400.17, 1190.69,     52608, 1590.86,  544.88,   19.38,  546.91,   22.61,,,,, 1091.79,   41.99,     54849, 1133.78,   1491.96,   1232.68,   2724.64
2024-02-23,00:39:57.524,   73.63,  555.19,  277.13,  664.89,,,,,  350.76, 1220.08,     52530, 1570.84,  531.01,    2.52,  532.28,    5.85,,,,, 1063.28,    8.37,     54895, 1071.65,   1414.05,   1228.44,   2642.49
2024-02-23,00:39:58.525,   73.11,  556.54,  274.97,  665.44,,,,,  348.08, 1221.98,     52583, 1570.06,  512.12,    1.86,  515.44,    5.17,,,,, 1027.56,    7.03,     54850, 1034.59,   1375.64,   1229.01,   2604.65
2024-02-23,00:39:59.524,   72.72,  554.62,  272.50,  662.56,,,,,  345.22, 1217.18,     52506, 1562.39,  505.40,    1.41,  508.16,    4.71,,,,, 1013.56,    6.13,     54675, 1019.69,   1358.78,   1223.31,   2582.09
2024-02-23,00:40:00.524,   70.11,  546.53,  257.59,  650.75,,,,,  327.70, 1197.28,     52532, 1524.98,  497.54,    2.12,  500.63,    5.44,,,,,  998.17,    7.56,     54441, 1005.73,   1325.87,   1204.83,   2530.70
2024-02-23,00:40:01.524,   61.70,  518.57,  205.91,  608.64,,,,,  267.61, 1127.20,     52496, 1394.81,  465.49,    1.32,  469.10,    4.61,,,,,  934.59,    5.93,     54220,  940.52,   1202.20,   1133.13,   2335.33
2024-02-23,00:40:02.523,   61.02,  517.19,  202.93,  606.02,,,,,  263.95, 1123.21,     52432, 1387.15,  455.91,    1.71,  459.27,    5.00,,,,,  915.18,    6.71,     54129,  921.89,   1179.13,   1129.92,   2309.05
2024-02-23,00:40:03.524,   61.44,  516.44,  204.15,  605.48,,,,,  265.59, 1121.92,     52490, 1387.50,  458.06,    1.63,  457.46,    4.91,,,,,  915.52,    6.54,     54107,  922.06,   1181.10,   1128.46,   2309.56
2024-02-23,00:40:04.524,   82.67,  580.74,  282.78,  698.90,,,,,  365.45, 1279.63,     52504, 1645.09,  494.33,    6.39,  494.41,    9.69,,,,,  988.74,   16.08,     54474, 1004.83,   1354.19,   1295.72,   2649.91
2024-02-23,00:40:05.524,   82.81,  601.85,  282.32,  720.26,,,,,  365.13, 1322.11,     52498, 1687.23,  487.71,    2.09,  488.34,    5.39,,,,,  976.05,    7.47,     54381,  983.52,   1341.18,   1329.58,   2670.75
2024-02-23,00:40:06.525,   92.89,  604.69,  316.90,  733.67,,,,,  409.79, 1338.36,     52530, 1748.15,  517.12,   17.25,  519.83,   20.73,,,,, 1036.95,   37.97,     54527, 1074.93,   1446.74,   1376.34,   2823.08
2024-02-23,00:40:07.524,   82.64,  602.24,  280.96,  720.28,,,,,  363.60, 1322.52,     52504, 1686.12,  506.30,    3.91,  508.11,    7.23,,,,, 1014.41,   11.14,     54381, 1025.55,   1378.02,   1333.66,   2711.67
2024-02-23,00:40:08.525,   81.57,  601.88,  277.06,  718.53,,,,,  358.63, 1320.42,     52536, 1679.05,  491.28,    2.76,  493.12,    6.04,,,,,  984.41,    8.81,     54424,  993.21,   1343.04,   1329.22,   2672.26
2024-02-23,00:40:09.525,   79.97,  601.04,  272.30,  716.39,,,,,  352.27, 1317.42,     52483, 1669.69,  475.75,    1.66,  478.63,    4.92,,,,,  954.39,    6.58,     54361,  960.97,   1306.65,   1324.00,   2630.66
2024-02-23,00:40:10.525,   64.72,  460.34,  218.47,  551.84,,,,,  283.18, 1012.18,     52467, 1295.37,  432.24,    1.29,  431.66,    4.61,,,,,  863.90,    5.90,     53809,  869.80,   1147.08,   1018.09,   2165.17
2024-02-23,00:40:11.525,    6.94,    5.48,   12.93,    7.19,,,,,   19.86,   12.66,     52406,   32.53,  292.70,    1.43,  288.32,    4.73,,,,,  581.02,    6.16,     52627,  587.19,    600.89,     18.82,    619.71
2024-02-23,00:40:12.524,    6.93,    5.15,   12.96,    6.89,,,,,   19.89,   12.04,     52459,   31.94,  268.61,    1.43,  258.54,    4.75,,,,,  527.15,    6.18,     52610,  533.32,    547.04,     18.22,    565.26
2024-02-23,00:40:13.524,    6.66,    4.56,   11.73,    5.77,,,,,   18.39,   10.33,     52410,   28.72,  257.94,    1.69,  258.65,    5.00,,,,,  516.59,    6.69,     52603,  523.28,    534.98,     17.02,    552.00
2024-02-23,00:40:14.524,    6.64,    4.70,   12.01,    6.06,,,,,   18.65,   10.76,     52460,   29.41,  257.73,    1.63,  265.10,    4.96,,,,,  522.83,    6.59,     52656,  529.42,    541.48,     17.35,    558.83
2024-02-23,00:40:15.523,    6.24,    4.32,   10.60,    5.05,,,,,   16.84,    9.36,     52413,   26.20,  255.48,    1.10,  255.13,    4.39,,,,,  510.60,    5.49,     52558,  516.10,    527.44,     14.86,    542.30
2024-02-23,00:40:16.523,    7.34,    5.09,   14.80,    7.58,,,,,   22.15,   12.67,     52456,   34.81,  242.07,    1.36,  245.57,    4.66,,,,,  487.64,    6.02,     52609,  493.66,    509.79,     18.68,    528.47
2024-02-23,00:40:17.523,   19.45,   11.81,   54.17,   29.34,,,,,   73.62,   41.15,     52417,  114.77,  379.74,   22.94,  384.32,   26.48,,,,,  764.06,   49.42,     52797,  813.48,    837.68,     90.57,    928.25
2024-02-23,00:40:18.522,    7.45,    4.90,   14.64,    7.33,,,,,   22.09,   12.23,     52458,   34.32,  297.33,    2.60,  305.91,    5.90,,,,,  603.24,    8.49,     52690,  611.74,    625.33,     20.72,    646.06
2024-02-23,00:40:19.522,    7.26,    4.88,   14.37,    7.11,,,,,   21.63,   11.99,     52411,   33.62,  256.38,    1.36,  262.90,    4.68,,,,,  519.28,    6.05,     52612,  525.32,    540.90,     18.04,    558.94
2024-02-23,00:40:20.523,   22.44,  151.42,   70.08,  177.74,,,,,   92.52,  329.17,     52472,  421.69,  299.69,    2.20,  300.21,    5.48,,,,,  599.89,    7.68,     53084,  607.58,    692.41,    336.85,   1029.26
2024-02-23,00:40:21.523,   66.33,  631.07,  229.40,  727.79,,,,,  295.73, 1358.86,     52471, 1654.59,  451.12,    1.37,  454.56,    4.66,,,,,  905.68,    6.03,     54437,  911.71,   1201.41,   1364.89,   2566.30
2024-02-23,00:40:22.524,   65.30,  630.60,  225.58,  726.11,,,,,  290.89, 1356.71,     52468, 1647.60,  472.51,    2.18,  474.09,    5.49,,,,,  946.60,    7.67,     54365,  954.27,   1237.48,   1364.38,   2601.86
2024-02-23,00:40:23.524,   64.87,  631.25,  223.40,  725.81,,,,,  288.27, 1357.06,     52523, 1645.33,  482.43,    1.47,  484.04,    4.78,,,,,  966.47,    6.25,     54498,  972.72,   1254.74,   1363.31,   2618.04
2024-02-23,00:40:24.524,   64.72,  630.71,  223.12,  725.17,,,,,  287.84, 1355.88,     52477, 1643.72,  489.16,    1.96,  488.53,    5.25,,,,,  977.70,    7.21,     54575,  984.91,   1265.54,   1363.09,   2628.62
2024-02-23,00:40:25.525,   64.22,  630.31,  221.20,  724.12,,,,,  285.42, 1354.43,     52468, 1639.85,  487.46,    1.24,  487.68,    4.56,,,,,  975.14,    5.81,     54494,  980.95,   1260.56,   1360.24,   2620.80
2024-02-23,00:40:26.525,   64.61,  630.32,  222.34,  724.49,,,,,  286.94, 1354.81,     52535, 1641.75,  493.44,    1.83,  494.16,    5.15,,,,,  987.60,    6.98,     54645,  994.58,   1274.54,   1361.79,   2636.33
2024-02-23,00:40:27.524,   75.98,  636.02,  259.63,  742.84,,,,,  335.61, 1378.86,     52480, 1714.47,  570.12,   24.45,  569.89,   27.44,,,,, 1140.01,   51.88,     54776, 1191.90,   1475.62,   1430.74,   2906.36
2024-02-23,00:40:28.525,   64.71,  631.97,  222.58,  726.36,,,,,  287.29, 1358.33,     52531, 1645.62,  531.51,    3.32,  533.53,    6.61,,,,, 1065.04,    9.93,     54962, 1074.97,   1352.33,   1368.26,   2720.59
2024-02-23,00:40:29.525,   64.20,  631.71,  220.47,  725.03,,,,,  284.67, 1356.74,     52467, 1641.41,  514.49,    1.37,  517.01,    4.69,,,,, 1031.50,    6.06,     54953, 1037.56,   1316.17,   1362.80,   2678.97
2024-02-23,00:40:30.525,   52.09,  483.98,  176.61,  557.71,,,,,  228.70, 1041.69,     52463, 1270.39,  465.74,    1.64,  468.26,    4.93,,,,,  934.00,    6.57,     54046,  940.57,   1162.70,   1048.26,   2210.97
2024-02-23,00:40:31.525,    7.14,    6.03,   13.80,    8.02,,,,,   20.94,   14.05,     52462,   34.99,  284.45,    1.12,  293.98,    4.40,,,,,  578.44,    5.52,     52707,  583.96,    599.38,     19.58,    618.95
2024-02-23,00:40:32.525,    7.39,    5.73,   14.84,    8.29,,,,,   22.24,   14.02,     52410,   36.26,  257.07,    1.14,  266.76,    4.47,,,,,  523.83,    5.62,     52594,  529.45,    546.07,     19.64,    565.70
2024-02-23,00:40:33.526,    6.60,    4.79,   11.65,    5.96,,,,,   18.25,   10.75,     52463,   29.01,  254.98,    2.03,  261.69,    5.33,,,,,  516.68,    7.36,     52648,  524.04,    534.93,     18.12,    553.05
2024-02-23,00:40:34.525,    9.61,    8.79,   23.21,   15.02,,,,,   32.82,   23.81,     52411,   56.63,  263.41,    2.18,  272.30,    5.48,,,,,  535.71,    7.65,     52619,  543.36,    568.53,     31.46,    600.00
2024-02-23,00:40:35.526,    6.99,    7.59,   12.95,    9.54,,,,,   19.95,   17.13,     52470,   37.07,  258.58,    1.35,  260.16,    4.67,,,,,  518.74,    6.02,     52654,  524.76,    538.69,     23.14,    561.83
