Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
1,0,0,2786,43974,0,0,215376(Miss)
1,15542520,691068,4673704,60733904,0,0,6426(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15541820,12398694,2315866,132333782,2367260,350,911050(Total)
0,0,0,1876,54306,0,0,762538(Miss)
0,15541820,12398694,2313990,132279476,2367260,350,148512(Hit)
1,15581594,686896,4639124,61367432,0,0,55090(Total)
1,0,0,2688,42518,0,0,110264(Miss)
1,15581594,686896,4636436,61324914,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21417942,3249750,1172766,31633070,17896312,378,953960(Total)
0,503146,1155700,14126,446236,14965440,0,974596(Miss)
0,20914796,2094050,1158640,31186834,2930872,378,0(Hit)
1,20286504,92148,5289004,6713210,0,0,55048(Total)
1,10830302,0,2156,66836,0,0,55622(Miss)
1,9456202,92148,5286848,6646374,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21418698,3218586,1840468,31467226,17897166,168,952742(Total)
0,498652,1150156,9674,171234,14992166,0,975016(Miss)
0,20920046,2068430,1830794,31295992,2905000,168,0(Hit)
1,20285552,92134,4612090,6696074,0,0,55076(Total)
1,11739238,0,39214,60634,0,0,55622(Miss)
1,8546314,92134,4572876,6635440,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21415814,3272808,7625702,29015840,17883320,154,956998(Total)
0,509502,1149190,9310,2128084,15535226,0,952504(Miss)
0,20906312,2123618,7616392,26887756,2348094,154,4494(Hit)
1,20283998,92134,13553316,9905854,0,0,55608(Total)
1,12527200,0,6650,3937332,0,0,55524(Miss)
1,7756798,92134,13546666,5968522,0,0,84(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21419986,3311448,1956556,21081984,17826858,140,588084(Total)
0,576758,1161118,427812,2260482,16934918,0,537334(Miss)
0,20843228,2150330,1528744,18821502,891940,140,50750(Hit)
1,20283984,92190,5759208,7639170,0,14,55734(Total)
1,15548134,0,70924,302806,0,0,54978(Miss)
1,4735850,92190,5688284,7336364,0,14,756(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21363650,2677794,259406,23559158,17851680,140,593222(Total)
0,14,1167614,342818,2124780,16875754,0,557158(Miss)
0,21363636,1510180,0,21434378,975926,140,36064(Hit)
1,20364120,92344,2997442,6968640,0,14,55622(Total)
1,14865382,0,28056,296548,0,0,54922(Miss)
1,5498738,92344,2969386,6672092,0,14,700(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21350924,2681910,469000,23401308,17823260,0,597926(Total)
0,14,1167572,345422,2087624,16839060,112,571242(Miss)
0,21350910,1514338,123578,21313684,984200,0,26684(Hit)
1,20326208,92372,3358320,6801326,0,14,55776(Total)
1,14388206,0,40180,258076,0,0,54908(Miss)
1,5938002,92372,3318140,6543250,0,14,868(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21319088,2600850,423500,23283456,17835706,0,609518(Total)
0,0,1166046,347802,2332806,16836358,140,555044(Miss)
0,21319088,1434804,75698,20950650,999348,0,54474(Hit)
1,20328308,91728,3265976,6707372,0,14,55748(Total)
1,14279664,0,24570,223524,0,0,54726(Miss)
1,6048644,91728,3241406,6483848,0,14,1022(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21307412,2605596,595448,22815324,17845898,0,587356(Total)
0,0,1166046,363090,1826328,16901360,140,569786(Miss)
0,21307412,1439550,232358,20988996,944538,0,17570(Hit)
1,20308162,91728,3299492,7229334,0,14,55748(Total)
1,14230412,0,33278,173782,0,0,54684(Miss)
1,6077750,91728,3266214,7055552,0,14,1064(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21334810,2592800,1134770,21346752,17933356,14,602336(Total)
0,14,1179374,313250,1820728,16763264,140,549934(Miss)
0,21334796,1413426,821520,19526024,1170092,0,52402(Hit)
1,20324332,91938,3503850,8777342,0,0,55846(Total)
1,14230076,0,43596,152530,0,0,54642(Miss)
1,6094256,91938,3460254,8624812,0,0,1204(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21116382,2582776,1103298,21698152,17938228,14,596862(Total)
0,0,1172892,356636,1779736,16760870,140,560588(Miss)
0,21116382,1409884,746662,19918416,1177358,0,36274(Hit)
1,20163836,91714,3357522,7848764,0,0,55734(Total)
1,14583688,0,30646,8470,0,0,54712(Miss)
1,5580148,91714,3326876,7840294,0,0,1022(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21054768,2602712,2257416,22859340,17788484,14,574868(Total)
0,14,1173354,253680,1797292,16801358,140,565810(Miss)
0,21054754,1429358,2003736,21062048,987126,0,9058(Hit)
1,20124832,91798,4647090,8106910,0,0,54964(Total)
1,14306740,0,12180,9730,0,0,54754(Miss)
1,5818092,91798,4634910,8097180,0,0,210(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21095550,2609418,2051938,22054270,17808406,0,551726(Total)
0,0,1172850,42546,1744176,16857834,154,559496(Miss)
0,21095550,1436568,2009392,20310094,950572,0,0(Hit)
1,20138482,91798,5517078,7567896,0,0,54978(Total)
1,14306768,0,7252,21182,0,0,54796(Miss)
1,5831714,91798,5509826,7546714,0,0,182(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21087038,2596398,2562056,20609722,16120440,182,553196(Total)
0,14,1171674,40922,1760262,12386024,154,563066(Miss)
0,21087024,1424724,2521134,18849460,3734416,28,0(Hit)
1,20137334,91784,5111162,10153864,0,0,54964(Total)
1,14039438,0,2744,31122,0,0,55706(Miss)
1,6097896,91784,5108418,10122742,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21114226,2613450,4013142,30071300,17803926,140,925498(Total)
0,98,1175496,484960,1198022,14661388,112,939442(Miss)
0,21114128,1437954,3528182,28873278,3142538,28,0(Hit)
1,20195308,91798,6878718,6507074,0,0,55006(Total)
1,15845032,0,66248,76006,0,14,55482(Miss)
1,4350276,91798,6812470,6431068,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21277368,3259354,2849686,31431204,17840578,140,949550(Total)
0,42,1016764,17640,698810,15266944,140,968184(Miss)
0,21277326,2242590,2832046,30732394,2573634,0,0(Hit)
1,20150774,91728,4549300,6451116,0,0,54992(Total)
1,15066912,0,26838,26530,0,14,55552(Miss)
1,5083862,91728,4522462,6424586,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21317366,3279752,2742656,31809246,17847074,140,955990(Total)
0,42,1052240,15988,553056,15307614,140,970354(Miss)
0,21317324,2227512,2726668,31256190,2539460,0,0(Hit)
1,20178494,91966,4053406,6420610,0,0,55048(Total)
1,14725088,0,22834,36078,0,14,55552(Miss)
1,5453406,91966,4030572,6384532,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21304290,3321598,2289630,31855810,17759154,140,952714(Total)
0,28,1057084,12362,560350,15478302,0,969150(Miss)
0,21304262,2264514,2277268,31295460,2280852,140,0(Hit)
1,20163514,92302,4782008,6558104,0,0,54950(Total)
1,14343420,0,13454,43512,0,14,55524(Miss)
1,5820094,92302,4768554,6514592,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21326942,3342514,1691270,31772356,17803548,140,960904(Total)
0,14,1063692,11200,501886,15667708,0,977452(Miss)
0,21326928,2278822,1680070,31270470,2135840,140,0(Hit)
1,20161064,92274,4424546,6588568,0,0,55034(Total)
1,14304052,0,6342,35924,0,14,55286(Miss)
1,5857012,92274,4418204,6552644,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21303912,3347344,1926106,31958668,17787546,140,968058(Total)
0,42,1074262,56084,528724,15629586,14,938406(Miss)
0,21303870,2273082,1870022,31429944,2157960,126,29652(Hit)
1,20178676,92218,3932222,6506248,0,0,55048(Total)
1,14276066,0,4116,47096,0,0,55650(Miss)
1,5902610,92218,3928106,6459152,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21316526,3351068,384888,32050704,17776164,140,642264(Total)
0,56,1074962,10122,633864,15735146,14,637364(Miss)
0,21316470,2276106,374766,31416840,2041018,126,4900(Hit)
1,20162912,92190,2928086,6538476,0,0,214788(Total)
