SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
    4.56,    2.46,   23.25,   12.47,   27.81,   14.93,    104824,   42.74,  306.85,    3.99,  311.72,    7.31,  618.57,   11.30,     52610,  629.87,    646.38,     26.23,    672.62
   16.05,    9.04,   59.64,   32.83,   75.69,   41.87,    105011,  117.56,  368.04,   20.65,  375.83,   24.13,  743.87,   44.78,     52824,  788.65,    819.56,     86.65,    906.21
    4.22,    2.25,   22.66,   11.90,   26.88,   14.16,    104834,   41.04,  310.88,    1.73,  317.24,    5.05,  628.12,    6.78,     52641,  634.91,    655.01,     20.94,    675.94
    3.35,    1.36,   18.71,    9.36,   22.06,   10.72,    104924,   32.78,  265.56,    1.47,  273.57,    4.80,  539.13,    6.28,     52645,  545.41,    561.19,     16.99,    578.18
    3.99,    1.56,   21.19,   10.62,   25.18,   12.19,    104817,   37.36,  265.09,    1.87,  274.69,    5.20,  539.78,    7.07,     52568,  546.85,    564.96,     19.25,    584.21
    2.97,    1.08,   17.26,    8.50,   20.23,    9.58,    104934,   29.80,  273.20,    1.98,  278.05,    5.31,  551.25,    7.29,     52583,  558.54,    571.47,     16.87,    588.34
    2.97,    1.01,   17.83,    8.72,   20.80,    9.73,    104827,   30.53,  266.44,    1.21,  267.08,    4.53,  533.53,    5.74,     52541,  539.27,    554.33,     15.47,    569.80
    3.51,    1.23,   19.43,    9.53,   22.93,   10.75,    104927,   33.69,  259.05,    1.59,  260.47,    4.93,  519.52,    6.52,     52611,  526.04,    542.45,     17.27,    559.72
    4.16,    1.56,   21.53,   10.81,   25.70,   12.37,    104826,   38.07,  262.17,    2.12,  261.86,    5.46,  524.02,    7.58,     52535,  531.60,    549.72,     19.95,    569.67
    3.78,    1.53,   20.44,   10.31,   24.22,   11.84,    104927,   36.06,  262.16,    1.65,  261.08,    4.98,  523.24,    6.64,     52570,  529.88,    547.46,     18.48,    565.94
    4.54,    2.57,   22.95,   12.46,   27.50,   15.03,    104823,   42.53,  312.73,    5.76,  320.85,    9.07,  633.58,   14.82,     52640,  648.40,    661.08,     29.85,    690.93
   28.63,   22.53,  109.08,   64.67,  137.71,   87.21,    105100,  224.92,  328.96,   10.11,  339.89,   13.14,  668.85,   23.25,     52723,  692.10,    806.56,    110.45,    917.02
    4.50,    3.44,   22.88,   13.22,   27.38,   16.67,    104825,   44.05,  318.59,    2.28,  333.69,    5.62,  652.27,    7.91,     52657,  660.18,    679.66,     24.57,    704.23
    4.29,    2.08,   22.33,   11.48,   26.62,   13.56,    104935,   40.18,  285.35,    1.52,  294.87,    4.87,  580.22,    6.40,     52625,  586.61,    606.84,     19.96,    626.80
    3.41,    1.93,   19.07,   10.25,   22.48,   12.18,    104825,   34.66,  263.32,    1.63,  273.20,    4.96,  536.51,    6.59,     52533,  543.10,    558.99,     18.77,    577.76
    3.86,    1.98,   20.49,   10.85,   24.35,   12.84,    104931,   37.19,  226.05,    1.43,  230.83,    4.77,  456.89,    6.20,     52571,  463.09,    481.24,     19.04,    500.28
    3.40,    1.65,   19.52,   10.45,   22.92,   12.10,    104815,   35.02,    3.66,    1.18,    6.88,    4.51,   10.54,    5.69,     52402,   16.23,     33.46,     17.79,     51.25
    3.07,    1.36,   17.82,    9.31,   20.89,   10.68,    104924,   31.57,    3.47,    1.57,    6.70,    4.89,   10.17,    6.46,     52460,   16.63,     31.06,     17.14,     48.20
    3.56,    1.23,   19.75,   10.04,   23.31,   11.27,    104821,   34.58,    3.12,    1.21,    6.31,    4.52,    9.44,    5.73,     52403,   15.17,     32.75,     17.00,     49.75
    3.18,    1.08,   18.36,    9.25,   21.54,   10.33,    104924,   31.88,    3.21,    1.41,    6.44,    4.74,    9.65,    6.16,     52456,   15.81,     31.20,     16.49,     47.69
    4.63,    3.06,   24.06,   13.83,   28.70,   16.89,    104816,   45.58,    6.43,    2.26,    9.64,    5.60,   16.07,    7.86,     52408,   23.93,     44.77,     24.75,     69.52
   11.59,    5.58,   45.02,   24.05,   56.61,   29.63,    104985,   86.24,   25.06,   15.51,   28.32,   18.82,   53.38,   34.32,     52491,   87.70,    109.99,     63.95,    173.94
    7.20,    3.68,   32.57,   17.57,   39.77,   21.25,    104839,   61.03,    9.43,    4.36,   12.44,    7.64,   21.87,   12.00,     52418,   33.87,     61.64,     33.26,     94.90
    5.43,    1.94,   26.88,   13.26,   32.30,   15.19,    104948,   47.49,    3.48,    1.55,    6.69,    4.89,   10.17,    6.44,     52456,   16.62,     42.48,     21.63,     64.11
    3.51,    1.13,   19.54,    9.85,   23.06,   10.98,    104813,   34.04,    3.86,    1.55,    7.09,    4.90,   10.95,    6.44,     52403,   17.40,     34.01,     17.42,     51.43
    3.33,    0.95,   19.15,    9.47,   22.49,   10.42,    104922,   32.91,    2.90,    1.18,    6.11,    4.51,    9.01,    5.69,     52461,   14.70,     31.50,     16.11,     47.61
    3.45,    1.07,   19.36,    9.71,   22.81,   10.78,    104808,   33.59,    3.16,    1.26,    6.37,    4.58,    9.52,    5.85,     52407,   15.37,     32.33,     16.62,     48.95
    3.55,    1.18,   19.34,    9.74,   22.88,   10.91,    104920,   33.80,    3.92,    1.67,    7.12,    5.00,   11.04,    6.67,     52456,   17.71,     33.92,     17.59,     51.51
    3.69,    1.18,   20.40,   10.26,   24.09,   11.45,    104814,   35.54,    3.41,    1.33,    6.62,    4.66,   10.03,    5.99,     52402,   16.03,     34.13,     17.44,     51.57
    3.17,    1.05,   18.41,    9.30,   21.58,   10.35,    104911,   31.92,    2.61,    1.02,    5.82,    4.36,    8.43,    5.38,     52453,   13.81,     30.01,     15.73,     45.74
    5.11,    3.43,   26.59,   15.23,   31.70,   18.66,    104825,   50.36,    5.37,    1.34,    8.59,    4.66,   13.96,    6.00,     52406,   19.96,     45.66,     24.66,     70.31
    3.29,    1.24,   18.61,    9.54,   21.90,   10.78,    104931,   32.68,    3.82,    1.67,    7.04,    5.02,   10.86,    6.69,     52456,   17.55,     32.76,     17.47,     50.23
   28.29,   16.41,  109.36,   58.65,  137.66,   75.07,    104978,  212.72,   21.74,    8.52,   24.54,   11.89,   46.28,   20.40,     52438,   66.68,    183.93,     95.47,    279.40
    4.08,    1.91,   21.93,   11.53,   26.01,   13.44,    104931,   39.44,    4.87,    1.85,    8.08,    5.18,   12.95,    7.04,     52460,   19.99,     38.96,     20.47,     59.43
    3.72,    1.31,   20.49,   10.44,   24.21,   11.75,    104822,   35.96,    3.20,    1.23,    6.40,    4.57,    9.60,    5.80,     52406,   15.40,     33.81,     17.55,     51.36
   12.60,   39.06,   51.44,   61.35,   64.05,  100.42,    104952,  164.46,   27.90,    1.71,   31.76,    5.04,   59.65,    6.75,     52482,   66.40,    123.70,    107.17,    230.87
   72.39,  341.13,  259.21,  456.45,  331.61,  797.58,    104915, 1129.18,  273.43,    2.41,  284.16,    5.72,  557.60,    8.13,     52813,  565.73,    889.20,    805.71,   1694.92
   69.33,  328.64,  249.83,  440.42,  319.16,  769.06,    105050, 1088.22,  291.43,    1.40,  299.95,    4.74,  591.38,    6.14,     52918,  597.52,    910.54,    775.21,   1685.75
   69.92,  325.20,  252.20,  438.01,  322.12,  763.21,    104919, 1085.33,  312.76,    3.01,  321.10,    6.32,  633.86,    9.33,     52899,  643.19,    955.98,    772.54,   1728.52
   68.74,  321.60,  248.56,  433.03,  317.30,  754.62,    104927, 1071.92,  324.14,    1.63,  329.87,    4.97,  654.02,    6.59,     52970,  660.61,    971.32,    761.22,   1732.53
   71.36,  330.05,  257.87,  443.54,  329.23,  773.60,    105052, 1102.83,  329.73,    2.65,  334.85,    6.00,  664.59,    8.65,     53017,  673.24,    993.82,    782.25,   1776.07
   65.56,  314.66,  236.84,  420.92,  302.40,  735.59,    104930, 1037.98,  323.69,    2.21,  328.14,    5.55,  651.83,    7.76,     52957,  659.60,    954.23,    743.35,   1697.58
   80.26,  344.47,  284.58,  466.75,  364.84,  811.22,    105098, 1176.06,  408.12,   20.05,  411.97,   23.29,  820.09,   43.34,     53280,  863.43,   1184.93,    854.56,   2039.49
   70.74,  345.16,  252.70,  457.82,  323.44,  802.98,    104933, 1126.42,  363.86,    2.06,  373.39,    5.41,  737.25,    7.47,     53222,  744.72,   1060.69,    810.45,   1871.15
   69.63,  339.81,  248.85,  451.60,  318.48,  791.40,    105006, 1109.89,  345.64,    2.44,  352.16,    5.78,  697.80,    8.22,     53114,  706.02,   1016.28,    799.63,   1815.91
   69.10,  336.09,  247.05,  447.11,  316.14,  783.21,    104926, 1099.35,  331.07,    1.37,  334.38,    4.70,  665.45,    6.08,     52951,  671.53,    981.60,    789.28,   1770.88
   69.59,  334.44,  249.09,  446.35,  318.68,  780.79,    104911, 1099.47,  323.36,    2.10,  329.84,    5.42,  653.20,    7.52,     52946,  660.72,    971.88,    788.31,   1760.19
   69.39,  331.75,  248.39,  443.50,  317.78,  775.25,    105016, 1093.03,  319.95,    1.38,  327.05,    4.73,  647.00,    6.12,     53011,  653.12,    964.78,    781.37,   1746.15
   68.86,  328.15,  246.70,  439.27,  315.56,  767.41,    104916, 1082.97,  320.99,    1.88,  325.92,    5.21,  646.91,    7.09,     52982,  654.00,    962.46,    774.50,   1736.97
   68.26,  325.60,  244.31,  435.71,  312.57,  761.31,    105012, 1073.88,  322.13,    1.83,  324.02,    5.16,  646.15,    6.98,     53028,  653.13,    958.72,    768.29,   1727.01
