SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
   55.22,  527.30,  199.36,  617.59,  254.59, 1144.89,    105098, 1399.48,  473.67,    1.57,  476.92,    4.90,  950.59,    6.47,     54591,  957.06,   1205.18,   1151.36,   2356.54
   53.49,  533.15,  192.24,  620.92,  245.73, 1154.06,    104970, 1399.79,  464.47,    1.98,  467.22,    5.33,  931.70,    7.32,     54439,  939.02,   1177.43,   1161.38,   2338.81
   52.04,  536.37,  186.18,  621.74,  238.22, 1158.11,    104923, 1396.33,  463.06,    1.99,  463.68,    5.32,  926.74,    7.31,     54423,  934.05,   1164.96,   1165.42,   2330.38
   52.23,  540.20,  186.66,  625.92,  238.89, 1166.11,    105043, 1405.00,  467.63,    2.27,  465.20,    5.62,  932.83,    7.89,     54411,  940.72,   1171.72,   1174.00,   2345.72
   49.14,  498.90,  175.59,  579.10,  224.73, 1078.00,    104953, 1302.73,  422.01,    1.48,  420.86,    4.83,  842.87,    6.31,     54210,  849.18,   1067.60,   1084.31,   2151.91
    3.89,    3.97,   21.23,   13.47,   25.13,   17.44,    104918,   42.57,    4.74,    1.46,    7.99,    4.80,   12.73,    6.26,     52456,   18.99,     37.86,     23.70,     61.56
    2.92,    1.42,   17.36,    9.17,   20.28,   10.59,    104815,   30.87,    3.15,    1.46,    6.37,    4.79,    9.53,    6.25,     52401,   15.78,     29.81,     16.84,     46.65
   10.47,    5.38,   41.18,   22.41,   51.65,   27.79,    104961,   79.44,   27.76,   16.31,   31.85,   19.82,   59.61,   36.13,     52495,   95.74,    111.26,     63.92,    175.18
    9.41,    5.06,   40.04,   21.84,   49.45,   26.90,    104846,   76.35,   15.21,    6.40,   18.24,    9.73,   33.44,   16.13,     52430,   49.57,     82.90,     43.03,    125.92
    3.56,    1.53,   19.89,   10.44,   23.46,   11.96,    104930,   35.42,    4.27,    1.78,    7.46,    5.11,   11.72,    6.90,     52456,   18.62,     35.18,     18.86,     54.04
    3.28,    1.00,   18.61,    9.30,   21.88,   10.30,    104821,   32.19,    3.38,    1.57,    6.59,    4.91,    9.96,    6.48,     52403,   16.44,     31.85,     16.78,     48.63
    3.05,    1.03,   17.90,    9.07,   20.95,   10.10,    104912,   31.05,    3.41,    1.58,    6.61,    4.93,   10.02,    6.51,     52460,   16.54,     30.98,     16.61,     47.59
    5.30,    1.39,   27.03,   12.79,   32.33,   14.18,    104834,   46.51,    3.30,    1.66,    6.52,    4.98,    9.83,    6.63,     52402,   16.46,     42.16,     20.81,     62.97
    3.27,    0.97,   18.89,    9.43,   22.16,   10.40,    104920,   32.56,    3.73,    1.49,    6.92,    4.84,   10.65,    6.33,     52462,   16.98,     32.81,     16.73,     49.54
    3.25,    0.85,   18.54,    9.12,   21.78,    9.97,    104818,   31.75,    3.72,    1.61,    6.94,    4.94,   10.66,    6.56,     52407,   17.22,     32.45,     16.53,     48.97
    3.18,    0.97,   18.42,    9.23,   21.60,   10.20,    104915,   31.80,    3.57,    1.62,    6.79,    4.96,   10.36,    6.58,     52458,   16.94,     31.97,     16.78,     48.74
    3.09,    0.84,   18.12,    8.94,   21.21,    9.78,    104813,   30.99,    2.95,    1.34,    6.15,    4.69,    9.10,    6.03,     52406,   15.13,     30.31,     15.81,     46.11
    3.09,    0.88,   18.04,    8.99,   21.13,    9.87,    104923,   31.00,    3.58,    1.65,    6.82,    5.00,   10.40,    6.65,     52456,   17.04,     31.53,     16.52,     48.05
   15.99,    7.98,   60.46,   32.78,   76.45,   40.75,    104874,  117.21,   36.72,   20.44,   40.90,   23.95,   77.62,   44.39,     52445,  122.01,    154.07,     85.15,    239.22
    3.55,    1.60,   19.80,   10.48,   23.35,   12.08,    104929,   35.43,    5.29,    2.17,    8.50,    5.52,   13.79,    7.69,     52466,   21.48,     37.14,     19.77,     56.91
    3.32,    1.08,   18.64,    9.38,   21.95,   10.46,    104818,   32.42,    3.55,    1.78,    6.77,    5.11,   10.32,    6.89,     52401,   17.21,     32.27,     17.35,     49.63
    3.19,    1.10,   18.49,    9.39,   21.68,   10.50,    104919,   32.18,    3.62,    1.55,    6.84,    4.89,   10.45,    6.44,     52454,   16.90,     32.14,     16.94,     49.08
    3.25,    0.93,   18.85,    9.29,   22.10,   10.22,    104823,   32.32,    2.91,    1.42,    6.14,    4.74,    9.05,    6.17,     52405,   15.22,     31.15,     16.38,     47.53
    3.13,    0.97,   18.43,    9.24,   21.57,   10.21,    104918,   31.78,    3.70,    1.72,    6.94,    5.06,   10.64,    6.79,     52458,   17.43,     32.20,     17.00,     49.20
