SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  464.43,  271.41,  467.51,  271.93,  455.27,  278.31,  469.61,  271.11, 1856.82, 1092.77,4263834156, 2949.58,   1856.82,   1092.77,   2949.58
  458.57,  268.58,  461.82,  269.17,  449.77,  275.64,  463.79,  268.34, 1833.95, 1081.73,4264291245, 2915.68,   1833.95,   1081.73,   2915.68
  461.22,  269.73,  464.93,  270.85,  452.76,  277.02,  466.91,  269.95, 1845.82, 1087.55,4268504678, 2933.37,   1845.82,   1087.55,   2933.37
  463.00,  270.37,  466.33,  271.46,  454.45,  277.87,  468.38,  270.49, 1852.17, 1090.18,4264080857, 2942.35,   1852.17,   1090.18,   2942.35
  473.60,  283.24,  478.65,  284.05,  458.25,  290.34,  480.71,  283.57, 1891.21, 1141.20,4264216445, 3032.41,   1891.21,   1141.20,   3032.41
  479.31,  292.13,  485.64,  293.05,  459.40,  299.23,  487.21,  292.46, 1911.55, 1176.86,4268253911, 3088.42,   1911.55,   1176.86,   3088.42
  480.26,  292.11,  486.69,  293.25,  460.62,  299.27,  487.99,  292.34, 1915.56, 1176.98,4264102439, 3092.54,   1915.56,   1176.98,   3092.54
  478.26,  291.54,  484.02,  291.70,  457.93,  297.99,  486.13,  291.64, 1906.32, 1172.87,4263868859, 3079.20,   1906.32,   1172.87,   3079.20
  477.34,  291.61,  484.19,  292.83,  457.33,  298.59,  486.01,  292.42, 1904.87, 1175.46,4268517108, 3080.32,   1904.87,   1175.46,   3080.32
  479.28,  292.39,  486.18,  293.37,  459.53,  299.16,  487.91,  293.07, 1912.91, 1177.98,4263827411, 3090.89,   1912.91,   1177.98,   3090.89
  486.86,  292.84,  492.50,  293.80,  469.46,  299.50,  494.58,  293.61, 1943.39, 1179.75,4264529958, 3123.14,   1943.39,   1179.75,   3123.14
  461.49,  270.97,  463.94,  271.32,  452.16,  277.66,  466.18,  270.83, 1843.76, 1090.79,4264210638, 2934.55,   1843.76,   1090.79,   2934.55
  460.60,  270.42,  463.39,  271.14,  451.36,  277.40,  465.37,  270.43, 1840.72, 1089.40,4268514158, 2930.11,   1840.72,   1089.40,   2930.11
  461.38,  271.02,  463.98,  271.36,  451.84,  277.59,  466.60,  271.07, 1843.80, 1091.04,4263981515, 2934.84,   1843.80,   1091.04,   2934.84
  461.22,  270.99,  463.96,  271.45,  451.32,  277.39,  466.16,  270.97, 1842.66, 1090.80,4268251446, 2933.46,   1842.66,   1090.80,   2933.46
  470.95,  280.43,  474.81,  280.82,  457.36,  286.90,  477.11,  280.69, 1880.23, 1128.83,4263981069, 3009.06,   1880.23,   1128.83,   3009.06
  473.19,  290.10,  479.49,  290.70,  453.63,  296.66,  481.14,  290.57, 1887.46, 1168.02,4263986109, 3055.48,   1887.46,   1168.02,   3055.48
  477.58,  292.62,  484.00,  293.17,  457.80,  299.43,  485.57,  293.40, 1904.95, 1178.62,4268240171, 3083.57,   1904.95,   1178.62,   3083.57
  479.95,  292.72,  485.96,  293.44,  460.65,  299.77,  488.05,  293.48, 1914.61, 1179.40,4264244902, 3094.01,   1914.61,   1179.40,   3094.01
  477.63,  292.37,  483.53,  292.85,  458.08,  299.41,  485.36,  292.68, 1904.60, 1177.31,4263982288, 3081.91,   1904.60,   1177.31,   3081.91
  477.74,  292.88,  483.54,  293.38,  458.49,  300.15,  485.11,  293.10, 1904.88, 1179.51,4268245666, 3084.39,   1904.88,   1179.51,   3084.39
  481.88,  294.57,  487.70,  295.27,  462.15,  301.44,  488.95,  294.82, 1920.68, 1186.09,4263986873, 3106.77,   1920.68,   1186.09,   3106.77
  478.28,  293.37,  483.79,  293.78,  457.98,  300.24,  485.58,  293.86, 1905.64, 1181.24,4264213136, 3086.88,   1905.64,   1181.24,   3086.88
  477.12,  292.93,  482.75,  293.27,  456.55,  299.76,  484.40,  293.29, 1900.83, 1179.25,4268254183, 3080.08,   1900.83,   1179.25,   3080.08
  483.68,  294.96,  489.31,  295.32,  463.97,  301.54,  491.73,  295.60, 1928.70, 1187.42,4263988394, 3116.13,   1928.70,   1187.42,   3116.13
  453.85,  268.31,  457.76,  269.73,  444.75,  275.51,  459.75,  268.62, 1816.11, 1082.17,4263995256, 2898.28,   1816.11,   1082.17,   2898.28
  455.04,  269.02,  459.28,  270.58,  446.27,  276.34,  460.75,  269.24, 1821.34, 1085.18,4268249413, 2906.52,   1821.34,   1085.18,   2906.52
  453.78,  268.61,  457.88,  269.73,  444.81,  275.71,  459.39,  268.51, 1815.86, 1082.55,4264266264, 2898.41,   1815.86,   1082.55,   2898.41
  452.41,  267.93,  456.34,  269.05,  443.69,  275.06,  458.00,  267.96, 1810.44, 1080.00,4264013403, 2890.44,   1810.44,   1080.00,   2890.44
  452.80,  268.21,  457.44,  269.70,  444.44,  275.49,  458.78,  268.38, 1813.46, 1081.77,4268495562, 2895.24,   1813.46,   1081.77,   2895.24
  450.19,  266.90,  453.87,  267.62,  441.30,  273.75,  455.54,  266.85, 1800.90, 1075.11,4263983678, 2876.01,   1800.90,   1075.11,   2876.01
  451.71,  267.62,  455.71,  268.67,  442.66,  274.42,  457.28,  267.78, 1807.36, 1078.49,4263979596, 2885.85,   1807.36,   1078.49,   2885.85
  448.45,  265.91,  453.08,  267.35,  440.06,  273.00,  455.03,  266.66, 1796.62, 1072.92,4268218871, 2869.54,   1796.62,   1072.92,   2869.54
  450.02,  266.83,  454.38,  268.09,  442.03,  274.13,  456.10,  267.05, 1802.54, 1076.10,4263972045, 2878.64,   1802.54,   1076.10,   2878.64
  447.67,  265.19,  451.71,  266.34,  439.53,  272.49,  453.64,  265.51, 1792.56, 1069.53,4264234904, 2862.09,   1792.56,   1069.53,   2862.09
  449.28,  266.42,  453.45,  267.51,  441.05,  273.94,  455.20,  266.66, 1798.99, 1074.53,4268401166, 2873.52,   1798.99,   1074.53,   2873.52
  449.95,  266.74,  453.98,  267.76,  441.55,  274.15,  455.12,  266.42, 1800.60, 1075.08,4264108317, 2875.68,   1800.60,   1075.08,   2875.68
  454.46,  269.17,  457.84,  269.74,  445.94,  276.43,  459.30,  268.56, 1817.53, 1083.90,4264210253, 2901.43,   1817.53,   1083.90,   2901.43
  454.06,  268.85,  457.61,  269.62,  445.27,  276.05,  459.07,  268.63, 1816.01, 1083.15,4268474295, 2899.16,   1816.01,   1083.15,   2899.16
  448.82,  266.22,  452.15,  266.96,  440.23,  273.48,  454.05,  266.07, 1795.25, 1072.73,4263826305, 2867.98,   1795.25,   1072.73,   2867.98
  445.84,  264.58,  448.93,  265.44,  436.69,  271.56,  450.79,  264.37, 1782.26, 1065.95,4264232213, 2848.20,   1782.26,   1065.95,   2848.20
  448.64,  266.25,  451.70,  266.76,  439.74,  273.09,  453.94,  266.19, 1794.03, 1072.28,4268250200, 2866.30,   1794.03,   1072.28,   2866.30
  445.51,  264.72,  448.99,  265.39,  436.12,  271.00,  451.04,  264.98, 1781.66, 1066.08,4264229308, 2847.74,   1781.66,   1066.08,   2847.74
  444.20,  263.76,  448.00,  264.84,  435.46,  270.65,  449.95,  264.15, 1777.60, 1063.40,4263994165, 2841.00,   1777.60,   1063.40,   2841.00
  447.23,  265.43,  450.48,  265.91,  438.36,  272.41,  452.61,  265.59, 1788.67, 1069.34,4269085744, 2858.01,   1788.67,   1069.34,   2858.01
  447.86,  265.80,  450.93,  266.18,  438.59,  272.49,  452.84,  265.56, 1790.22, 1070.04,4264224921, 2860.26,   1790.22,   1070.04,   2860.26
  447.76,  265.71,  450.96,  266.27,  438.71,  272.32,  453.23,  265.97, 1790.66, 1070.28,4263986527, 2860.93,   1790.66,   1070.28,   2860.93
  452.00,  267.73,  454.89,  268.30,  442.64,  274.53,  457.00,  267.77, 1806.53, 1078.33,4268248914, 2884.86,   1806.53,   1078.33,   2884.86
