Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9157736,6692322,644462,67755828,1025836,0,624694
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8938286,7193704,897624,66819942,1078602,0,651658
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9333002,6746544,949200,65697632,1040550,0,637700
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9360078,6914166,703430,69676908,1003254,0,633346
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8789270,7045332,1225728,66253418,1068592,0,646338
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9455922,6765346,739396,66433206,1036084,0,638204
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9312772,6828192,693210,70819224,1012466,0,631652
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9022356,7070196,695030,70350490,1016106,0,624358
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8808478,7201474,663502,68583046,1089004,0,639058
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8986096,6902196,771890,68025272,1056496,14,628390
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9276316,6873692,793212,69809712,1012914,14,626500
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9111186,6993490,1160474,71662444,1010128,14,621670
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8956108,7206430,925162,69428702,1050280,14,581252
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8889874,7103516,804678,68856788,1070818,0,632814
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8990100,6905276,901292,66828888,1069488,0,627466
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9446556,6777610,811594,69559742,1026424,0,612710
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9182012,7060382,808808,71294468,1029154,0,617484
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8783446,7147084,783678,67259472,1098846,0,635824
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9363354,6790252,801360,65585212,1047620,0,616294
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9384088,6946856,794444,69232562,1002288,0,613088
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8923348,6579706,797132,68254186,1008126,0,612206
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8939644,7203056,1169056,66683330,1086792,0,636804
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9127888,6799240,888566,65788898,1042944,0,625604
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9352924,6929734,844326,69417082,1017660,0,614390
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8905848,7230566,784196,68141612,1081458,0,621222
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8915116,6926696,856576,66256218,1078742,0,622370
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9314816,6732656,777840,68982424,1028286,0,616644
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9049642,7186676,847882,69369790,1056384,0,618674
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8794926,7029022,730576,66179988,1078504,0,628194
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9454060,6783084,856114,67522630,1033242,0,615370
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9401504,6786024,749854,66391556,1034208,0,614978
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9411402,6760236,1305514,69817034,1019382,0,605528
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9089710,7287140,1185632,68477248,1070804,0,618030
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8894578,6979350,886074,66477180,1081990,0,625240
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9458274,6792660,754600,67556664,1036602,0,606900
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9143302,7007756,866908,69967380,1008518,0,610442
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8895138,7158424,865144,67503912,1094884,0,628194
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9291982,6860364,972244,66706066,1032486,280,612136
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9284898,7113764,880152,70322434,1033018,0,613704
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8921248,7097272,943096,66822294,1083222,0,620858
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9446108,6788936,755202,69103258,1024688,0,601692
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8895712,7005208,1222606,69707036,1017562,0,606018
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8971270,7238910,738626,68684504,1083628,0,625408
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9107994,6905836,867314,66169446,1059506,0,613900
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9239930,7036414,755818,70406014,1026144,966,610176
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8905848,7037450,870744,66909248,1084174,966,631162
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9511348,6818378,734174,69319418,1021398,1246,607460
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9044476,7256340,917308,68564958,1089858,966,628726
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9097270,6933738,797538,66679130,1050658,966,617162
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9312884,6982458,950278,70456386,1038464,966,612290
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8837374,7105294,881258,66585904,1088892,966,629146
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9431548,6690712,880614,66980186,1039892,966,621642
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9291870,7161672,891772,70098420,1023918,0,615454
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8818516,7119364,1163960,66684590,1078308,0,627830
