SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  607.68,  252.85,  632.66,  263.17,  567.14,  250.86,  692.48,  276.15, 2499.95, 1043.03,    125724, 3542.99,   2499.95,   1043.03,   3542.99
  614.79,  255.93,  638.31,  265.88,  572.96,  253.35,  698.05,  278.63, 2524.11, 1053.79,    125846, 3577.90,   2524.11,   1053.79,   3577.90
  610.22,  253.55,  633.71,  263.55,  568.01,  250.97,  693.56,  276.82, 2505.50, 1044.89,    125713, 3550.39,   2505.50,   1044.89,   3550.39
  609.68,  253.60,  633.15,  263.32,  566.57,  250.52,  691.77,  276.22, 2501.17, 1043.65,    125771, 3544.83,   2501.17,   1043.65,   3544.83
  610.97,  254.01,  634.95,  264.33,  568.49,  251.31,  694.61,  277.18, 2509.01, 1046.84,    125900, 3555.85,   2509.01,   1046.84,   3555.85
  608.64,  252.93,  632.63,  263.40,  565.99,  250.33,  691.53,  275.79, 2498.79, 1042.46,    125741, 3541.24,   2498.79,   1042.46,   3541.24
  608.22,  252.63,  631.98,  263.05,  564.64,  249.54,  691.21,  275.84, 2496.06, 1041.07,    125732, 3537.12,   2496.06,   1041.07,   3537.12
  607.26,  252.32,  631.70,  263.14,  565.06,  250.08,  690.95,  275.86, 2494.97, 1041.40,    125901, 3536.37,   2494.97,   1041.40,   3536.37
  605.56,  252.10,  629.63,  262.39,  562.92,  249.42,  688.54,  275.03, 2486.64, 1038.93,    125741, 3525.58,   2486.64,   1038.93,   3525.58
  608.19,  253.13,  632.29,  263.13,  566.01,  250.48,  691.87,  276.17, 2498.37, 1042.91,    125702, 3541.27,   2498.37,   1042.91,   3541.27
  605.48,  251.99,  628.88,  262.00,  563.59,  249.64,  689.78,  275.28, 2487.73, 1038.92,    125843, 3526.65,   2487.73,   1038.92,   3526.65
  605.39,  251.64,  628.08,  261.72,  563.56,  249.62,  689.05,  275.19, 2486.07, 1038.17,    125731, 3524.25,   2486.07,   1038.17,   3524.25
  605.44,  251.97,  628.19,  261.67,  563.28,  249.49,  688.91,  275.22, 2485.82, 1038.35,    125714, 3524.17,   2485.82,   1038.35,   3524.17
  605.41,  252.03,  628.38,  261.77,  562.94,  249.35,  688.58,  274.90, 2485.31, 1038.05,    125808, 3523.36,   2485.31,   1038.05,   3523.36
  602.69,  250.95,  626.24,  260.94,  561.34,  248.93,  686.29,  273.90, 2476.56, 1034.73,    125687, 3511.29,   2476.56,   1034.73,   3511.29
  604.63,  251.71,  628.25,  261.77,  563.60,  249.71,  687.87,  274.35, 2484.35, 1037.54,    125744, 3521.89,   2484.35,   1037.54,   3521.89
  605.62,  252.06,  630.40,  262.48,  565.59,  250.27,  689.46,  275.15, 2491.07, 1039.96,    125884, 3531.03,   2491.07,   1039.96,   3531.03
