,ndpi_stats-pcm_new_System-Date,ndpi_stats-pcm_new_System-Time,ndpi_stats-pcm_new_Socket 0-EXEC,ndpi_stats-pcm_new_Socket 0-IPC,ndpi_stats-pcm_new_Socket 0-FREQ,ndpi_stats-pcm_new_Socket 0-AFREQ,ndpi_stats-pcm_new_Socket 0-L3MISS,ndpi_stats-pcm_new_Socket 0-L2MISS,ndpi_stats-pcm_new_Socket 0-L3HIT,ndpi_stats-pcm_new_Socket 0-L2HIT,ndpi_stats-pcm_new_Socket 0-L3MPI,ndpi_stats-pcm_new_Socket 0-L2MPI,ndpi_stats-pcm_new_Socket 0-L3OCC,ndpi_stats-pcm_new_Socket 0-LMB,ndpi_stats-pcm_new_Socket 0-RMB,ndpi_stats-pcm_new_Socket 0-READ,ndpi_stats-pcm_new_Socket 0-WRITE,ndpi_stats-pcm_new_Socket 0-LOCAL,ndpi_stats-pcm_new_Socket 0-TEMP,ndpi_stats-pcm_new_Socket 0-INST,ndpi_stats-pcm_new_Socket 0-ACYC,ndpi_stats-pcm_new_Socket 0-TIME(ticks),ndpi_stats-pcm_new_Socket 0-PhysIPC,ndpi_stats-pcm_new_Socket 0-PhysIPC%,ndpi_stats-pcm_new_Socket 0-INSTnom,ndpi_stats-pcm_new_Socket 0-INSTnom%,ndpi_stats-pcm_new_SKT0 Core C-State-C0res%,ndpi_stats-pcm_new_SKT0 Core C-State-C1res%,ndpi_stats-pcm_new_SKT0 Core C-State-C3res%,ndpi_stats-pcm_new_SKT0 Core C-State-C6res%,ndpi_stats-pcm_new_SKT0 Core C-State-C7res%,ndpi_stats-pcm_new_SKT0 Package C-State-C0res%,ndpi_stats-pcm_new_SKT0 Package C-State-C2res%,ndpi_stats-pcm_new_SKT0 Package C-State-C3res%,ndpi_stats-pcm_new_SKT0 Package C-State-C6res%,ndpi_stats-pcm_new_SKT0 Package C-State-C7res%,ndpi_stats-pcm_new_Proc Energy (Joules)-SKT0,ndpi_stats-pcm_new_DRAM Energy (Joules)-SKT0,ndpi_stats-pcm_new_LLCRDMISSLAT (ns)-SKT0,ndpi_stats-pcm_new_UncFREQ (Ghz)-SKT0,ndpi_stats-pcm_new_Core3 (Socket 0)-EXEC,ndpi_stats-pcm_new_Core3 (Socket 0)-IPC,ndpi_stats-pcm_new_Core3 (Socket 0)-FREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-AFREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L3HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L2HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L3OCC,ndpi_stats-pcm_new_Core3 (Socket 0)-LMB,ndpi_stats-pcm_new_Core3 (Socket 0)-RMB,ndpi_stats-pcm_new_Core3 (Socket 0)-C0res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C1res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C3res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C6res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C7res%,ndpi_stats-pcm_new_Core3 (Socket 0)-TEMP,ndpi_stats-pcm_new_Core3 (Socket 0)-INST,ndpi_stats-pcm_new_Core3 (Socket 0)-ACYC,ndpi_stats-pcm_new_Core3 (Socket 0)-TIME(ticks),ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC,ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC%,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom%,ndpi_stats-pcm_new_-,pcm-pcie_new_skt-0_PCIRdCur,pcm-pcie_new_skt-0_RFO,pcm-pcie_new_skt-0_CRd,pcm-pcie_new_skt-0_DRd,pcm-pcie_new_skt-0_ItoM,pcm-pcie_new_skt-0_PRd,pcm-pcie_new_skt-0_WiL,pcm-pcie_new_skt-1_PCIRdCur,pcm-pcie_new_skt-1_RFO,pcm-pcie_new_skt-1_CRd,pcm-pcie_new_skt-1_DRd,pcm-pcie_new_skt-1_ItoM,pcm-pcie_new_skt-1_PRd,pcm-pcie_new_skt-1_WiL,pcm-memory_new_SKT0-Ch0Read,pcm-memory_new_SKT0-Ch0Write,pcm-memory_new_SKT0-Ch1Read,pcm-memory_new_SKT0-Ch1Write,pcm-memory_new_SKT0-Ch2Read,pcm-memory_new_SKT0-Ch2Write,pcm-memory_new_SKT0-Ch3Read,pcm-memory_new_SKT0-Ch3Write,pcm-memory_new_SKT0-Mem Read (MB/s),pcm-memory_new_SKT0-Mem Write (MB/s),pcm-memory_new_SKT0-P. Write (T/s),pcm-memory_new_SKT0-Memory (MB/s),pcm-memory_new_System-Read,pcm-memory_new_System-Write,pcm-memory_new_System-Memory
10,2023-11-28,15:23:38.211,0.48,2.43,0.2,1.31,0.03,39.84,1.0,0.52,0.0,0.0017,5920.0,2.0,0.0,0.01,0.01,100.0,53.0,23081.66,9499.36,2400.05,4.86,121.49,0.96,24.04,15.15,17.06,0.0,67.78,0.0,100.0,0.0,0.0,0.0,0.0,39.36,7.4,0.07,2.7,2.57,1.97,1.31,1.32,0.01,17.72,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.62,1.38,0.0,0.0,0.0,55.0,6178.57,3135.25,2400.05,3.94,98.53,5.15,128.72,,9446556.0,6777610.0,811594.0,69559742.0,1026424.0,0.0,612710.0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,1.73,1.52,9.73,9.55,1.62,1.43,1.56,1.36,14.65,13.86,4268243199.0,28.51,14.65,13.86,28.51
11,2023-11-28,15:23:39.211,0.48,2.42,0.2,1.3,0.04,39.85,1.0,0.52,0.0,0.0017,6360.0,4.0,0.0,0.02,0.01,100.0,53.0,22996.69,9494.12,2400.21,4.84,121.11,0.96,23.95,15.19,17.46,0.03,67.33,0.0,100.0,0.0,0.0,0.0,0.0,39.39,7.32,0.07,2.7,2.57,1.97,1.3,1.32,0.01,17.72,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.55,1.45,0.0,0.0,0.0,55.0,6165.51,3129.44,2400.21,3.94,98.51,5.14,128.44,,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8783446.0,7147084.0,783678.0,67259472.0,1098846.0,0.0,635824.0,1.83,1.5,9.88,9.55,1.69,1.37,1.68,1.34,15.07,13.77,4263969495.0,28.84,15.07,13.77,28.84
12,2023-11-28,15:23:40.211,0.48,2.43,0.2,1.3,0.03,39.76,1.0,0.53,0.0,0.0017,6240.0,2.0,0.0,0.01,0.01,100.0,53.0,23053.84,9489.56,2399.98,4.86,121.47,0.96,24.01,15.16,17.48,0.01,67.35,0.0,100.0,0.0,0.0,0.0,0.0,39.44,7.36,0.07,2.7,2.58,1.97,1.3,1.32,0.01,17.69,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.62,1.38,0.0,0.0,0.0,54.0,6182.78,3131.05,2399.98,3.95,98.73,5.15,128.81,,9363354.0,6790252.0,801360.0,65585212.0,1047620.0,0.0,616294.0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,1.59,1.38,9.58,9.36,1.4,1.18,1.34,1.11,13.92,13.04,4263907245.0,26.96,13.92,13.04,26.96
13,2023-11-28,15:23:41.211,0.48,2.43,0.2,1.3,0.03,39.9,1.0,0.52,0.0,0.0017,6120.0,2.0,0.0,0.01,0.01,100.0,53.0,23039.5,9497.38,2399.99,4.85,121.29,0.96,24.0,15.17,17.23,0.01,67.59,0.0,100.0,0.0,0.0,0.0,0.0,39.33,7.37,0.0,2.7,2.57,1.97,1.31,1.32,0.01,17.75,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.59,1.41,0.0,0.0,0.0,55.0,6164.88,3132.72,2399.99,3.94,98.4,5.14,128.43,,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8923348.0,6579706.0,797132.0,68254186.0,1008126.0,0.0,612206.0,1.44,1.26,9.43,9.25,1.34,1.16,1.26,1.06,13.48,12.72,4268218386.0,26.2,13.48,12.72,26.2
14,2023-11-28,15:23:42.211,0.48,2.42,0.2,1.31,0.03,40.02,1.0,0.52,0.0,0.0017,6160.0,2.0,0.0,0.01,0.01,100.0,53.0,22982.21,9497.02,2400.06,4.84,121.0,0.96,23.94,15.16,17.18,0.01,67.65,0.0,100.0,0.0,0.0,0.0,0.0,39.36,7.4,0.07,2.7,2.57,1.96,1.31,1.32,0.01,17.81,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.61,1.39,0.0,0.0,0.0,55.0,6157.19,3133.96,2400.06,3.93,98.23,5.13,128.27,,8939644.0,7203056.0,1169056.0,66683330.0,1086792.0,0.0,636804.0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,1.31,1.14,9.32,9.14,1.25,1.06,1.2,1.0,13.08,12.34,4264220543.0,25.42,13.08,12.34,25.42
15,2023-11-28,15:23:43.211,0.48,2.42,0.2,1.31,0.03,40.04,1.0,0.53,0.0,0.0017,6040.0,1.0,0.0,0.01,0.01,100.0,54.0,23022.77,9498.82,2400.1,4.85,121.19,0.96,23.98,15.15,17.09,0.01,67.75,0.0,100.0,0.0,0.0,0.0,0.0,39.39,7.36,0.04,2.7,2.56,1.96,1.31,1.32,0.01,17.81,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.61,1.39,0.0,0.0,0.0,56.0,6148.96,3134.85,2400.1,3.92,98.07,5.12,128.1,,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9352924.0,6929734.0,844326.0,69417082.0,1017660.0,0.0,614390.0,1.31,1.06,9.31,9.07,1.12,0.88,1.12,0.88,12.87,11.9,4263907607.0,24.76,12.87,11.9,24.76
16,2023-11-28,15:23:44.211,0.48,2.42,0.2,1.3,0.03,40.05,1.0,0.52,0.0,0.0017,6200.0,2.0,0.0,0.01,0.01,100.0,53.0,22945.73,9492.83,2399.98,4.83,120.86,0.96,23.9,15.17,17.45,0.02,67.35,0.0,100.0,0.0,0.0,0.0,0.0,39.4,7.39,0.11,2.7,2.56,1.96,1.3,1.32,0.01,17.81,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.6,1.4,0.0,0.0,0.0,55.0,6138.6,3130.73,2399.98,3.92,98.04,5.12,127.89,,8905848.0,7230566.0,784196.0,68141612.0,1081458.0,0.0,621222.0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,1.34,1.06,9.4,9.1,1.16,0.87,1.17,0.88,13.07,11.9,4268223244.0,24.98,13.07,11.9,24.98
17,2023-11-28,15:23:45.211,0.48,2.42,0.2,1.3,0.03,39.99,1.0,0.52,0.0,0.0017,6160.0,1.0,0.0,0.01,0.01,100.0,53.0,23002.96,9495.03,2399.88,4.85,121.13,0.96,23.96,15.17,17.28,0.01,67.54,0.0,100.0,0.0,0.0,0.0,0.0,39.34,7.36,0.07,2.7,2.56,1.96,1.3,1.32,0.01,17.79,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.58,1.42,0.0,0.0,0.0,55.0,6142.61,3131.86,2399.88,3.92,98.07,5.12,127.98,,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9314816.0,6732656.0,777840.0,68982424.0,1028286.0,0.0,616644.0,1.17,0.95,9.18,8.93,1.02,0.79,0.98,0.76,12.35,11.44,4263970206.0,23.79,12.35,11.44,23.79
18,2023-11-28,15:23:46.211,0.48,2.42,0.2,1.3,0.03,39.99,1.0,0.52,0.0,0.0017,6080.0,2.0,0.0,0.01,0.01,100.0,53.0,23003.23,9497.28,2400.13,4.84,121.1,0.96,23.96,15.17,17.22,0.01,67.6,0.0,100.0,0.0,0.0,0.0,0.0,39.38,7.38,0.15,2.7,2.56,1.96,1.31,1.32,0.01,17.79,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.59,1.41,0.0,0.0,0.0,55.0,6154.91,3132.95,2400.13,3.93,98.23,5.13,128.22,,9049642.0,7186676.0,847882.0,69369790.0,1056384.0,0.0,618674.0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,1.28,1.05,9.19,8.94,1.1,0.84,1.07,0.81,12.65,11.64,4263979792.0,24.29,12.65,11.64,24.29
19,2023-11-28,15:23:47.211,0.48,2.42,0.2,1.31,0.03,40.08,1.0,0.52,0.0,0.0017,5400.0,0.0,0.0,0.01,0.01,100.0,53.0,22978.93,9497.82,2400.13,4.84,120.97,0.96,23.93,15.16,17.18,0.01,67.64,0.0,100.0,0.0,0.0,0.0,0.0,39.33,7.36,0.04,2.7,2.56,1.96,1.31,1.32,0.01,17.84,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.6,1.4,0.0,0.0,0.0,55.0,6141.62,3133.67,2400.13,3.92,97.99,5.12,127.94,,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9454060.0,6783084.0,856114.0,67522630.0,1033242.0,0.0,615370.0,1.25,1.02,9.12,8.89,1.08,0.82,0.99,0.75,12.44,11.48,4268499515.0,23.92,12.44,11.48,23.92
